frequency,raw
20.00,-7.05
20.20,-6.96
20.40,-6.87
20.61,-6.79
20.81,-6.72
21.02,-6.67
21.23,-6.62
21.44,-6.57
21.66,-6.51
21.87,-6.43
22.09,-6.33
22.31,-6.22
22.54,-6.09
22.76,-5.96
22.99,-5.84
23.22,-5.74
23.45,-5.66
23.69,-5.60
23.92,-5.56
24.16,-5.54
24.40,-5.52
24.65,-5.50
24.89,-5.48
25.14,-5.43
25.39,-5.37
25.65,-5.28
25.91,-5.19
26.16,-5.08
26.43,-4.98
26.69,-4.87
26.96,-4.77
27.23,-4.68
27.50,-4.60
27.77,-4.52
28.05,-4.46
28.33,-4.41
28.62,-4.36
28.90,-4.31
29.19,-4.27
29.48,-4.22
29.78,-4.18
30.08,-4.12
30.38,-4.07
30.68,-4.01
30.99,-3.95
31.30,-3.90
31.61,-3.85
31.93,-3.80
32.24,-3.75
32.57,-3.70
32.89,-3.65
33.22,-3.59
33.55,-3.53
33.89,-3.47
34.23,-3.41
34.57,-3.35
34.92,-3.29
35.27,-3.25
35.62,-3.21
35.97,-3.17
36.33,-3.13
36.70,-3.08
37.06,-3.03
37.43,-2.98
37.81,-2.93
38.19,-2.89
38.57,-2.86
38.95,-2.82
39.34,-2.78
39.74,-2.74
40.14,-2.69
40.54,-2.65
40.94,-2.62
41.35,-2.59
41.76,-2.55
42.18,-2.49
42.60,-2.44
43.03,-2.39
43.46,-2.36
43.90,-2.33
44.33,-2.30
44.78,-2.25
45.23,-2.20
45.68,-2.16
46.13,-2.13
46.60,-2.13
47.06,-2.12
47.53,-2.11
48.01,-2.09
48.49,-2.06
48.97,-2.02
49.46,-1.99
49.96,-1.97
50.46,-1.94
50.96,-1.92
51.47,-1.90
51.99,-1.88
52.51,-1.86
53.03,-1.83
53.56,-1.81
54.10,-1.78
54.64,-1.75
55.18,-1.73
55.74,-1.69
56.29,-1.67
56.86,-1.65
57.42,-1.63
58.00,-1.61
58.58,-1.59
59.16,-1.58
59.76,-1.59
60.35,-1.57
60.96,-1.54
61.57,-1.52
62.18,-1.51
62.80,-1.49
63.43,-1.47
64.07,-1.45
64.71,-1.44
65.35,-1.43
66.01,-1.41
66.67,-1.39
67.33,-1.38
68.01,-1.35
68.69,-1.32
69.37,-1.30
70.07,-1.28
70.77,-1.25
71.48,-1.23
72.19,-1.22
72.91,-1.21
73.64,-1.19
74.38,-1.18
75.12,-1.16
75.87,-1.14
76.63,-1.12
77.40,-1.10
78.17,-1.08
78.95,-1.06
79.74,-1.04
80.54,-1.02
81.35,-1.00
82.16,-0.99
82.98,-0.98
83.81,-0.95
84.65,-0.94
85.50,-0.92
86.35,-0.90
