frequency,raw
20.00,6.72
20.20,6.80
20.40,6.88
20.61,6.96
20.81,7.03
21.02,7.10
21.23,7.18
21.44,7.25
21.66,7.33
21.87,7.41
22.09,7.49
22.31,7.58
22.54,7.66
22.76,7.74
22.99,7.82
23.22,7.89
23.45,7.96
23.69,8.02
23.92,8.08
24.16,8.14
24.40,8.21
24.65,8.27
24.89,8.33
25.14,8.40
25.39,8.47
25.65,8.53
25.91,8.59
26.16,8.65
26.43,8.71
26.69,8.77
26.96,8.83
27.23,8.89
27.50,8.95
27.77,9.00
28.05,9.05
28.33,9.09
28.62,9.13
28.90,9.17
29.19,9.21
29.48,9.25
29.78,9.29
30.08,9.34
30.38,9.38
30.68,9.43
30.99,9.47
31.30,9.50
31.61,9.53
31.93,9.57
32.24,9.60
32.57,9.63
32.89,9.67
33.22,9.70
33.55,9.73
33.89,9.75
34.23,9.77
34.57,9.79
34.92,9.80
35.27,9.82
35.62,9.84
35.97,9.86
36.33,9.87
36.70,9.89
37.06,9.91
37.43,9.93
37.81,9.96
38.19,9.98
38.57,10.01
38.95,10.04
39.34,10.07
39.74,10.09
40.14,10.12
40.54,10.15
40.94,10.18
41.35,10.21
41.76,10.24
42.18,10.27
42.60,10.30
43.03,10.33
43.46,10.34
43.90,10.36
44.33,10.36
44.78,10.36
45.23,10.35
45.68,10.35
46.13,10.34
46.60,10.34
47.06,10.33
47.53,10.33
48.01,10.32
48.49,10.32
48.97,10.32
49.46,10.32
49.96,10.31
50.46,10.31
50.96,10.31
51.47,10.31
51.99,10.32
52.51,10.34
53.03,10.36
53.56,10.38
54.10,10.40
54.64,10.42
55.18,10.43
55.74,10.46
56.29,10.48
56.86,10.50
57.42,10.52
58.00,10.53
58.58,10.53
59.16,10.52
59.76,10.51
60.35,10.50
60.96,10.49
61.57,10.49
62.18,10.48
62.80,10.48
63.43,10.48
64.07,10.48
64.71,10.48
65.35,10.49
66.01,10.50
66.67,10.53
67.33,10.56
68.01,10.58
68.69,10.61
69.37,10.64
70.07,10.67
70.77,10.69
71.48,10.72
72.19,10.74
72.91,10.76
73.64,10.78
74.38,10.80
75.12,10.83
75.87,10.87
76.63,10.91
77.40,10.96
78.17,11.02
78.95,11.08
79.74,11.13
80.54,11.19
81.35,11.25
82.16,11.32
82.98,11.38
83.81,11.43
84.65,11.49
85.50,11.54
86.35,11.59
87.22,11.64
88.09,11.69
88.97,11.73
89.86,11.78
90.76,11.81
91.66,11.84
92.58,11.87
93.51,11.91
94.44,11.94
95.39,11.98
96.34,12.01
97.30,12.05
98.28,12.08
99.26,12.11
100.25,12.14
101.25,12.17
102.27,12.20
103.29,12.22
104.32,12.25
105.37,12.28
106.42,12.30
107.48,12.33
108.56,12.35
109.64,12.37
110.74,12.39
111.85,12.41
112.97,12.43
114.10,12.44
115.24,12.46
116.39,12.47
117.55,12.48
118.73,12.49
119.92,12.51
121.12,12.51
122.33,12.51
123.55,12.51
124.79,12.53
126.03,12.53
127.29,12.54
128.57,12.55
129.85,12.56
131.15,12.57
132.46,12.58
133.79,12.58
135.12,12.58
136.48,12.57
137.84,12.56
139.22,12.54
140.61,12.52
142.02,12.51
143.44,12.50
144.87,12.51
146.32,12.51
147.78,12.51
149.26,12.51
150.75,12.51
152.26,12.50
153.78,12.50
155.32,12.49
156.88,12.48
158.44,12.47
160.03,12.46
161.63,12.45
163.24,12.43
164.88,12.41
166.53,12.39
168.19,12.37
169.87,12.35
171.57,12.33
173.29,12.30
175.02,12.27
176.77,12.24
178.54,12.23
180.32,12.22
182.13,12.15
183.95,12.11
185.79,12.07
187.65,12.03
189.52,11.98
191.42,11.94
193.33,11.89
195.27,11.84
197.22,11.78
199.19,11.72
201.18,11.66
203.19,11.59
205.23,11.52
207.28,11.45
209.35,11.38
211.44,11.31
213.56,11.24
215.69,11.16
217.85,11.07
220.03,10.98
222.23,10.88
224.45,10.78
226.70,10.68
228.96,10.57
231.25,10.45
233.57,10.34
235.90,10.22
238.26,10.10
240.64,9.98
243.05,9.85
245.48,9.72
247.93,9.59
250.41,9.46
252.92,9.34
255.45,9.23
258.00,9.12
260.58,9.02
263.19,8.91
265.82,8.81
268.48,8.71
271.16,8.61
273.87,8.50
276.61,8.38
279.38,8.26
282.17,8.15
284.99,8.04
287.84,7.91
290.72,7.78
293.63,7.65
296.57,7.51
299.53,7.38
302.53,7.23
305.55,7.09
308.61,6.94
311.69,6.79
314.81,6.64
317.96,6.49
321.14,6.33
324.35,6.17
327.59,6.01
330.87,5.85
334.18,5.69
337.52,5.51
340.90,5.33
344.30,5.14
347.75,4.93
351.23,4.74
354.74,4.56
358.28,4.48
361.87,4.42
365.49,4.38
369.14,4.30
372.83,4.20
376.56,4.09
380.33,3.96
384.13,3.83
387.97,3.69
391.85,3.55
395.77,3.40
399.73,3.27
403.72,3.15
407.76,3.02
411.84,2.90
415.96,2.77
420.12,2.65
424.32,2.54
428.56,2.42
432.85,2.31
437.18,2.19
441.55,2.06
445.96,1.93
450.42,1.79
454.93,1.66
459.48,1.51
464.07,1.38
468.71,1.27
473.40,1.16
478.13,1.05
482.91,0.93
487.74,0.82
492.62,0.71
497.55,0.60
502.52,0.51
507.55,0.42
512.62,0.35
517.75,0.29
522.93,0.24
528.16,0.20
533.44,0.14
538.77,0.09
544.16,0.06
549.60,0.01
555.10,-0.03
560.65,-0.08
566.25,-0.13
571.92,-0.19
577.64,-0.26
583.41,-0.33
589.25,-0.41
595.14,-0.46
601.09,-0.50
607.10,-0.53
613.17,-0.54
619.30,-0.55
625.50,-0.55
631.75,-0.54
638.07,-0.52
644.45,-0.50
650.89,-0.49
657.40,-0.47
663.98,-0.45
670.62,-0.42
677.32,-0.34
684.10,-0.29
690.94,-0.24
697.85,-0.22
704.83,-0.18
711.87,-0.13
718.99,-0.05
726.18,-0.03
733.44,-0.00
740.78,0.05
748.19,0.13
755.67,0.21
763.23,0.27
770.86,0.32
778.57,0.37
786.35,0.43
794.22,0.49
802.16,0.54
810.18,0.57
818.28,0.60
826.46,0.61
834.73,0.60
843.08,0.60
851.51,0.61
860.02,0.56
868.62,0.58
877.31,0.59
886.08,0.52
894.94,0.47
903.89,0.40
912.93,0.31
922.06,0.30
931.28,0.23
940.59,0.16
950.00,0.16
959.50,0.15
969.09,0.14
978.78,0.10
988.57,0.06
998.46,0.01
1008.44,-0.07
1018.53,-0.14
1028.71,-0.19
1039.00,-0.22
1049.39,-0.26
1059.88,-0.30
1070.48,-0.33
1081.19,-0.32
1092.00,-0.29
1102.92,-0.27
1113.95,-0.20
1125.09,-0.14
1136.34,-0.11
1147.70,-0.06
1159.18,0.02
1170.77,0.10
1182.48,0.10
1194.30,0.29
1206.25,0.47
1218.31,0.58
1230.49,0.73
1242.80,0.90
1255.22,1.09
1267.78,1.23
1280.45,1.27
1293.26,1.45
1306.19,1.62
1319.25,1.76
1332.45,2.02
1345.77,2.21
1359.23,2.29
1372.82,2.53
1386.55,2.73
1400.41,2.86
1414.42,3.01
1428.56,3.17
1442.85,3.31
1457.28,3.43
1471.85,3.54
1486.57,3.65
1501.43,3.75
1516.45,3.82
1531.61,3.87
1546.93,3.93
1562.40,3.93
1578.02,3.91
1593.80,3.85
1609.74,3.73
1625.84,3.58
1642.10,3.36
1658.52,3.10
1675.10,2.79
1691.85,2.41
1708.77,1.96
1725.86,1.46
1743.12,0.90
1760.55,0.29
1778.15,-0.35
1795.94,-0.97
1813.90,-1.63
1832.03,-2.27
1850.36,-2.89
1868.86,-3.44
1887.55,-3.93
1906.42,-4.34
1925.49,-4.64
1944.74,-4.70
1964.19,-4.67
1983.83,-4.54
2003.67,-4.30
2023.71,-3.95
2043.94,-3.56
2064.38,-3.14
2085.03,-2.70
2105.88,-2.26
2126.94,-1.83
2148.20,-1.40
2169.69,-0.98
2191.38,-0.57
2213.30,-0.17
2235.43,0.23
2257.78,0.61
2280.36,0.98
2303.17,1.33
2326.20,1.64
2349.46,1.91
2372.95,2.17
2396.68,2.44
2420.65,2.76
2444.86,3.14
2469.31,3.56
2494.00,4.02
2518.94,4.45
2544.13,4.87
2569.57,5.28
2595.27,5.67
2621.22,6.05
2647.43,6.39
2673.90,6.71
2700.64,7.00
2727.65,7.25
2754.93,7.47
2782.48,7.65
2810.30,7.80
2838.40,7.92
2866.79,8.00
2895.46,8.05
2924.41,8.05
2953.65,8.04
2983.19,8.01
3013.02,7.95
3043.15,7.87
3073.58,7.77
3104.32,7.65
3135.36,7.55
3166.72,7.45
3198.38,7.35
3230.37,7.26
3262.67,7.19
3295.30,7.14
3328.25,7.12
3361.53,7.11
3395.15,7.15
3429.10,7.20
3463.39,7.26
3498.03,7.32
3533.01,7.40
3568.34,7.47
3604.02,7.53
3640.06,7.56
3676.46,7.57
3713.22,7.54
3750.36,7.49
3787.86,7.40
3825.74,7.30
3864.00,7.17
3902.64,7.01
3941.66,6.83
3981.08,6.61
4020.89,6.35
4061.10,6.06
4101.71,5.75
4142.73,5.44
4184.15,5.14
4226.00,4.89
4268.26,4.72
4310.94,4.66
4354.05,4.84
4397.59,5.19
4441.56,5.63
4485.98,6.22
4530.84,6.79
4576.15,7.28
4621.91,7.72
4668.13,8.03
4714.81,8.27
4761.96,8.45
4809.58,8.55
4857.67,8.62
4906.25,8.67
4955.31,8.72
5004.87,8.80
5054.91,8.90
5105.46,9.03
5156.52,9.19
5208.08,9.40
5260.16,9.64
5312.77,9.89
5365.89,10.14
5419.55,10.36
5473.75,10.52
5528.49,10.58
5583.77,10.49
5639.61,10.20
5696.00,9.82
5752.96,9.22
5810.49,8.59
5868.60,7.90
5927.28,7.24
5986.56,6.60
6046.42,5.99
6106.89,5.38
6167.96,4.78
6229.64,4.17
6291.93,3.55
6354.85,2.93
6418.40,2.31
6482.58,1.68
6547.41,0.98
6612.88,0.20
6679.01,-0.76
6745.80,-1.93
6813.26,-3.25
6881.39,-4.79
6950.21,-6.41
7019.71,-8.03
7089.91,-9.52
7160.81,-10.22
7232.41,-10.05
7304.74,-8.95
7377.79,-7.05
7451.56,-5.10
7526.08,-3.21
7601.34,-1.49
7677.35,-0.12
7754.13,1.09
7831.67,1.64
7909.98,1.90
7989.08,1.67
8068.98,0.95
8149.67,0.05
8231.16,-1.02
8313.47,-2.08
8396.61,-3.11
8480.57,-4.02
8565.38,-4.57
8651.03,-4.39
8737.54,-3.11
8824.92,-2.09
8913.17,-2.23
9002.30,-2.86
9092.32,-5.15
9183.25,-7.94
9275.08,-10.49
9367.83,-11.77
9461.51,-11.03
9556.12,-9.68
9651.68,-8.17
9748.20,-6.80
9845.68,-5.60
9944.14,-4.50
10043.58,-3.50
10144.02,-2.57
10245.46,-1.87
10347.91,-1.42
10451.39,-1.29
10555.91,-1.78
10661.46,-2.48
10768.08,-3.33
10875.76,-4.12
10984.52,-4.76
11094.36,-5.29
11205.31,-5.70
11317.36,-6.07
11430.53,-6.50
11544.84,-7.16
11660.29,-8.06
11776.89,-9.15
11894.66,-10.97
12013.60,-12.93
12133.74,-15.51
12255.08,-17.99
12377.63,-19.89
12501.41,-19.90
12626.42,-18.19
12752.68,-16.86
12880.21,-16.41
13009.01,-16.43
13139.10,-16.45
13270.49,-17.41
13403.20,-18.61
13537.23,-19.94
13672.60,-21.49
13809.33,-22.97
13947.42,-20.85
14086.90,-17.30
14227.77,-12.88
14370.04,-9.46
14513.74,-7.24
14658.88,-6.37
14805.47,-5.56
14953.52,-4.85
15103.06,-3.80
15254.09,-2.56
15406.63,-1.03
15560.70,0.57
15716.30,2.26
15873.47,3.95
16032.20,5.48
16192.52,6.44
16354.45,6.27
16517.99,5.30
16683.17,2.71
16850.01,0.01
17018.51,-2.51
17188.69,-2.82
17360.58,-1.79
17534.18,-0.09
17709.53,1.37
17886.62,1.97
18065.49,1.71
18246.14,0.41
18428.60,-1.53
18612.89,-2.95
18799.02,-3.92
18987.01,-4.60
19176.88,-5.72
19368.65,-7.00
19562.33,-8.41
19757.96,-9.91
19955.54,-11.42
