frequency,raw
20.00,-3.98
20.20,-3.91
20.40,-3.85
20.61,-3.78
20.81,-3.72
21.02,-3.66
21.23,-3.60
21.44,-3.53
21.66,-3.47
21.87,-3.40
22.09,-3.33
22.31,-3.27
22.54,-3.20
22.76,-3.14
22.99,-3.08
23.22,-3.02
23.45,-2.96
23.69,-2.90
23.92,-2.84
24.16,-2.78
24.40,-2.73
24.65,-2.67
24.89,-2.62
25.14,-2.56
25.39,-2.50
25.65,-2.45
25.91,-2.39
26.16,-2.33
26.43,-2.28
26.69,-2.23
26.96,-2.18
27.23,-2.13
27.50,-2.09
27.77,-2.04
28.05,-1.99
28.33,-1.94
28.62,-1.89
28.90,-1.84
29.19,-1.79
29.48,-1.75
29.78,-1.71
30.08,-1.66
30.38,-1.62
30.68,-1.58
30.99,-1.54
31.30,-1.50
31.61,-1.46
31.93,-1.42
32.24,-1.38
32.57,-1.33
32.89,-1.28
33.22,-1.24
33.55,-1.20
33.89,-1.16
34.23,-1.13
34.57,-1.10
34.92,-1.07
35.27,-1.03
35.62,-0.99
35.97,-0.95
36.33,-0.91
36.70,-0.87
37.06,-0.84
37.43,-0.79
37.81,-0.74
38.19,-0.69
38.57,-0.64
38.95,-0.59
39.34,-0.55
39.74,-0.51
40.14,-0.47
40.54,-0.43
40.94,-0.38
41.35,-0.34
41.76,-0.30
42.18,-0.27
42.60,-0.24
43.03,-0.20
43.46,-0.18
43.90,-0.15
44.33,-0.13
44.78,-0.12
45.23,-0.09
45.68,-0.07
46.13,-0.04
46.60,-0.01
47.06,0.01
47.53,0.02
48.01,0.03
48.49,0.04
48.97,0.05
49.46,0.07
49.96,0.09
50.46,0.11
50.96,0.13
51.47,0.14
51.99,0.16
52.51,0.18
53.03,0.20
53.56,0.22
54.10,0.24
54.64,0.26
55.18,0.29
55.74,0.31
56.29,0.34
56.86,0.35
57.42,0.38
58.00,0.40
58.58,0.43
59.16,0.45
59.76,0.44
60.35,0.44
60.96,0.45
61.57,0.47
62.18,0.50
62.80,0.52
63.43,0.53
64.07,0.55
64.71,0.56
65.35,0.57
66.01,0.59
66.67,0.61
67.33,0.63
68.01,0.65
68.69,0.67
69.37,0.69
70.07,0.71
70.77,0.72
71.48,0.74
72.19,0.76
72.91,0.78
73.64,0.79
74.38,0.81
75.12,0.83
75.87,0.85
76.63,0.86
77.40,0.87
78.17,0.89
78.95,0.91
79.74,0.93
80.54,0.94
81.35,0.96
82.16,0.97
82.98,0.98
83.81,1.00
84.65,1.01
85.50,1.02
86.35,1.03
87.22,1.04
88.09,1.05
88.97,1.06
89.86,1.07
90.76,1.07
91.66,1.08
92.58,1.08
93.51,1.08
94.44,1.09
95.39,1.09
96.34,1.09
97.30,1.09
98.28,1.09
99.26,1.09
100.25,1.10
101.25,1.10
102.27,1.11
103.29,1.11
104.32,1.10
105.37,1.10
106.42,1.11
107.48,1.11
108.56,1.11
109.64,1.11
110.74,1.11
111.85,1.11
112.97,1.10
114.10,1.10
115.24,1.11
116.39,1.10
117.55,1.10
118.73,1.12
119.92,1.15
121.12,1.13
122.33,1.07
123.55,1.07
124.79,1.07
126.03,1.06
127.29,1.06
128.57,1.06
129.85,1.06
131.15,1.06
132.46,1.06
133.79,1.06
135.12,1.05
136.48,1.04
137.84,1.04
139.22,1.04
140.61,1.03
142.02,1.02
143.44,1.01
144.87,1.00
146.32,0.99
147.78,0.98
149.26,0.96
150.75,0.94
152.26,0.93
153.78,0.92
155.32,0.90
156.88,0.89
158.44,0.87
160.03,0.86
161.63,0.84
163.24,0.82
164.88,0.81
166.53,0.79
168.19,0.77
169.87,0.75
171.57,0.74
173.29,0.73
175.02,0.72
176.77,0.70
178.54,0.68
180.32,0.67
182.13,0.66
183.95,0.64
185.79,0.62
187.65,0.60
189.52,0.58
191.42,0.55
193.33,0.53
195.27,0.51
197.22,0.47
199.19,0.44
201.18,0.42
203.19,0.41
205.23,0.39
207.28,0.37
209.35,0.34
211.44,0.31
213.56,0.28
215.69,0.25
217.85,0.23
220.03,0.19
222.23,0.17
224.45,0.15
226.70,0.13
228.96,0.11
231.25,0.09
233.57,0.07
235.90,0.05
238.26,0.03
240.64,0.01
243.05,0.00
245.48,-0.02
247.93,-0.03
250.41,-0.05
252.92,-0.06
255.45,-0.08
258.00,-0.09
260.58,-0.10
263.19,-0.11
265.82,-0.13
268.48,-0.15
271.16,-0.16
273.87,-0.18
276.61,-0.22
279.38,-0.24
282.17,-0.26
284.99,-0.28
287.84,-0.30
290.72,-0.32
293.63,-0.34
296.57,-0.36
299.53,-0.38
302.53,-0.40
305.55,-0.42
308.61,-0.44
311.69,-0.47
314.81,-0.50
317.96,-0.53
321.14,-0.56
324.35,-0.59
327.59,-0.64
330.87,-0.68
334.18,-0.73
337.52,-0.77
340.90,-0.81
344.30,-0.84
347.75,-0.86
351.23,-0.88
354.74,-0.91
358.28,-0.92
361.87,-0.92
365.49,-0.92
369.14,-0.91
372.83,-0.92
376.56,-0.92
380.33,-0.92
384.13,-0.93
387.97,-0.95
391.85,-0.97
395.77,-0.99
399.73,-1.00
403.72,-1.01
407.76,-1.03
411.84,-1.05
415.96,-1.06
420.12,-1.07
424.32,-1.09
428.56,-1.11
432.85,-1.12
437.18,-1.13
441.55,-1.14
445.96,-1.15
450.42,-1.17
454.93,-1.19
459.48,-1.21
464.07,-1.24
468.71,-1.27
473.40,-1.28
478.13,-1.29
482.91,-1.31
487.74,-1.32
492.62,-1.35
497.55,-1.36
502.52,-1.36
507.55,-1.35
512.62,-1.35
517.75,-1.35
522.93,-1.33
528.16,-1.32
533.44,-1.32
538.77,-1.31
544.16,-1.32
549.60,-1.33
555.10,-1.34
560.65,-1.34
566.25,-1.34
571.92,-1.33
577.64,-1.31
583.41,-1.31
589.25,-1.33
595.14,-1.31
601.09,-1.29
607.10,-1.29
613.17,-1.28
619.30,-1.27
625.50,-1.26
631.75,-1.24
638.07,-1.23
644.45,-1.19
650.89,-1.14
657.40,-1.08
663.98,-1.05
670.62,-1.03
677.32,-0.96
684.10,-0.88
690.94,-0.80
697.85,-0.76
704.83,-0.70
711.87,-0.62
718.99,-0.56
726.18,-0.50
733.44,-0.45
740.78,-0.40
748.19,-0.34
755.67,-0.29
763.23,-0.24
770.86,-0.22
778.57,-0.18
786.35,-0.13
794.22,-0.10
802.16,-0.07
810.18,-0.03
818.28,0.02
826.46,0.06
834.73,0.09
843.08,0.11
851.51,0.13
860.02,0.15
868.62,0.19
877.31,0.23
886.08,0.23
894.94,0.23
903.89,0.21
912.93,0.18
922.06,0.18
931.28,0.16
940.59,0.15
950.00,0.15
959.50,0.18
969.09,0.16
978.78,0.11
988.57,0.06
998.46,0.01
1008.44,-0.08
1018.53,-0.18
1028.71,-0.30
1039.00,-0.37
1049.39,-0.41
1059.88,-0.43
1070.48,-0.48
1081.19,-0.48
1092.00,-0.47
1102.92,-0.50
1113.95,-0.47
1125.09,-0.44
1136.34,-0.44
1147.70,-0.42
1159.18,-0.41
1170.77,-0.39
1182.48,-0.40
1194.30,-0.25
1206.25,-0.11
1218.31,-0.04
1230.49,0.11
1242.80,0.27
1255.22,0.36
1267.78,0.39
1280.45,0.43
1293.26,0.56
1306.19,0.69
1319.25,0.80
1332.45,0.97
1345.77,1.09
1359.23,1.13
1372.82,1.26
1386.55,1.36
1400.41,1.42
1414.42,1.57
1428.56,1.73
1442.85,1.88
1457.28,2.02
1471.85,2.13
1486.57,2.26
1501.43,2.39
1516.45,2.56
1531.61,2.70
1546.93,2.81
1562.40,2.90
1578.02,2.99
1593.80,3.07
1609.74,3.09
1625.84,3.08
1642.10,2.97
1658.52,2.84
1675.10,2.70
1691.85,2.45
1708.77,2.12
1725.86,1.71
1743.12,1.29
1760.55,0.81
1778.15,0.28
1795.94,-0.28
1813.90,-0.87
1832.03,-1.46
1850.36,-2.02
1868.86,-2.53
1887.55,-3.02
1906.42,-3.45
1925.49,-3.76
1944.74,-3.91
1964.19,-3.97
1983.83,-3.89
2003.67,-3.67
2023.71,-3.33
2043.94,-2.94
2064.38,-2.51
2085.03,-2.05
2105.88,-1.58
2126.94,-1.11
2148.20,-0.62
2169.69,-0.13
2191.38,0.34
2213.30,0.78
2235.43,1.20
2257.78,1.61
2280.36,2.02
2303.17,2.42
2326.20,2.81
2349.46,3.16
2372.95,3.51
2396.68,3.85
2420.65,4.23
2444.86,4.62
2469.31,5.03
2494.00,5.44
2518.94,5.87
2544.13,6.29
2569.57,6.72
2595.27,7.13
2621.22,7.53
2647.43,7.90
2673.90,8.26
2700.64,8.60
2727.65,8.92
2754.93,9.21
2782.48,9.45
2810.30,9.66
2838.40,9.84
2866.79,9.98
2895.46,10.08
2924.41,10.14
2953.65,10.19
2983.19,10.16
3013.02,10.10
