frequency,raw
20.00,-5.31
20.20,-5.18
20.40,-5.06
20.61,-4.94
20.81,-4.81
21.02,-4.68
21.23,-4.54
21.44,-4.40
21.66,-4.25
21.87,-4.11
22.09,-3.97
22.31,-3.83
22.54,-3.70
22.76,-3.59
22.99,-3.48
23.22,-3.37
23.45,-3.26
23.69,-3.15
23.92,-3.03
24.16,-2.90
24.40,-2.78
24.65,-2.65
24.89,-2.54
25.14,-2.43
25.39,-2.32
25.65,-2.22
25.91,-2.13
26.16,-2.04
26.43,-1.94
26.69,-1.85
26.96,-1.76
27.23,-1.67
27.50,-1.58
27.77,-1.49
28.05,-1.41
28.33,-1.33
28.62,-1.25
28.90,-1.17
29.19,-1.10
29.48,-1.03
29.78,-0.97
30.08,-0.91
30.38,-0.85
30.68,-0.79
30.99,-0.74
31.30,-0.68
31.61,-0.63
31.93,-0.57
32.24,-0.52
32.57,-0.47
32.89,-0.41
33.22,-0.36
33.55,-0.30
33.89,-0.25
34.23,-0.19
34.57,-0.14
34.92,-0.10
35.27,-0.06
35.62,-0.02
35.97,0.01
36.33,0.04
36.70,0.07
37.06,0.10
37.43,0.13
37.81,0.15
38.19,0.17
38.57,0.18
38.95,0.20
39.34,0.22
39.74,0.23
40.14,0.23
40.54,0.24
40.94,0.23
41.35,0.23
41.76,0.22
42.18,0.22
42.60,0.21
43.03,0.19
43.46,0.16
43.90,0.14
44.33,0.12
44.78,0.10
45.23,0.08
45.68,0.05
46.13,0.02
46.60,-0.00
47.06,-0.02
47.53,-0.04
48.01,-0.05
48.49,-0.06
48.97,-0.08
49.46,-0.10
49.96,-0.11
50.46,-0.13
50.96,-0.15
51.47,-0.18
51.99,-0.20
52.51,-0.22
53.03,-0.23
53.56,-0.24
54.10,-0.25
54.64,-0.28
55.18,-0.30
55.74,-0.32
56.29,-0.33
56.86,-0.35
57.42,-0.35
58.00,-0.35
58.58,-0.38
59.16,-0.40
59.76,-0.44
60.35,-0.46
60.96,-0.47
61.57,-0.48
62.18,-0.50
62.80,-0.52
63.43,-0.54
64.07,-0.56
64.71,-0.57
65.35,-0.59
66.01,-0.59
66.67,-0.61
67.33,-0.63
68.01,-0.65
68.69,-0.67
69.37,-0.69
70.07,-0.71
70.77,-0.72
71.48,-0.73
72.19,-0.75
72.91,-0.77
73.64,-0.79
74.38,-0.80
75.12,-0.81
75.87,-0.83
76.63,-0.85
77.40,-0.87
78.17,-0.88
78.95,-0.90
79.74,-0.91
80.54,-0.92
81.35,-0.93
82.16,-0.94
82.98,-0.96
83.81,-0.97
84.65,-0.98
85.50,-0.99
86.35,-1.00
87.22,-1.02
88.09,-1.03
88.97,-1.04
89.86,-1.05
90.76,-1.07
91.66,-1.09
92.58,-1.10
93.51,-1.12
94.44,-1.14
95.39,-1.16
96.34,-1.18
97.30,-1.19
98.28,-1.22
99.26,-1.24
100.25,-1.26
101.25,-1.28
102.27,-1.31
103.29,-1.33
104.32,-1.34
105.37,-1.37
106.42,-1.39
107.48,-1.41
108.56,-1.43
109.64,-1.45
110.74,-1.47
111.85,-1.49
112.97,-1.50
114.10,-1.52
115.24,-1.54
116.39,-1.55
117.55,-1.57
118.73,-1.57
119.92,-1.58
121.12,-1.60
122.33,-1.64
123.55,-1.64
124.79,-1.66
126.03,-1.67
127.29,-1.68
128.57,-1.69
129.85,-1.70
131.15,-1.71
132.46,-1.72
133.79,-1.73
135.12,-1.74
136.48,-1.75
137.84,-1.76
139.22,-1.77
140.61,-1.78
142.02,-1.78
143.44,-1.79
144.87,-1.79
146.32,-1.81
147.78,-1.82
149.26,-1.82
150.75,-1.83
152.26,-1.83
153.78,-1.84
155.32,-1.84
156.88,-1.85
158.44,-1.85
160.03,-1.85
161.63,-1.86
163.24,-1.87
164.88,-1.87
166.53,-1.88
168.19,-1.88
169.87,-1.89
171.57,-1.90
173.29,-1.90
175.02,-1.91
176.77,-1.92
178.54,-1.92
180.32,-1.92
182.13,-1.93
183.95,-1.93
185.79,-1.94
187.65,-1.94
189.52,-1.95
191.42,-1.95
193.33,-1.95
195.27,-1.96
197.22,-1.96
199.19,-1.96
201.18,-1.96
203.19,-1.95
205.23,-1.95
207.28,-1.95
209.35,-1.95
211.44,-1.95
213.56,-1.96
215.69,-1.96
217.85,-1.96
220.03,-1.96
222.23,-1.96
224.45,-1.96
226.70,-1.96
228.96,-1.96
231.25,-1.96
233.57,-1.96
235.90,-1.95
238.26,-1.95
240.64,-1.94
243.05,-1.92
245.48,-1.92
247.93,-1.92
250.41,-1.91
252.92,-1.91
255.45,-1.91
258.00,-1.91
260.58,-1.91
263.19,-1.90
265.82,-1.90
268.48,-1.91
271.16,-1.91
273.87,-1.93
276.61,-1.94
279.38,-1.97
282.17,-1.98
284.99,-1.98
287.84,-1.99
290.72,-1.99
293.63,-2.00
296.57,-2.01
299.53,-2.01
302.53,-2.02
305.55,-2.02
308.61,-2.02
311.69,-2.03
314.81,-2.03
317.96,-2.03
321.14,-2.03
324.35,-2.03
327.59,-2.04
330.87,-2.04
334.18,-2.05
337.52,-2.04
340.90,-2.04
344.30,-2.04
347.75,-2.04
351.23,-2.03
354.74,-2.03
358.28,-2.03
361.87,-2.02
365.49,-2.01
369.14,-2.00
372.83,-1.99
376.56,-1.97
380.33,-1.94
384.13,-1.92
387.97,-1.89
391.85,-1.87
395.77,-1.85
399.73,-1.84
403.72,-1.81
407.76,-1.79
411.84,-1.75
415.96,-1.72
420.12,-1.69
424.32,-1.66
428.56,-1.64
432.85,-1.62
437.18,-1.60
441.55,-1.56
445.96,-1.53
450.42,-1.50
454.93,-1.47
459.48,-1.45
464.07,-1.42
468.71,-1.39
473.40,-1.35
478.13,-1.32
482.91,-1.29
487.74,-1.24
492.62,-1.22
497.55,-1.20
502.52,-1.17
507.55,-1.15
512.62,-1.10
