frequency,raw
20.00,6.70
20.20,6.70
20.40,6.69
20.61,6.69
20.81,6.68
21.02,6.68
21.23,6.67
21.44,6.67
21.66,6.66
21.87,6.65
22.09,6.65
22.31,6.64
22.54,6.63
22.76,6.63
22.99,6.62
23.22,6.62
23.45,6.61
23.69,6.61
23.92,6.60
24.16,6.59
24.40,6.57
24.65,6.56
24.89,6.54
25.14,6.52
25.39,6.51
25.65,6.49
25.91,6.48
26.16,6.47
26.43,6.46
26.69,6.44
26.96,6.43
27.23,6.42
27.50,6.40
27.77,6.39
28.05,6.37
28.33,6.35
28.62,6.33
28.90,6.31
29.19,6.28
29.48,6.26
29.78,6.23
30.08,6.21
30.38,6.19
30.68,6.17
30.99,6.16
31.30,6.14
31.61,6.12
31.93,6.10
32.24,6.06
32.57,6.03
32.89,5.99
33.22,5.96
33.55,5.92
33.89,5.89
34.23,5.85
34.57,5.81
34.92,5.78
35.27,5.74
35.62,5.70
35.97,5.65
36.33,5.60
36.70,5.55
37.06,5.51
37.43,5.48
37.81,5.46
38.19,5.43
38.57,5.39
38.95,5.34
39.34,5.28
39.74,5.23
40.14,5.18
40.54,5.14
40.94,5.10
41.35,5.05
41.76,4.99
42.18,4.94
42.60,4.89
43.03,4.84
43.46,4.79
43.90,4.75
44.33,4.71
44.78,4.66
45.23,4.61
45.68,4.57
46.13,4.52
46.60,4.47
47.06,4.42
47.53,4.37
48.01,4.31
48.49,4.26
48.97,4.20
49.46,4.15
49.96,4.10
50.46,4.06
50.96,4.02
51.47,3.99
51.99,3.93
52.51,3.87
53.03,3.81
53.56,3.76
54.10,3.71
54.64,3.67
55.18,3.63
55.74,3.55
56.29,3.49
56.86,3.43
57.42,3.41
58.00,3.40
58.58,3.33
59.16,3.27
59.76,3.20
60.35,3.14
60.96,3.08
61.57,3.01
62.18,2.97
62.80,2.95
63.43,2.91
64.07,2.86
64.71,2.81
65.35,2.77
66.01,2.73
66.67,2.68
67.33,2.65
68.01,2.63
68.69,2.61
69.37,2.59
70.07,2.58
70.77,2.55
71.48,2.55
72.19,2.56
72.91,2.61
73.64,2.57
74.38,2.54
75.12,2.53
75.87,2.55
76.63,2.56
77.40,2.56
78.17,2.57
78.95,2.59
79.74,2.59
80.54,2.61
81.35,2.63
82.16,2.64
82.98,2.65
83.81,2.65
84.65,2.67
85.50,2.69
86.35,2.71
87.22,2.73
88.09,2.75
88.97,2.77
89.86,2.79
90.76,2.81
91.66,2.82
92.58,2.81
93.51,2.84
94.44,2.82
95.39,2.81
96.34,2.83
97.30,2.84
98.28,2.81
99.26,2.79
100.25,2.77
101.25,2.72
102.27,2.70
103.29,2.69
104.32,2.65
105.37,2.61
106.42,2.59
107.48,2.58
108.56,2.53
109.64,2.50
110.74,2.46
111.85,2.42
112.97,2.38
114.10,2.34
115.24,2.30
116.39,2.25
117.55,2.19
118.73,2.13
119.92,2.06
121.12,2.00
122.33,1.95
123.55,1.88
124.79,1.78
126.03,1.75
127.29,1.66
128.57,1.54
129.85,1.46
131.15,1.37
132.46,1.31
133.79,1.35
135.12,1.25
136.48,1.15
137.84,1.09
139.22,1.07
140.61,1.02
142.02,0.93
143.44,0.86
144.87,0.81
146.32,0.76
147.78,0.71
149.26,0.65
150.75,0.58
152.26,0.52
153.78,0.45
155.32,0.38
156.88,0.32
158.44,0.25
160.03,0.17
161.63,0.11
163.24,0.04
164.88,-0.05
166.53,-0.14
168.19,-0.24
169.87,-0.33
171.57,-0.42
173.29,-0.51
175.02,-0.62
176.77,-0.69
178.54,-0.76
180.32,-0.85
