frequency,raw
20.00,-9.36
20.20,-9.31
20.40,-9.25
20.61,-9.20
20.81,-9.16
21.02,-9.12
21.23,-9.08
21.44,-9.02
21.66,-8.95
21.87,-8.87
22.09,-8.77
22.31,-8.65
22.54,-8.52
22.76,-8.38
22.99,-8.24
23.22,-8.10
23.45,-7.97
23.69,-7.86
23.92,-7.77
24.16,-7.71
24.40,-7.67
24.65,-7.64
24.89,-7.62
25.14,-7.59
25.39,-7.56
25.65,-7.50
25.91,-7.44
26.16,-7.36
26.43,-7.27
26.69,-7.17
26.96,-7.07
27.23,-6.98
27.50,-6.90
27.77,-6.83
28.05,-6.77
28.33,-6.72
28.62,-6.67
28.90,-6.62
29.19,-6.57
29.48,-6.52
29.78,-6.46
30.08,-6.41
30.38,-6.36
30.68,-6.31
30.99,-6.26
31.30,-6.20
31.61,-6.14
31.93,-6.07
32.24,-6.01
32.57,-5.94
32.89,-5.89
33.22,-5.84
33.55,-5.79
33.89,-5.75
34.23,-5.70
34.57,-5.65
34.92,-5.59
35.27,-5.54
35.62,-5.49
35.97,-5.44
36.33,-5.40
36.70,-5.35
37.06,-5.30
37.43,-5.25
37.81,-5.20
38.19,-5.15
38.57,-5.10
38.95,-5.04
39.34,-4.98
39.74,-4.93
40.14,-4.87
40.54,-4.82
40.94,-4.77
41.35,-4.73
41.76,-4.69
42.18,-4.63
42.60,-4.59
43.03,-4.54
43.46,-4.51
43.90,-4.48
44.33,-4.45
44.78,-4.42
45.23,-4.39
45.68,-4.36
46.13,-4.33
46.60,-4.30
47.06,-4.27
47.53,-4.24
48.01,-4.23
48.49,-4.22
48.97,-4.22
49.46,-4.20
49.96,-4.19
50.46,-4.18
50.96,-4.18
51.47,-4.18
51.99,-4.18
52.51,-4.18
53.03,-4.19
53.56,-4.23
54.10,-4.26
54.64,-4.29
55.18,-4.29
55.74,-4.29
56.29,-4.31
56.86,-4.36
57.42,-4.40
58.00,-4.44
58.58,-4.47
59.16,-4.50
59.76,-4.52
60.35,-4.52
60.96,-4.53
61.57,-4.55
62.18,-4.58
62.80,-4.60
63.43,-4.61
64.07,-4.62
64.71,-4.62
65.35,-4.62
66.01,-4.63
66.67,-4.64
67.33,-4.64
68.01,-4.64
68.69,-4.63
69.37,-4.62
70.07,-4.62
70.77,-4.61
71.48,-4.60
72.19,-4.58
72.91,-4.57
73.64,-4.56
74.38,-4.53
75.12,-4.50
75.87,-4.47
76.63,-4.45
