frequency,raw
20.00,-1.92
20.20,-1.82
20.40,-1.72
20.61,-1.61
20.81,-1.52
21.02,-1.43
21.23,-1.34
21.44,-1.27
21.66,-1.21
21.87,-1.14
22.09,-1.09
22.31,-1.04
22.54,-0.99
22.76,-0.94
22.99,-0.89
23.22,-0.83
23.45,-0.78
23.69,-0.73
23.92,-0.67
24.16,-0.61
24.40,-0.55
24.65,-0.49
24.89,-0.43
25.14,-0.36
25.39,-0.29
25.65,-0.22
25.91,-0.15
26.16,-0.07
26.43,-0.00
26.69,0.07
26.96,0.14
27.23,0.20
27.50,0.26
27.77,0.32
28.05,0.37
28.33,0.43
28.62,0.48
28.90,0.53
29.19,0.58
29.48,0.63
29.78,0.68
30.08,0.73
30.38,0.78
30.68,0.83
30.99,0.88
31.30,0.92
31.61,0.96
31.93,1.00
32.24,1.04
32.57,1.08
32.89,1.13
33.22,1.17
33.55,1.22
33.89,1.27
34.23,1.31
34.57,1.35
34.92,1.39
35.27,1.43
35.62,1.47
35.97,1.51
36.33,1.55
36.70,1.58
37.06,1.62
37.43,1.65
37.81,1.67
38.19,1.70
38.57,1.73
38.95,1.75
39.34,1.78
39.74,1.80
40.14,1.82
40.54,1.84
40.94,1.86
41.35,1.87
41.76,1.89
42.18,1.89
42.60,1.90
43.03,1.91
43.46,1.91
43.90,1.90
44.33,1.90
44.78,1.89
45.23,1.88
45.68,1.89
46.13,1.89
46.60,1.89
47.06,1.88
47.53,1.87
48.01,1.86
48.49,1.84
48.97,1.82
49.46,1.80
49.96,1.78
50.46,1.76
50.96,1.73
51.47,1.71
51.99,1.69
52.51,1.66
53.03,1.63
53.56,1.60
54.10,1.57
54.64,1.54
55.18,1.53
55.74,1.50
56.29,1.48
56.86,1.46
57.42,1.44
58.00,1.41
58.58,1.39
59.16,1.36
59.76,1.35
60.35,1.33
60.96,1.30
61.57,1.28
62.18,1.27
62.80,1.25
63.43,1.24
64.07,1.22
64.71,1.21
65.35,1.19
66.01,1.18
66.67,1.17
67.33,1.16
68.01,1.14
68.69,1.13
69.37,1.11
70.07,1.10
70.77,1.09
71.48,1.08
72.19,1.06
72.91,1.05
73.64,1.04
74.38,1.03
75.12,1.01
75.87,1.00
76.63,0.98
77.40,0.97
78.17,0.95
78.95,0.93
79.74,0.92
80.54,0.90
81.35,0.88
82.16,0.86
82.98,0.83
83.81,0.81
84.65,0.77
85.50,0.74
86.35,0.71
87.22,0.67
88.09,0.63
88.97,0.58
89.86,0.53
90.76,0.48
91.66,0.43
92.58,0.38
93.51,0.33
94.44,0.28
95.39,0.23
96.34,0.18
97.30,0.13
98.28,0.08
99.26,0.03
100.25,-0.01
101.25,-0.06
102.27,-0.11
103.29,-0.16
104.32,-0.21
105.37,-0.26
106.42,-0.32
107.48,-0.37
108.56,-0.43
109.64,-0.49
110.74,-0.55
111.85,-0.61
112.97,-0.66
114.10,-0.72
115.24,-0.77
116.39,-0.83
117.55,-0.88
118.73,-0.93
119.92,-0.99
121.12,-1.04
122.33,-1.10
123.55,-1.15
124.79,-1.20
126.03,-1.25
127.29,-1.30
128.57,-1.36
129.85,-1.41
131.15,-1.46
132.46,-1.51
133.79,-1.57
135.12,-1.62
136.48,-1.67
137.84,-1.72
139.22,-1.77
140.61,-1.82
142.02,-1.87
143.44,-1.92
144.87,-1.97
146.32,-2.02
147.78,-2.07
149.26,-2.12
150.75,-2.16
152.26,-2.21
153.78,-2.26
155.32,-2.31
156.88,-2.35
