frequency,raw
20.00,-1.28
20.20,-1.19
20.40,-1.10
20.61,-1.01
20.81,-0.92
21.02,-0.82
21.23,-0.72
21.44,-0.63
21.66,-0.57
21.87,-0.51
22.09,-0.46
22.31,-0.43
22.54,-0.39
22.76,-0.34
22.99,-0.29
23.22,-0.21
23.45,-0.14
23.69,-0.06
23.92,0.02
24.16,0.09
24.40,0.14
24.65,0.18
24.89,0.21
25.14,0.25
25.39,0.29
25.65,0.34
25.91,0.40
26.16,0.47
26.43,0.54
26.69,0.60
26.96,0.66
27.23,0.72
27.50,0.76
27.77,0.80
28.05,0.85
28.33,0.90
28.62,0.95
28.90,1.01
29.19,1.08
29.48,1.15
29.78,1.21
30.08,1.28
30.38,1.33
30.68,1.38
30.99,1.42
31.30,1.47
31.61,1.52
31.93,1.56
32.24,1.61
32.57,1.66
32.89,1.70
33.22,1.74
33.55,1.78
33.89,1.81
34.23,1.85
34.57,1.89
34.92,1.93
35.27,1.97
35.62,2.02
35.97,2.07
36.33,2.13
36.70,2.18
37.06,2.22
37.43,2.26
37.81,2.30
38.19,2.34
38.57,2.38
38.95,2.43
39.34,2.47
39.74,2.52
40.14,2.57
40.54,2.61
40.94,2.65
41.35,2.70
41.76,2.74
42.18,2.77
42.60,2.81
43.03,2.86
43.46,2.89
43.90,2.92
44.33,2.95
44.78,2.96
45.23,2.99
45.68,3.02
46.13,3.07
46.60,3.11
47.06,3.14
47.53,3.15
48.01,3.15
48.49,3.16
48.97,3.17
49.46,3.18
49.96,3.19
50.46,3.19
50.96,3.20
51.47,3.20
51.99,3.19
52.51,3.18
53.03,3.17
53.56,3.15
54.10,3.13
54.64,3.11
55.18,3.11
55.74,3.10
56.29,3.08
56.86,3.06
57.42,3.02
58.00,2.98
58.58,2.96
59.16,2.93
59.76,2.91
60.35,2.89
60.96,2.86
61.57,2.83
62.18,2.80
62.80,2.78
63.43,2.76
64.07,2.75
64.71,2.74
65.35,2.73
66.01,2.72
66.67,2.71
67.33,2.71
68.01,2.71
68.69,2.71
69.37,2.72
70.07,2.73
70.77,2.74
71.48,2.76
72.19,2.78
72.91,2.81
73.64,2.84
74.38,2.89
75.12,2.95
75.87,2.98
76.63,3.02
77.40,3.06
78.17,3.12
78.95,3.19
79.74,3.27
80.54,3.34
81.35,3.41
82.16,3.49
82.98,3.57
83.81,3.65
84.65,3.74
85.50,3.82
86.35,3.89
87.22,3.96
88.09,4.02
88.97,4.08
89.86,4.13
90.76,4.16
91.66,4.18
92.58,4.20
93.51,4.23
94.44,4.27
95.39,4.32
96.34,4.37
97.30,4.45
98.28,4.53
99.26,4.61
100.25,4.70
101.25,4.79
102.27,4.88
103.29,4.98
104.32,5.06
105.37,5.15
106.42,5.24
107.48,5.33
108.56,5.41
109.64,5.49
110.74,5.56
111.85,5.63
112.97,5.69
114.10,5.74
115.24,5.79
116.39,5.84
117.55,5.88
118.73,5.93
119.92,5.98
121.12,6.03
122.33,6.09
123.55,6.16
124.79,6.22
126.03,6.29
127.29,6.36
128.57,6.43
129.85,6.50
131.15,6.57
132.46,6.64
133.79,6.71
135.12,6.78
136.48,6.84
137.84,6.90
139.22,6.96
140.61,7.01
142.02,7.06
143.44,7.11
144.87,7.16
146.32,7.21
147.78,7.26
149.26,7.30
150.75,7.34
152.26,7.38
153.78,7.42
155.32,7.45
156.88,7.48
158.44,7.52
160.03,7.55
161.63,7.58
163.24,7.60
164.88,7.62
166.53,7.62
168.19,7.63
169.87,7.62
171.57,7.61
173.29,7.59
175.02,7.57
176.77,7.53
178.54,7.49
180.32,7.45
182.13,7.38
183.95,7.31
185.79,7.24
187.65,7.17
189.52,7.08
191.42,6.99
193.33,6.90
195.27,6.79
197.22,6.67
199.19,6.52
201.18,6.34
203.19,6.14
205.23,5.91
207.28,5.82
209.35,5.81
211.44,5.81
213.56,5.74
215.69,5.64
217.85,5.54
220.03,5.43
222.23,5.31
224.45,5.19
226.70,5.06
228.96,4.93
231.25,4.80
233.57,4.67
235.90,4.54
238.26,4.40
240.64,4.26
243.05,4.11
245.48,4.02
247.93,3.92
250.41,3.81
252.92,3.68
255.45,3.56
258.00,3.44
260.58,3.32
263.19,3.20
265.82,3.08
268.48,2.97
271.16,2.86
273.87,2.75
276.61,2.64
279.38,2.53
282.17,2.43
284.99,2.32
287.84,2.22
290.72,2.12
293.63,2.03
296.57,1.94
299.53,1.84
302.53,1.76
305.55,1.67
308.61,1.58
311.69,1.50
314.81,1.41
317.96,1.33
321.14,1.24
324.35,1.15
327.59,1.06
330.87,0.96
334.18,0.87
337.52,0.83
340.90,0.82
344.30,0.86
347.75,0.83
351.23,0.76
354.74,0.68
358.28,0.69
361.87,0.78
365.49,0.91
369.14,0.85
372.83,0.79
376.56,0.75
380.33,0.71
384.13,0.68
387.97,0.67
391.85,0.66
395.77,0.66
399.73,0.66
403.72,0.66
407.76,0.66
411.84,0.66
415.96,0.66
420.12,0.67
424.32,0.67
428.56,0.69
432.85,0.70
437.18,0.72
441.55,0.73
445.96,0.75
450.42,0.77
454.93,0.79
459.48,0.81
464.07,0.84
468.71,0.87
473.40,0.90
478.13,0.94
482.91,0.98
487.74,1.02
492.62,1.07
497.55,1.11
502.52,1.15
507.55,1.18
512.62,1.23
517.75,1.26
522.93,1.29
528.16,1.31
533.44,1.33
538.77,1.34
544.16,1.36
549.60,1.37
555.10,1.38
560.65,1.40
566.25,1.41
571.92,1.41
577.64,1.42
583.41,1.43
589.25,1.43
595.14,1.43
601.09,1.42
607.10,1.41
613.17,1.40
619.30,1.38
625.50,1.36
631.75,1.33
638.07,1.30
644.45,1.27
650.89,1.23
657.40,1.19
663.98,1.14
670.62,1.09
677.32,1.05
684.10,1.00
690.94,0.95
697.85,0.91
704.83,0.88
711.87,0.84
718.99,0.81
726.18,0.77
733.44,0.72
740.78,0.67
748.19,0.64
755.67,0.61
763.23,0.58
770.86,0.55
778.57,0.52
786.35,0.48
794.22,0.45
802.16,0.42
810.18,0.41
818.28,0.40
826.46,0.38
834.73,0.35
843.08,0.33
851.51,0.31
860.02,0.30
868.62,0.29
877.31,0.29
886.08,0.28
894.94,0.27
903.89,0.25
912.93,0.23
922.06,0.21
931.28,0.18
940.59,0.15
950.00,0.12
959.50,0.09
969.09,0.06
978.78,0.04
988.57,0.03
998.46,0.00
1008.44,-0.02
1018.53,-0.05
1028.71,-0.08
1039.00,-0.11
1049.39,-0.14
1059.88,-0.18
1070.48,-0.21
1081.19,-0.24
1092.00,-0.27
1102.92,-0.30
1113.95,-0.32
1125.09,-0.36
1136.34,-0.39
1147.70,-0.41
1159.18,-0.44
1170.77,-0.46
1182.48,-0.50
1194.30,-0.49
1206.25,-0.48
1218.31,-0.41
1230.49,-0.35
1242.80,-0.30
1255.22,-0.30
1267.78,-0.32
1280.45,-0.36
1293.26,-0.42
1306.19,-0.48
1319.25,-0.55
1332.45,-0.67
1345.77,-0.86
1359.23,-1.14
1372.82,-1.27
1386.55,-1.10
1400.41,-0.58
1414.42,0.19
1428.56,0.97
1442.85,1.48
1457.28,1.78
1471.85,1.90
1486.57,1.90
1501.43,1.88
1516.45,1.86
1531.61,1.84
1546.93,1.84
1562.40,1.86
1578.02,1.89
1593.80,1.93
1609.74,1.98
1625.84,2.03
1642.10,2.09
1658.52,2.15
1675.10,2.22
1691.85,2.29
1708.77,2.37
1725.86,2.44
1743.12,2.52
1760.55,2.58
1778.15,2.64
1795.94,2.70
1813.90,2.78
1832.03,2.86
1850.36,2.97
1868.86,3.09
1887.55,3.22
1906.42,3.35
1925.49,3.47
1944.74,3.58
1964.19,3.67
1983.83,3.76
2003.67,3.87
2023.71,4.01
2043.94,4.17
2064.38,4.34
2085.03,4.48
2105.88,4.69
2126.94,4.92
2148.20,5.15
2169.69,5.38
2191.38,5.61
2213.30,5.85
2235.43,6.10
2257.78,6.37
2280.36,6.66
2303.17,7.00
2326.20,7.39
2349.46,7.93
2372.95,8.63
2396.68,9.45
2420.65,10.16
2444.86,10.46
2469.31,10.51
2494.00,10.22
2518.94,10.08
2544.13,10.01
2569.57,10.10
2595.27,10.25
2621.22,10.46
2647.43,10.76
2673.90,11.13
2700.64,11.54
2727.65,12.02
2754.93,12.54
2782.48,12.92
2810.30,13.30
2838.40,13.72
2866.79,14.26
2895.46,14.87
2924.41,15.03
2953.65,15.03
2983.19,14.52
3013.02,13.99
3043.15,13.45
3073.58,12.98
3104.32,12.57
3135.36,12.21
3166.72,11.86
3198.38,11.51
3230.37,11.17
3262.67,10.84
3295.30,10.54
3328.25,10.22
3361.53,9.89
3395.15,9.56
3429.10,9.23
3463.39,8.93
3498.03,8.68
3533.01,8.51
3568.34,8.32
3604.02,8.09
3640.06,7.78
3676.46,7.44
3713.22,7.10
3750.36,6.80
3787.86,6.55
3825.74,6.31
3864.00,6.20
3902.64,6.14
3941.66,6.10
3981.08,5.91
4020.89,5.64
4061.10,5.35
4101.71,5.17
4142.73,5.02
4184.15,4.88
4226.00,4.62
4268.26,4.36
4310.94,4.09
4354.05,3.83
4397.59,3.61
4441.56,3.40
4485.98,3.28
4530.84,3.22
4576.15,3.30
4621.91,3.48
4668.13,3.85
4714.81,4.28
4761.96,4.70
4809.58,5.03
4857.67,5.16
4906.25,5.12
4955.31,5.04
5004.87,4.94
5054.91,4.80
5105.46,4.71
5156.52,4.68
5208.08,4.79
5260.16,4.72
5312.77,4.89
5365.89,5.96
5419.55,6.98
5473.75,7.93
5528.49,8.82
5583.77,9.67
5639.61,10.18
5696.00,10.54
5752.96,10.56
5810.49,10.56
5868.60,10.58
5927.28,10.62
5986.56,10.68
6046.42,10.56
6106.89,10.33
6167.96,10.06
6229.64,9.85
6291.93,9.67
6354.85,9.42
6418.40,9.12
6482.58,8.74
6547.41,8.36
6612.88,7.98
6679.01,7.62
6745.80,7.30
6813.26,6.98
6881.39,6.68
6950.21,6.39
7019.71,6.11
7089.91,5.85
7160.81,5.66
7232.41,5.51
7304.74,5.39
7377.79,5.28
7451.56,5.21
7526.08,5.21
7601.34,5.32
7677.35,5.48
7754.13,5.67
7831.67,5.84
7909.98,5.99
7989.08,6.09
8068.98,6.03
8149.67,6.01
8231.16,6.07
8313.47,5.89
8396.61,5.51
8480.57,4.59
8565.38,3.22
8651.03,1.68
8737.54,0.06
8824.92,-0.91
8913.17,-0.64
9002.30,0.07
9092.32,1.15
9183.25,2.10
9275.08,2.99
9367.83,3.85
9461.51,4.75
9556.12,5.62
9651.68,6.35
9748.20,6.90
9845.68,7.04
9944.14,6.95
10043.58,6.66
10144.02,6.25
10245.46,5.82
10347.91,5.46
10451.39,5.20
10555.91,5.12
10661.46,5.14
10768.08,5.27
10875.76,5.50
10984.52,5.73
11094.36,5.96
11205.31,6.19
11317.36,6.51
11430.53,6.80
11544.84,6.89
11660.29,6.73
11776.89,6.40
11894.66,5.70
12013.60,4.96
12133.74,4.06
12255.08,2.90
12377.63,1.52
12501.41,-0.13
