frequency,raw
20.00,7.63
20.20,7.65
20.40,7.68
20.61,7.70
20.81,7.72
21.02,7.73
21.23,7.74
21.44,7.75
21.66,7.76
21.87,7.77
22.09,7.77
22.31,7.78
22.54,7.79
22.76,7.80
22.99,7.82
23.22,7.84
23.45,7.86
23.69,7.88
23.92,7.91
24.16,7.93
24.40,7.95
24.65,7.97
24.89,7.98
25.14,7.99
25.39,8.00
25.65,8.01
25.91,8.01
26.16,8.02
26.43,8.02
26.69,8.02
26.96,8.02
27.23,8.01
27.50,8.00
27.77,7.99
28.05,7.98
28.33,7.98
28.62,7.98
28.90,7.98
29.19,7.98
29.48,7.99
29.78,7.98
30.08,7.98
30.38,7.96
30.68,7.95
30.99,7.94
31.30,7.92
31.61,7.91
31.93,7.89
32.24,7.87
32.57,7.85
32.89,7.83
33.22,7.81
33.55,7.79
33.89,7.78
34.23,7.76
34.57,7.74
34.92,7.72
35.27,7.70
35.62,7.68
35.97,7.66
36.33,7.64
36.70,7.61
37.06,7.59
37.43,7.55
37.81,7.52
38.19,7.48
38.57,7.45
38.95,7.41
39.34,7.38
39.74,7.36
40.14,7.33
40.54,7.31
40.94,7.29
41.35,7.26
41.76,7.23
42.18,7.20
42.60,7.18
43.03,7.14
43.46,7.11
43.90,7.07
44.33,7.03
44.78,6.99
45.23,6.96
45.68,6.93
46.13,6.89
46.60,6.86
47.06,6.82
47.53,6.79
48.01,6.76
48.49,6.73
48.97,6.70
49.46,6.67
49.96,6.64
50.46,6.61
50.96,6.57
51.47,6.53
51.99,6.49
52.51,6.45
53.03,6.40
53.56,6.36
54.10,6.31
54.64,6.26
55.18,6.21
55.74,6.16
56.29,6.10
56.86,6.04
57.42,5.97
58.00,5.91
58.58,5.85
59.16,5.79
59.76,5.72
60.35,5.66
60.96,5.60
61.57,5.53
62.18,5.46
62.80,5.37
63.43,5.30
64.07,5.24
64.71,5.17
65.35,5.10
66.01,5.04
66.67,4.98
67.33,4.92
68.01,4.85
68.69,4.80
69.37,4.75
70.07,4.70
70.77,4.66
71.48,4.61
72.19,4.57
72.91,4.52
73.64,4.48
74.38,4.45
75.12,4.42
75.87,4.40
76.63,4.38
77.40,4.36
78.17,4.33
78.95,4.31
79.74,4.30
80.54,4.30
81.35,4.31
82.16,4.30
82.98,4.30
83.81,4.30
84.65,4.31
85.50,4.32
86.35,4.34
87.22,4.33
88.09,4.34
88.97,4.36
89.86,4.38
90.76,4.40
91.66,4.41
92.58,4.42
93.51,4.44
94.44,4.45
95.39,4.46
96.34,4.46
97.30,4.46
98.28,4.46
99.26,4.46
100.25,4.46
101.25,4.44
102.27,4.42
103.29,4.40
104.32,4.37
105.37,4.34
106.42,4.31
107.48,4.27
108.56,4.22
109.64,4.17
110.74,4.12
111.85,4.06
112.97,4.00
114.10,3.93
115.24,3.87
116.39,3.80
117.55,3.74
118.73,3.67
119.92,3.61
121.12,3.53
122.33,3.46
123.55,3.39
124.79,3.32
126.03,3.25
127.29,3.19
128.57,3.12
129.85,3.04
131.15,2.97
132.46,2.90
133.79,2.82
135.12,2.74
136.48,2.67
137.84,2.58
139.22,2.49
140.61,2.39
142.02,2.30
143.44,2.21
144.87,2.11
146.32,2.01
147.78,1.91
149.26,1.81
150.75,1.70
152.26,1.60
153.78,1.49
155.32,1.37
156.88,1.26
158.44,1.14
160.03,1.03
161.63,0.91
163.24,0.79
164.88,0.67
166.53,0.56
168.19,0.45
169.87,0.35
171.57,0.26
173.29,0.17
175.02,0.09
176.77,0.03
178.54,-0.03
180.32,-0.09
182.13,-0.12
183.95,-0.16
185.79,-0.20
187.65,-0.23
189.52,-0.27
191.42,-0.30
193.33,-0.33
195.27,-0.37
197.22,-0.40
199.19,-0.43
201.18,-0.46
203.19,-0.50
205.23,-0.52
207.28,-0.54
209.35,-0.56
211.44,-0.59
213.56,-0.60
215.69,-0.62
217.85,-0.64
220.03,-0.65
222.23,-0.66
224.45,-0.67
226.70,-0.67
228.96,-0.68
231.25,-0.68
233.57,-0.68
235.90,-0.68
238.26,-0.68
240.64,-0.68
243.05,-0.67
245.48,-0.67
247.93,-0.66
250.41,-0.65
252.92,-0.64
255.45,-0.63
258.00,-0.62
260.58,-0.61
263.19,-0.60
265.82,-0.58
268.48,-0.58
271.16,-0.56
273.87,-0.54
276.61,-0.53
279.38,-0.52
282.17,-0.51
284.99,-0.50
287.84,-0.49
290.72,-0.47
293.63,-0.46
296.57,-0.45
299.53,-0.43
302.53,-0.41
305.55,-0.40
308.61,-0.38
311.69,-0.37
314.81,-0.36
317.96,-0.35
321.14,-0.35
324.35,-0.34
327.59,-0.33
330.87,-0.33
334.18,-0.33
337.52,-0.32
340.90,-0.31
344.30,-0.29
347.75,-0.26
351.23,-0.22
354.74,-0.19
358.28,-0.16
361.87,-0.12
365.49,-0.09
369.14,-0.06
372.83,-0.04
376.56,-0.02
380.33,-0.02
384.13,-0.01
387.97,-0.01
391.85,-0.00
395.77,0.00
399.73,0.01
403.72,0.01
407.76,0.02
411.84,0.03
415.96,0.03
420.12,0.04
424.32,0.05
428.56,0.06
432.85,0.07
437.18,0.07
441.55,0.07
445.96,0.08
450.42,0.08
454.93,0.08
459.48,0.09
464.07,0.09
468.71,0.09
473.40,0.09
478.13,0.09
482.91,0.09
487.74,0.09
492.62,0.09
497.55,0.08
502.52,0.08
507.55,0.07
512.62,0.07
517.75,0.07
522.93,0.07
528.16,0.07
533.44,0.08
538.77,0.08
544.16,0.08
549.60,0.08
555.10,0.08
560.65,0.09
566.25,0.09
571.92,0.09
577.64,0.09
583.41,0.09
589.25,0.09
595.14,0.10
601.09,0.10
607.10,0.10
613.17,0.11
619.30,0.11
625.50,0.11
631.75,0.12
638.07,0.12
644.45,0.12
650.89,0.12
657.40,0.12
663.98,0.11
670.62,0.11
677.32,0.10
684.10,0.08
690.94,0.07
697.85,0.06
704.83,0.04
711.87,0.03
718.99,0.01
726.18,-0.00
733.44,-0.02
740.78,-0.04
748.19,-0.05
755.67,-0.06
763.23,-0.07
770.86,-0.07
778.57,-0.07
786.35,-0.07
794.22,-0.06
802.16,-0.05
810.18,-0.04
818.28,-0.03
826.46,-0.01
834.73,-0.01
843.08,0.00
851.51,0.01
860.02,0.02
868.62,0.02
877.31,0.03
886.08,0.04
894.94,0.04
903.89,0.03
912.93,0.02
922.06,-0.01
931.28,-0.03
940.59,-0.05
950.00,-0.06
959.50,-0.06
969.09,-0.05
978.78,-0.04
988.57,-0.02
998.46,-0.00
1008.44,0.02
1018.53,0.03
1028.71,0.05
1039.00,0.07
1049.39,0.09
1059.88,0.12
1070.48,0.14
1081.19,0.16
1092.00,0.18
1102.92,0.21
1113.95,0.24
1125.09,0.27
1136.34,0.31
1147.70,0.34
1159.18,0.37
1170.77,0.40
1182.48,0.43
1194.30,0.46
1206.25,0.48
1218.31,0.50
1230.49,0.52
1242.80,0.53
1255.22,0.54
1267.78,0.55
1280.45,0.56
1293.26,0.56
1306.19,0.57
1319.25,0.58
1332.45,0.59
1345.77,0.59
1359.23,0.60
1372.82,0.62
1386.55,0.64
1400.41,0.66
1414.42,0.69
1428.56,0.72
1442.85,0.77
1457.28,0.83
1471.85,0.90
1486.57,0.96
1501.43,1.03
1516.45,1.10
1531.61,1.17
1546.93,1.24
1562.40,1.31
1578.02,1.38
1593.80,1.44
1609.74,1.51
1625.84,1.58
1642.10,1.65
1658.52,1.73
1675.10,1.80
1691.85,1.87
1708.77,1.96
1725.86,2.06
1743.12,2.17
1760.55,2.28
1778.15,2.40
1795.94,2.52
1813.90,2.63
1832.03,2.75
1850.36,2.86
1868.86,2.96
1887.55,3.05
1906.42,3.14
1925.49,3.23
1944.74,3.32
1964.19,3.40
1983.83,3.47
2003.67,3.55
2023.71,3.65
2043.94,3.78
2064.38,3.92
2085.03,4.07
2105.88,4.24
2126.94,4.42
2148.20,4.59
2169.69,4.77
2191.38,4.95
2213.30,5.13
2235.43,5.31
2257.78,5.49
2280.36,5.65
2303.17,5.82
2326.20,5.99
2349.46,6.16
2372.95,6.31
2396.68,6.46
2420.65,6.61
2444.86,6.74
2469.31,6.87
2494.00,7.00
2518.94,7.12
2544.13,7.24
2569.57,7.34
2595.27,7.45
2621.22,7.56
2647.43,7.67
2673.90,7.80
2700.64,7.93
