frequency,raw
20.00,-0.03
20.20,0.03
20.40,0.09
20.61,0.15
20.81,0.22
21.02,0.29
21.23,0.37
21.44,0.44
21.66,0.52
21.87,0.60
22.09,0.67
22.31,0.73
22.54,0.80
22.76,0.86
22.99,0.91
23.22,0.97
23.45,1.02
23.69,1.07
23.92,1.11
24.16,1.16
24.40,1.21
24.65,1.26
24.89,1.31
25.14,1.37
25.39,1.42
25.65,1.48
25.91,1.54
26.16,1.59
26.43,1.64
26.69,1.69
26.96,1.73
27.23,1.77
27.50,1.82
27.77,1.87
28.05,1.92
28.33,1.97
28.62,2.01
28.90,2.04
29.19,2.06
29.48,2.08
29.78,2.09
30.08,2.12
30.38,2.15
30.68,2.20
30.99,2.26
31.30,2.31
31.61,2.35
31.93,2.38
32.24,2.41
32.57,2.44
32.89,2.46
33.22,2.50
33.55,2.54
33.89,2.58
34.23,2.63
34.57,2.68
34.92,2.72
35.27,2.76
35.62,2.80
35.97,2.84
36.33,2.89
36.70,2.94
37.06,3.01
37.43,3.08
37.81,3.12
38.19,3.16
38.57,3.17
38.95,3.18
39.34,3.21
39.74,3.25
40.14,3.30
40.54,3.34
40.94,3.36
41.35,3.37
41.76,3.39
42.18,3.42
42.60,3.45
43.03,3.47
43.46,3.48
43.90,3.49
44.33,3.49
44.78,3.50
45.23,3.51
45.68,3.49
46.13,3.46
46.60,3.41
47.06,3.39
47.53,3.38
48.01,3.38
48.49,3.39
48.97,3.38
49.46,3.37
49.96,3.38
50.46,3.43
50.96,3.48
51.47,3.53
51.99,3.57
52.51,3.59
53.03,3.62
53.56,3.63
54.10,3.65
54.64,3.65
55.18,3.65
55.74,3.67
56.29,3.68
56.86,3.68
57.42,3.65
58.00,3.62
58.58,3.63
59.16,3.64
59.76,3.63
60.35,3.62
60.96,3.61
61.57,3.61
62.18,3.61
62.80,3.60
63.43,3.61
64.07,3.62
64.71,3.63
65.35,3.64
66.01,3.66
66.67,3.67
67.33,3.68
68.01,3.68
68.69,3.68
69.37,3.70
70.07,3.72
70.77,3.75
71.48,3.77
72.19,3.79
72.91,3.81
73.64,3.84
74.38,3.87
75.12,3.89
75.87,3.90
76.63,3.91
77.40,3.92
78.17,3.93
78.95,3.95
79.74,3.96
80.54,3.97
81.35,3.97
82.16,3.98
82.98,3.99
83.81,3.99
84.65,3.98
85.50,3.98
86.35,3.98
87.22,3.97
88.09,3.98
88.97,3.99
89.86,3.98
90.76,3.97
91.66,3.95
92.58,3.93
93.51,3.93
94.44,3.91
95.39,3.89
96.34,3.88
97.30,3.85
98.28,3.83
99.26,3.81
100.25,3.78
101.25,3.75
102.27,3.72
103.29,3.68
104.32,3.63
105.37,3.60
106.42,3.56
107.48,3.50
108.56,3.46
109.64,3.42
110.74,3.37
111.85,3.30
112.97,3.23
114.10,3.16
115.24,3.09
116.39,3.02
117.55,2.95
118.73,2.86
119.92,2.76
121.12,2.67
122.33,2.60
123.55,2.50
124.79,2.41
126.03,2.30
127.29,2.18
128.57,2.06
129.85,1.96
131.15,1.86
132.46,1.74
133.79,1.62
135.12,1.53
136.48,1.42
137.84,1.25
139.22,1.15
140.61,1.05
142.02,0.93
143.44,0.80
144.87,0.65
146.32,0.53
147.78,0.40
149.26,0.27
150.75,0.14
152.26,0.00
153.78,-0.13
155.32,-0.27
156.88,-0.42
158.44,-0.56
160.03,-0.70
161.63,-0.84
163.24,-0.98
164.88,-1.13
166.53,-1.28
168.19,-1.43
169.87,-1.57
171.57,-1.73
173.29,-1.88
175.02,-2.04
176.77,-2.18
178.54,-2.35
180.32,-2.53
182.13,-2.67
183.95,-2.82
185.79,-2.96
187.65,-3.12
189.52,-3.27
191.42,-3.42
193.33,-3.57
195.27,-3.73
197.22,-3.89
199.19,-4.05
201.18,-4.20
203.19,-4.34
205.23,-4.49
207.28,-4.62
209.35,-4.76
211.44,-4.91
213.56,-5.09
215.69,-5.26
217.85,-5.41
220.03,-5.56
222.23,-5.71
224.45,-5.85
226.70,-6.01
228.96,-6.18
231.25,-6.35
233.57,-6.51
235.90,-6.69
238.26,-6.84
240.64,-6.99
243.05,-7.18
245.48,-7.33
247.93,-7.48
250.41,-7.65
252.92,-7.81
255.45,-7.97
258.00,-8.13
260.58,-8.32
263.19,-8.50
265.82,-8.69
268.48,-8.84
271.16,-8.99
273.87,-9.13
276.61,-9.29
279.38,-9.44
282.17,-9.58
284.99,-9.72
287.84,-9.84
290.72,-9.97
293.63,-10.08
296.57,-10.18
299.53,-10.28
302.53,-10.34
305.55,-10.40
308.61,-10.45
311.69,-10.49
314.81,-10.48
317.96,-10.46
321.14,-10.43
324.35,-10.37
327.59,-10.31
330.87,-10.24
334.18,-10.17
337.52,-10.06
340.90,-9.93
344.30,-9.76
347.75,-9.57
351.23,-9.38
354.74,-9.19
358.28,-8.99
361.87,-8.79
365.49,-8.59
369.14,-8.35
372.83,-8.11
376.56,-7.86
380.33,-7.58
384.13,-7.29
387.97,-7.01
391.85,-6.75
395.77,-6.48
399.73,-6.23
403.72,-6.03
407.76,-5.85
411.84,-5.69
415.96,-5.54
420.12,-5.40
424.32,-5.24
428.56,-5.07
432.85,-4.91
437.18,-4.76
441.55,-4.58
445.96,-4.40
450.42,-4.22
454.93,-4.04
459.48,-3.82
464.07,-3.61
468.71,-3.40
473.40,-3.21
478.13,-3.01
482.91,-2.82
487.74,-2.62
492.62,-2.42
497.55,-2.23
502.52,-2.04
507.55,-1.85
512.62,-1.65
517.75,-1.46
522.93,-1.28
528.16,-1.10
533.44,-0.93
538.77,-0.77
544.16,-0.61
549.60,-0.46
555.10,-0.32
560.65,-0.19
566.25,-0.07
571.92,0.05
577.64,0.16
583.41,0.27
589.25,0.37
595.14,0.46
601.09,0.56
607.10,0.64
613.17,0.72
619.30,0.80
625.50,0.86
631.75,0.92
638.07,0.98
644.45,1.03
650.89,1.07
657.40,1.10
663.98,1.13
670.62,1.16
677.32,1.19
684.10,1.21
690.94,1.23
697.85,1.25
704.83,1.27
711.87,1.28
718.99,1.29
726.18,1.29
733.44,1.28
740.78,1.27
748.19,1.26
755.67,1.24
763.23,1.22
770.86,1.20
778.57,1.17
786.35,1.12
794.22,1.07
802.16,1.01
810.18,0.95
818.28,0.88
826.46,0.81
834.73,0.74
843.08,0.67
851.51,0.61
860.02,0.56
868.62,0.53
877.31,0.50
886.08,0.47
894.94,0.44
903.89,0.41
912.93,0.38
922.06,0.35
931.28,0.33
940.59,0.32
950.00,0.29
959.50,0.26
969.09,0.22
978.78,0.16
988.57,0.09
998.46,0.01
1008.44,-0.07
1018.53,-0.14
1028.71,-0.21
1039.00,-0.28
1049.39,-0.35
1059.88,-0.40
1070.48,-0.44
1081.19,-0.49
1092.00,-0.54
1102.92,-0.60
1113.95,-0.66
1125.09,-0.72
1136.34,-0.78
1147.70,-0.83
1159.18,-0.88
1170.77,-0.92
1182.48,-0.96
1194.30,-1.00
1206.25,-1.04
1218.31,-1.07
1230.49,-1.09
1242.80,-1.12
1255.22,-1.14
1267.78,-1.16
1280.45,-1.17
1293.26,-1.17
1306.19,-1.16
1319.25,-1.15
1332.45,-1.13
1345.77,-1.11
1359.23,-1.08
1372.82,-1.03
1386.55,-0.98
1400.41,-0.92
1414.42,-0.86
1428.56,-0.79
1442.85,-0.71
1457.28,-0.63
1471.85,-0.54
1486.57,-0.45
1501.43,-0.35
1516.45,-0.24
1531.61,-0.14
1546.93,-0.04
1562.40,0.08
1578.02,0.20
1593.80,0.33
1609.74,0.45
1625.84,0.59
1642.10,0.73
1658.52,0.87
1675.10,1.02
1691.85,1.17
1708.77,1.32
1725.86,1.48
1743.12,1.64
1760.55,1.81
1778.15,1.98
1795.94,2.15
1813.90,2.33
1832.03,2.51
1850.36,2.70
1868.86,2.89
1887.55,3.09
1906.42,3.30
1925.49,3.52
1944.74,3.74
1964.19,3.93
1983.83,4.09
2003.67,4.23
2023.71,4.36
2043.94,4.50
2064.38,4.65
2085.03,4.81
2105.88,4.99
2126.94,5.16
2148.20,5.34
2169.69,5.53
2191.38,5.72
2213.30,5.91
2235.43,6.11
2257.78,6.30
2280.36,6.50
2303.17,6.70
2326.20,6.90
2349.46,7.11
2372.95,7.32
2396.68,7.53
2420.65,7.76
2444.86,7.99
2469.31,8.23
2494.00,8.54
2518.94,8.94
2544.13,9.39
2569.57,9.88
2595.27,10.21
2621.22,10.41
2647.43,10.38
2673.90,10.31
2700.64,10.24
2727.65,10.20
2754.93,10.18
2782.48,10.16
2810.30,10.14
2838.40,10.11
2866.79,10.07
2895.46,10.04
2924.41,10.01
2953.65,9.97
2983.19,9.83
3013.02,9.66
3043.15,9.43
3073.58,9.19
3104.32,8.94
3135.36,8.68
3166.72,8.41
3198.38,8.14
3230.37,7.86
3262.67,7.58
3295.30,7.29
3328.25,6.99
3361.53,6.70
3395.15,6.40
3429.10,6.11
3463.39,5.82
3498.03,5.54
3533.01,5.27
3568.34,5.00
3604.02,4.75
3640.06,4.51
3676.46,4.30
3713.22,4.10
3750.36,3.94
3787.86,3.83
3825.74,3.73
3864.00,3.67
3902.64,3.70
3941.66,3.76
3981.08,3.83
4020.89,3.91
4061.10,3.98
4101.71,4.06
4142.73,4.16
4184.15,4.28
4226.00,4.44
4268.26,4.65
4310.94,4.93
4354.05,5.50
4397.59,6.43
4441.56,7.57
4485.98,8.89
4530.84,9.88
4576.15,10.38
4621.91,10.62
4668.13,10.48
4714.81,10.42
4761.96,10.49
4809.58,10.81
4857.67,11.19
4906.25,11.62
4955.31,12.10
5004.87,12.69
5054.91,13.37
5105.46,14.08
5156.52,14.82
5208.08,15.62
5260.16,16.43
5312.77,17.21
5365.89,17.88
5419.55,18.28
5473.75,18.36
5528.49,18.07
5583.77,17.27
5639.61,16.22
5696.00,15.08
5752.96,13.92
5810.49,12.80
5868.60,11.78
5927.28,10.82
5986.56,9.94
6046.42,9.12
6106.89,8.37
6167.96,7.69
6229.64,7.06
6291.93,6.47
6354.85,5.92
6418.40,5.38
6482.58,4.89
6547.41,4.45
6612.88,4.03
6679.01,3.67
6745.80,3.36
6813.26,3.10
6881.39,2.93
6950.21,2.83
7019.71,2.79
7089.91,2.84
7160.81,3.00
7232.41,3.20
7304.74,3.40
7377.79,3.39
7451.56,2.83
7526.08,1.57
7601.34,-0.53
7677.35,-3.33
7754.13,-6.27
7831.67,-7.58
7909.98,-7.89
7989.08,-6.56
8068.98,-5.12
8149.67,-3.66
8231.16,-2.20
8313.47,-1.10
8396.61,-0.21
8480.57,0.30
8565.38,0.81
8651.03,1.24
8737.54,1.51
8824.92,1.04
8913.17,-0.46
9002.30,-2.34
9092.32,-5.22
9183.25,-7.55
9275.08,-9.19
9367.83,-9.63
9461.51,-9.42
9556.12,-8.94
9651.68,-8.18
9748.20,-7.10
9845.68,-5.24
9944.14,-3.12
10043.58,-1.02
10144.02,0.91
10245.46,1.85
10347.91,1.95
10451.39,1.08
10555.91,-0.36
10661.46,-1.51
10768.08,-2.36
10875.76,-2.66
10984.52,-2.62
11094.36,-2.53
11205.31,-2.55
11317.36,-2.86
11430.53,-3.34
11544.84,-4.20
11660.29,-5.38
11776.89,-6.87
11894.66,-8.07
12013.60,-9.12
12133.74,-9.86
12255.08,-10.70
12377.63,-11.90
12501.41,-13.00
12626.42,-14.23
12752.68,-15.86
12880.21,-16.14
13009.01,-15.57
13139.10,-15.00
13270.49,-15.19
13403.20,-15.85
13537.23,-16.27
13672.60,-15.18
13809.33,-12.73
13947.42,-9.79
14086.90,-7.59
14227.77,-5.84
14370.04,-4.73
14513.74,-4.35
14658.88,-4.43
14805.47,-4.63
14953.52,-5.03
15103.06,-5.46
15254.09,-5.91
15406.63,-6.50
15560.70,-7.01
15716.30,-7.40
15873.47,-7.16
16032.20,-6.64
16192.52,-5.65
16354.45,-4.93
16517.99,-4.68
16683.17,-6.91
16850.01,-10.28
17018.51,-14.32
17188.69,-17.61
17360.58,-19.05
17534.18,-19.28
17709.53,-18.78
17886.62,-16.77
18065.49,-14.65
18246.14,-13.08
18428.60,-13.66
18612.89,-14.68
18799.02,-15.67
18987.01,-15.85
19176.88,-15.86
19368.65,-16.19
19562.33,-16.97
19757.96,-18.23
19955.54,-19.49
