frequency,raw
20.00,4.55
20.20,4.58
20.40,4.60
20.61,4.62
20.81,4.64
21.02,4.66
21.23,4.67
21.44,4.70
21.66,4.73
21.87,4.76
22.09,4.79
22.31,4.82
22.54,4.84
22.76,4.85
22.99,4.86
23.22,4.86
23.45,4.86
23.69,4.87
23.92,4.89
24.16,4.92
24.40,4.97
24.65,5.02
24.89,5.08
25.14,5.13
25.39,5.17
25.65,5.20
25.91,5.21
26.16,5.22
26.43,5.22
26.69,5.22
26.96,5.22
27.23,5.22
27.50,5.24
27.77,5.25
28.05,5.26
28.33,5.27
28.62,5.28
28.90,5.28
29.19,5.29
29.48,5.29
29.78,5.30
30.08,5.30
30.38,5.30
30.68,5.30
30.99,5.29
31.30,5.28
31.61,5.28
31.93,5.27
32.24,5.27
32.57,5.27
32.89,5.27
33.22,5.27
33.55,5.27
33.89,5.27
34.23,5.27
34.57,5.26
34.92,5.27
35.27,5.27
35.62,5.27
35.97,5.26
36.33,5.25
36.70,5.22
37.06,5.20
37.43,5.17
37.81,5.16
38.19,5.15
38.57,5.14
38.95,5.13
39.34,5.12
39.74,5.11
40.14,5.09
40.54,5.08
40.94,5.06
41.35,5.03
41.76,5.01
42.18,4.98
42.60,4.95
43.03,4.93
43.46,4.91
43.90,4.89
44.33,4.86
44.78,4.83
45.23,4.80
45.68,4.77
46.13,4.73
46.60,4.69
47.06,4.64
47.53,4.58
48.01,4.54
48.49,4.49
48.97,4.44
49.46,4.39
49.96,4.33
50.46,4.27
50.96,4.21
51.47,4.15
51.99,4.08
52.51,4.01
53.03,3.94
53.56,3.88
54.10,3.81
54.64,3.76
55.18,3.70
55.74,3.63
56.29,3.57
56.86,3.52
57.42,3.46
58.00,3.41
58.58,3.37
59.16,3.33
59.76,3.31
60.35,3.27
60.96,3.21
61.57,3.16
62.18,3.13
62.80,3.11
63.43,3.09
64.07,3.07
64.71,3.06
65.35,3.05
66.01,3.04
66.67,3.04
67.33,3.05
68.01,3.06
68.69,3.08
69.37,3.09
70.07,3.11
70.77,3.12
71.48,3.14
72.19,3.16
72.91,3.17
73.64,3.18
74.38,3.18
75.12,3.19
75.87,3.20
76.63,3.20
77.40,3.19
78.17,3.18
78.95,3.17
79.74,3.14
80.54,3.12
81.35,3.10
82.16,3.07
82.98,3.03
83.81,2.98
84.65,2.93
85.50,2.87
86.35,2.81
87.22,2.74
88.09,2.66
88.97,2.57
89.86,2.49
90.76,2.39
91.66,2.29
92.58,2.19
93.51,2.08
94.44,1.96
95.39,1.83
96.34,1.71
97.30,1.56
98.28,1.42
