frequency,raw
20.00,7.79
20.20,7.77
20.40,7.75
20.61,7.74
20.81,7.72
21.02,7.70
21.23,7.68
21.44,7.66
21.66,7.65
21.87,7.64
22.09,7.63
22.31,7.62
22.54,7.61
22.76,7.60
22.99,7.58
23.22,7.56
23.45,7.54
23.69,7.52
23.92,7.50
24.16,7.47
24.40,7.45
24.65,7.43
24.89,7.41
25.14,7.39
25.39,7.37
25.65,7.35
25.91,7.33
26.16,7.31
26.43,7.28
26.69,7.26
26.96,7.23
27.23,7.20
27.50,7.16
27.77,7.13
28.05,7.10
28.33,7.07
28.62,7.04
28.90,7.01
29.19,6.98
29.48,6.95
29.78,6.92
30.08,6.90
30.38,6.87
30.68,6.84
30.99,6.80
31.30,6.77
31.61,6.75
31.93,6.72
32.24,6.69
32.57,6.67
32.89,6.64
33.22,6.62
33.55,6.60
33.89,6.58
34.23,6.56
34.57,6.54
34.92,6.52
35.27,6.49
35.62,6.46
35.97,6.43
36.33,6.40
36.70,6.38
37.06,6.35
37.43,6.33
37.81,6.30
38.19,6.28
38.57,6.25
38.95,6.23
39.34,6.21
39.74,6.19
40.14,6.17
40.54,6.15
40.94,6.13
41.35,6.10
41.76,6.08
42.18,6.06
42.60,6.05
43.03,6.03
43.46,6.02
43.90,6.00
44.33,5.98
44.78,5.96
45.23,5.95
45.68,5.93
46.13,5.92
46.60,5.90
47.06,5.89
47.53,5.88
48.01,5.87
48.49,5.86
48.97,5.85
49.46,5.85
49.96,5.84
50.46,5.83
50.96,5.82
51.47,5.81
51.99,5.81
52.51,5.80
53.03,5.80
53.56,5.80
54.10,5.80
54.64,5.80
55.18,5.80
55.74,5.80
56.29,5.81
56.86,5.82
57.42,5.82
58.00,5.83
58.58,5.83
59.16,5.83
59.76,5.84
60.35,5.85
60.96,5.86
61.57,5.88
62.18,5.89
62.80,5.90
63.43,5.92
64.07,5.93
64.71,5.95
65.35,5.96
66.01,5.98
66.67,5.99
67.33,6.01
68.01,6.02
68.69,6.04
69.37,6.05
70.07,6.05
70.77,6.05
71.48,6.05
72.19,6.05
72.91,6.04
73.64,6.03
74.38,6.01
75.12,5.99
75.87,5.96
