frequency,raw
20.00,1.70
20.20,1.76
20.40,1.81
20.61,1.86
20.81,1.91
21.02,1.95
21.23,1.99
21.44,2.03
21.66,2.07
21.87,2.11
22.09,2.15
22.31,2.20
22.54,2.24
22.76,2.28
22.99,2.33
23.22,2.36
23.45,2.40
23.69,2.44
23.92,2.48
24.16,2.52
24.40,2.57
24.65,2.61
24.89,2.65
25.14,2.69
25.39,2.73
25.65,2.75
25.91,2.77
26.16,2.79
26.43,2.81
26.69,2.84
26.96,2.86
27.23,2.90
27.50,2.93
27.77,2.97
28.05,3.00
28.33,3.03
28.62,3.06
28.90,3.09
29.19,3.12
29.48,3.14
29.78,3.16
30.08,3.18
30.38,3.19
30.68,3.20
30.99,3.21
31.30,3.22
31.61,3.23
31.93,3.25
32.24,3.26
32.57,3.28
32.89,3.29
33.22,3.30
33.55,3.32
33.89,3.34
34.23,3.37
34.57,3.41
34.92,3.46
35.27,3.51
35.62,3.55
35.97,3.60
36.33,3.65
36.70,3.69
37.06,3.75
37.43,3.80
37.81,3.86
38.19,3.91
38.57,3.96
38.95,3.99
39.34,4.02
39.74,4.04
40.14,4.05
40.54,4.05
40.94,4.03
41.35,4.01
41.76,3.97
42.18,3.94
42.60,3.90
43.03,3.85
43.46,3.81
43.90,3.76
44.33,3.72
44.78,3.68
45.23,3.64
45.68,3.62
46.13,3.62
46.60,3.63
47.06,3.65
47.53,3.69
48.01,3.74
48.49,3.79
48.97,3.86
49.46,3.93
49.96,4.00
50.46,4.07
50.96,4.15
51.47,4.22
51.99,4.29
52.51,4.36
53.03,4.41
53.56,4.46
54.10,4.51
54.64,4.56
55.18,4.60
55.74,4.65
56.29,4.70
56.86,4.76
57.42,4.83
58.00,4.91
58.58,5.00
59.16,5.11
59.76,5.24
60.35,5.37
60.96,5.49
61.57,5.62
62.18,5.77
62.80,5.92
63.43,6.07
64.07,6.23
64.71,6.39
65.35,6.54
66.01,6.69
66.67,6.81
67.33,6.91
68.01,6.99
68.69,7.00
69.37,6.99
70.07,6.94
70.77,6.87
71.48,6.85
72.19,6.88
72.91,6.98
73.64,7.13
74.38,7.29
75.12,7.45
75.87,7.60
76.63,7.73
77.40,7.85
78.17,7.95
78.95,8.04
79.74,8.11
80.54,8.17
81.35,8.24
82.16,8.29
82.98,8.33
83.81,8.37
84.65,8.40
85.50,8.43
86.35,8.45
87.22,8.47
88.09,8.49
88.97,8.50
89.86,8.51
90.76,8.50
91.66,8.50
92.58,8.49
93.51,8.47
94.44,8.45
95.39,8.43
96.34,8.40
97.30,8.36
98.28,8.32
99.26,8.29
100.25,8.24
101.25,8.19
102.27,8.13
103.29,8.08
104.32,8.02
105.37,7.95
106.42,7.88
107.48,7.81
108.56,7.73
109.64,7.66
110.74,7.58
111.85,7.50
112.97,7.43
114.10,7.36
115.24,7.29
116.39,7.21
117.55,7.14
118.73,7.06
119.92,6.98
121.12,6.90
122.33,6.80
123.55,6.71
124.79,6.60
126.03,6.50
127.29,6.40
128.57,6.30
129.85,6.22
131.15,6.14
132.46,6.07
133.79,6.02
135.12,5.94
136.48,5.86
137.84,5.77
139.22,5.66
140.61,5.53
142.02,5.41
143.44,5.28
144.87,5.14
146.32,5.02
147.78,4.90
149.26,4.79
150.75,4.68
152.26,4.56
153.78,4.44
155.32,4.32
156.88,4.18
158.44,4.04
160.03,3.89
161.63,3.72
163.24,3.54
164.88,3.34
166.53,3.10
168.19,2.95
169.87,2.93
171.57,2.86
173.29,2.74
175.02,2.58
176.77,2.41
178.54,2.23
180.32,2.06
182.13,1.88
183.95,1.71
185.79,1.53
187.65,1.36
189.52,1.19
191.42,1.02
193.33,0.84
195.27,0.67
197.22,0.49
199.19,0.30
201.18,0.13
203.19,-0.03
205.23,-0.19
207.28,-0.35
209.35,-0.52
211.44,-0.70
213.56,-0.87
215.69,-1.05
217.85,-1.22
220.03,-1.40
222.23,-1.57
224.45,-1.74
226.70,-1.91
228.96,-2.08
231.25,-2.25
233.57,-2.42
235.90,-2.58
238.26,-2.74
240.64,-2.90
243.05,-3.03
245.48,-3.17
247.93,-3.30
250.41,-3.45
252.92,-3.59
255.45,-3.73
258.00,-3.87
260.58,-4.01
