frequency,raw
20.00,-7.13
20.20,-7.00
20.40,-6.88
20.61,-6.76
20.81,-6.65
21.02,-6.54
21.23,-6.43
21.44,-6.31
21.66,-6.18
21.87,-6.04
22.09,-5.88
22.31,-5.73
22.54,-5.58
22.76,-5.43
22.99,-5.29
23.22,-5.15
23.45,-5.00
23.69,-4.85
23.92,-4.69
24.16,-4.53
24.40,-4.37
24.65,-4.21
24.89,-4.06
25.14,-3.92
25.39,-3.80
25.65,-3.69
25.91,-3.58
26.16,-3.47
26.43,-3.36
26.69,-3.24
26.96,-3.12
27.23,-3.01
27.50,-2.90
27.77,-2.79
28.05,-2.70
28.33,-2.61
28.62,-2.52
28.90,-2.43
29.19,-2.34
29.48,-2.25
29.78,-2.16
30.08,-2.08
30.38,-2.00
30.68,-1.92
30.99,-1.84
31.30,-1.76
31.61,-1.67
31.93,-1.59
32.24,-1.52
32.57,-1.46
32.89,-1.40
33.22,-1.35
33.55,-1.30
33.89,-1.24
34.23,-1.19
34.57,-1.13
34.92,-1.09
35.27,-1.04
35.62,-0.98
35.97,-0.93
36.33,-0.86
36.70,-0.80
37.06,-0.75
37.43,-0.70
37.81,-0.67
38.19,-0.64
38.57,-0.62
38.95,-0.58
39.34,-0.55
39.74,-0.51
40.14,-0.47
40.54,-0.44
40.94,-0.43
41.35,-0.43
41.76,-0.44
42.18,-0.44
42.60,-0.44
43.03,-0.43
43.46,-0.42
43.90,-0.41
44.33,-0.42
44.78,-0.42
45.23,-0.43
45.68,-0.44
46.13,-0.44
46.60,-0.46
47.06,-0.47
47.53,-0.48
48.01,-0.48
48.49,-0.48
48.97,-0.49
49.46,-0.49
49.96,-0.51
50.46,-0.54
50.96,-0.57
51.47,-0.59
51.99,-0.62
52.51,-0.66
53.03,-0.71
53.56,-0.75
54.10,-0.79
54.64,-0.82
55.18,-0.86
55.74,-0.90
56.29,-0.94
56.86,-0.98
57.42,-1.02
58.00,-1.06
58.58,-1.12
59.16,-1.17
59.76,-1.22
60.35,-1.26
60.96,-1.30
61.57,-1.31
62.18,-1.31
62.80,-1.33
63.43,-1.36
64.07,-1.40
64.71,-1.44
65.35,-1.47
66.01,-1.50
66.67,-1.49
67.33,-1.47
68.01,-1.46
68.69,-1.46
69.37,-1.45
70.07,-1.44
70.77,-1.43
71.48,-1.40
72.19,-1.37
72.91,-1.33
73.64,-1.30
74.38,-1.27
75.12,-1.23
75.87,-1.19
76.63,-1.16
77.40,-1.12
78.17,-1.08
78.95,-1.05
79.74,-1.02
80.54,-0.98
81.35,-0.95
82.16,-0.92
82.98,-0.89
83.81,-0.86
84.65,-0.84
85.50,-0.82
86.35,-0.80
87.22,-0.78
88.09,-0.75
88.97,-0.73
89.86,-0.72
90.76,-0.71
91.66,-0.70
92.58,-0.68
93.51,-0.65
94.44,-0.65
95.39,-0.65
96.34,-0.64
97.30,-0.61
98.28,-0.60
99.26,-0.60
100.25,-0.58
101.25,-0.58
102.27,-0.58
103.29,-0.57
104.32,-0.57
105.37,-0.56
106.42,-0.56
107.48,-0.58
108.56,-0.58
109.64,-0.59
110.74,-0.61
111.85,-0.64
112.97,-0.68
114.10,-0.73
115.24,-0.77
116.39,-0.80
117.55,-0.82
118.73,-0.83
119.92,-0.83
121.12,-0.83
122.33,-0.83
123.55,-0.80
124.79,-0.78
126.03,-0.75
127.29,-0.71
128.57,-0.66
129.85,-0.63
131.15,-0.60
132.46,-0.56
133.79,-0.53
135.12,-0.50
136.48,-0.48
137.84,-0.45
139.22,-0.43
140.61,-0.41
142.02,-0.38
143.44,-0.36
144.87,-0.32
146.32,-0.30
147.78,-0.28
149.26,-0.26
150.75,-0.24
152.26,-0.21
153.78,-0.19
155.32,-0.17
156.88,-0.16
158.44,-0.14
160.03,-0.11
161.63,-0.12
163.24,-0.11
164.88,-0.11
166.53,-0.10
168.19,-0.09
169.87,-0.09
171.57,-0.11
173.29,-0.11
175.02,-0.11
176.77,-0.07
178.54,-0.02
180.32,0.05
182.13,0.12
183.95,0.17
185.79,0.22
187.65,0.27
189.52,0.30
191.42,0.35
193.33,0.39
195.27,0.43
197.22,0.46
199.19,0.48
201.18,0.47
203.19,0.45
205.23,0.53
207.28,0.61
209.35,0.69
211.44,0.75
213.56,0.79
215.69,0.83
217.85,0.87
220.03,0.91
222.23,0.94
224.45,0.96
226.70,0.99
228.96,1.01
231.25,1.02
233.57,1.03
235.90,1.04
238.26,1.05
240.64,1.06
243.05,1.09
245.48,1.11
247.93,1.11
250.41,1.10
252.92,1.09
255.45,1.07
258.00,1.05
260.58,1.04
263.19,1.04
