frequency,raw
20.00,1.94
20.20,2.18
20.40,2.41
20.61,2.65
20.81,2.89
21.02,3.13
21.23,3.36
21.44,3.59
21.66,3.81
21.87,4.02
22.09,4.21
22.31,4.39
22.54,4.55
22.76,4.70
22.99,4.84
23.22,4.96
23.45,5.07
23.69,5.17
23.92,5.26
24.16,5.34
24.40,5.41
24.65,5.48
24.89,5.52
25.14,5.56
25.39,5.60
25.65,5.61
25.91,5.62
26.16,5.62
26.43,5.60
26.69,5.57
26.96,5.54
27.23,5.49
27.50,5.43
27.77,5.37
28.05,5.31
28.33,5.24
28.62,5.17
28.90,5.09
29.19,5.01
29.48,4.92
29.78,4.83
30.08,4.73
30.38,4.63
30.68,4.53
30.99,4.43
31.30,4.32
31.61,4.21
31.93,4.10
32.24,3.98
32.57,3.87
32.89,3.75
33.22,3.63
33.55,3.52
33.89,3.41
34.23,3.31
34.57,3.21
34.92,3.12
35.27,3.03
35.62,2.94
35.97,2.86
36.33,2.77
36.70,2.68
37.06,2.59
37.43,2.50
37.81,2.42
38.19,2.34
38.57,2.27
38.95,2.21
39.34,2.14
39.74,2.07
40.14,1.99
40.54,1.92
40.94,1.85
41.35,1.79
41.76,1.74
42.18,1.69
42.60,1.65
43.03,1.61
43.46,1.57
43.90,1.53
44.33,1.49
44.78,1.46
45.23,1.43
45.68,1.40
46.13,1.37
46.60,1.35
47.06,1.33
47.53,1.31
48.01,1.30
48.49,1.29
48.97,1.28
49.46,1.27
49.96,1.26
50.46,1.26
50.96,1.26
51.47,1.26
51.99,1.26
52.51,1.26
53.03,1.27
53.56,1.28
54.10,1.28
54.64,1.29
55.18,1.30
55.74,1.32
56.29,1.33
56.86,1.35
57.42,1.38
58.00,1.40
58.58,1.42
59.16,1.44
59.76,1.46
60.35,1.48
60.96,1.51
61.57,1.55
62.18,1.58
62.80,1.61
63.43,1.65
64.07,1.68
64.71,1.72
65.35,1.76
66.01,1.80
66.67,1.84
67.33,1.88
68.01,1.91
68.69,1.95
69.37,1.99
70.07,2.02
70.77,2.06
71.48,2.09
72.19,2.13
72.91,2.16
73.64,2.19
74.38,2.22
75.12,2.24
75.87,2.27
76.63,2.29
77.40,2.31
78.17,2.32
78.95,2.34
79.74,2.36
80.54,2.36
81.35,2.37
82.16,2.38
82.98,2.38
83.81,2.38
84.65,2.37
85.50,2.37
86.35,2.36
87.22,2.35
88.09,2.33
88.97,2.31
89.86,2.29
90.76,2.27
91.66,2.24
92.58,2.22
93.51,2.18
94.44,2.15
95.39,2.11
96.34,2.07
97.30,2.03
98.28,1.98
99.26,1.93
100.25,1.88
101.25,1.83
102.27,1.77
103.29,1.71
104.32,1.65
105.37,1.58
106.42,1.52
107.48,1.44
108.56,1.37
109.64,1.29
110.74,1.21
111.85,1.13
112.97,1.04
114.10,0.95
115.24,0.85
116.39,0.76
117.55,0.66
118.73,0.56
119.92,0.46
121.12,0.36
122.33,0.27
123.55,0.17
124.79,0.07
126.03,-0.03
127.29,-0.12
128.57,-0.21
129.85,-0.30
131.15,-0.38
132.46,-0.47
133.79,-0.57
135.12,-0.66
136.48,-0.75
137.84,-0.84
139.22,-0.94
140.61,-1.03
142.02,-1.12
143.44,-1.22
144.87,-1.31
146.32,-1.40
147.78,-1.50
149.26,-1.59
150.75,-1.68
152.26,-1.77
153.78,-1.86
155.32,-1.95
156.88,-2.04
158.44,-2.12
160.03,-2.21
161.63,-2.29
163.24,-2.38
164.88,-2.46
166.53,-2.55
168.19,-2.63
169.87,-2.72
171.57,-2.81
173.29,-2.90
175.02,-2.99
176.77,-3.08
178.54,-3.16
180.32,-3.24
182.13,-3.30
183.95,-3.37
185.79,-3.43
187.65,-3.50
189.52,-3.57
191.42,-3.63
193.33,-3.69
195.27,-3.74
197.22,-3.80
199.19,-3.86
201.18,-3.93
203.19,-4.00
205.23,-4.06
207.28,-4.10
209.35,-4.13
211.44,-4.16
213.56,-4.20
215.69,-4.23
217.85,-4.27
220.03,-4.30
222.23,-4.33
224.45,-4.36
226.70,-4.39
228.96,-4.42
231.25,-4.44
233.57,-4.47
235.90,-4.49
238.26,-4.52
240.64,-4.55
243.05,-4.55
245.48,-4.57
247.93,-4.58
250.41,-4.59
252.92,-4.60
255.45,-4.62
258.00,-4.64
260.58,-4.66
263.19,-4.67
265.82,-4.66
268.48,-4.64
271.16,-4.61
273.87,-4.58
276.61,-4.55
279.38,-4.50
282.17,-4.44
284.99,-4.38
287.84,-4.33
290.72,-4.28
293.63,-4.25
296.57,-4.22
299.53,-4.20
302.53,-4.19
305.55,-4.17
308.61,-4.15
311.69,-4.11
314.81,-4.07
317.96,-4.01
321.14,-3.94
324.35,-3.87
327.59,-3.80
330.87,-3.73
334.18,-3.65
337.52,-3.58
340.90,-3.51
344.30,-3.43
347.75,-3.34
351.23,-3.25
354.74,-3.18
358.28,-3.13
361.87,-3.05
365.49,-2.93
369.14,-2.80
372.83,-2.74
376.56,-2.73
380.33,-2.79
384.13,-2.90
387.97,-3.05
391.85,-3.20
395.77,-3.31
399.73,-3.28
403.72,-3.14
407.76,-2.95
411.84,-2.71
415.96,-2.46
420.12,-2.21
424.32,-1.98
428.56,-1.76
432.85,-1.56
437.18,-1.37
441.55,-1.20
445.96,-1.04
450.42,-0.90
454.93,-0.75
459.48,-0.63
464.07,-0.50
468.71,-0.39
473.40,-0.28
478.13,-0.18
482.91,-0.09
487.74,-0.01
492.62,0.07
497.55,0.15
502.52,0.22
507.55,0.29
512.62,0.35
517.75,0.41
522.93,0.46
528.16,0.51
533.44,0.55
538.77,0.59
544.16,0.63
549.60,0.66
555.10,0.68
560.65,0.70
566.25,0.71
571.92,0.71
577.64,0.71
583.41,0.71
589.25,0.71
595.14,0.71
601.09,0.71
607.10,0.71
613.17,0.70
619.30,0.70
625.50,0.69
631.75,0.67
638.07,0.65
644.45,0.62
650.89,0.59
657.40,0.55
663.98,0.50
670.62,0.45
677.32,0.40
684.10,0.34
690.94,0.27
697.85,0.20
704.83,0.11
711.87,0.02
718.99,-0.08
726.18,-0.17
733.44,-0.24
740.78,-0.28
748.19,-0.29
755.67,-0.28
763.23,-0.25
770.86,-0.22
778.57,-0.19
786.35,-0.18
794.22,-0.18
802.16,-0.18
810.18,-0.20
818.28,-0.23
826.46,-0.26
834.73,-0.30
843.08,-0.34
851.51,-0.37
860.02,-0.38
868.62,-0.38
877.31,-0.36
886.08,-0.33
894.94,-0.30
903.89,-0.25
912.93,-0.21
922.06,-0.17
931.28,-0.13
940.59,-0.10
950.00,-0.07
959.50,-0.05
969.09,-0.03
978.78,-0.02
988.57,-0.01
998.46,-0.00
1008.44,0.00
1018.53,0.01
1028.71,0.01
1039.00,0.01
1049.39,0.01
1059.88,0.00
1070.48,-0.00
1081.19,-0.01
1092.00,-0.02
1102.92,-0.04
1113.95,-0.06
1125.09,-0.08
1136.34,-0.11
1147.70,-0.13
1159.18,-0.13
1170.77,-0.12
1182.48,-0.09
1194.30,-0.06
1206.25,-0.02
1218.31,0.03
1230.49,0.09
1242.80,0.15
1255.22,0.22
1267.78,0.28
1280.45,0.35
1293.26,0.40
1306.19,0.46
1319.25,0.51
1332.45,0.55
1345.77,0.59
1359.23,0.63
1372.82,0.66
1386.55,0.69
1400.41,0.70
1414.42,0.68
1428.56,0.66
1442.85,0.64
1457.28,0.63
1471.85,0.63
1486.57,0.71
1501.43,0.80
1516.45,0.96
1531.61,1.11
1546.93,1.26
1562.40,1.36
1578.02,1.44
1593.80,1.49
1609.74,1.53
1625.84,1.56
1642.10,1.60
1658.52,1.67
1675.10,1.78
1691.85,1.97
1708.77,2.18
1725.86,2.39
1743.12,2.61
1760.55,2.80
1778.15,2.96
1795.94,3.09
1813.90,3.20
1832.03,3.31
1850.36,3.41
1868.86,3.53
1887.55,3.64
1906.42,3.75
1925.49,3.88
1944.74,4.00
1964.19,3.95
1983.83,3.85
2003.67,3.81
2023.71,3.90
2043.94,4.06
2064.38,4.23
2085.03,4.39
2105.88,4.54
2126.94,4.67
2148.20,4.80
2169.69,4.93
2191.38,5.05
2213.30,5.17
2235.43,5.30
2257.78,5.44
2280.36,5.56
2303.17,5.69
2326.20,5.79
2349.46,5.91
2372.95,6.03
2396.68,6.15
2420.65,6.27
2444.86,6.39
2469.31,6.52
2494.00,6.67
2518.94,6.84
2544.13,7.02
2569.57,7.21
2595.27,7.41
2621.22,7.60
2647.43,7.79
2673.90,7.98
2700.64,8.15
2727.65,8.30
2754.93,8.43
2782.48,8.56
2810.30,8.69
2838.40,8.82
2866.79,8.94
2895.46,9.05
2924.41,9.14
