frequency,raw
20.00,2.37
20.20,2.49
20.40,2.62
20.61,2.74
20.81,2.86
21.02,2.98
21.23,3.10
21.44,3.22
21.66,3.34
21.87,3.46
22.09,3.58
22.31,3.69
22.54,3.81
22.76,3.92
22.99,4.04
23.22,4.15
23.45,4.26
23.69,4.36
23.92,4.47
24.16,4.57
24.40,4.67
24.65,4.77
24.89,4.87
25.14,4.97
25.39,5.07
25.65,5.18
25.91,5.28
26.16,5.39
26.43,5.49
26.69,5.59
26.96,5.69
27.23,5.79
27.50,5.90
27.77,6.00
28.05,6.11
28.33,6.21
28.62,6.31
28.90,6.41
29.19,6.50
29.48,6.59
29.78,6.68
30.08,6.77
30.38,6.86
30.68,6.95
30.99,7.04
31.30,7.13
31.61,7.21
31.93,7.29
32.24,7.37
32.57,7.45
32.89,7.53
33.22,7.61
33.55,7.68
33.89,7.75
34.23,7.82
34.57,7.88
34.92,7.95
35.27,8.01
35.62,8.08
35.97,8.14
36.33,8.19
36.70,8.24
37.06,8.29
37.43,8.34
37.81,8.40
38.19,8.45
38.57,8.51
38.95,8.57
39.34,8.63
39.74,8.70
40.14,8.76
40.54,8.83
40.94,8.90
41.35,8.96
41.76,9.03
42.18,9.09
42.60,9.15
43.03,9.22
43.46,9.29
43.90,9.37
44.33,9.44
44.78,9.51
45.23,9.58
45.68,9.65
46.13,9.71
46.60,9.77
47.06,9.82
47.53,9.87
48.01,9.91
48.49,9.94
48.97,9.98
49.46,10.00
49.96,10.02
50.46,10.03
50.96,10.03
51.47,10.04
51.99,10.04
52.51,10.04
53.03,10.04
53.56,10.03
54.10,10.01
54.64,9.99
55.18,9.97
55.74,9.95
56.29,9.92
56.86,9.89
57.42,9.86
58.00,9.83
58.58,9.79
59.16,9.75
59.76,9.70
60.35,9.66
60.96,9.62
61.57,9.57
62.18,9.50
62.80,9.45
63.43,9.41
64.07,9.37
64.71,9.32
65.35,9.28
66.01,9.24
66.67,9.21
67.33,9.18
68.01,9.16
68.69,9.15
69.37,9.14
70.07,9.14
70.77,9.13
71.48,9.14
72.19,9.15
72.91,9.18
73.64,9.23
74.38,9.27
75.12,9.33
75.87,9.38
76.63,9.44
77.40,9.50
78.17,9.56
78.95,9.63
79.74,9.68
80.54,9.73
81.35,9.77
82.16,9.79
82.98,9.82
83.81,9.83
84.65,9.85
85.50,9.88
86.35,9.91
87.22,9.94
88.09,9.98
88.97,10.03
89.86,10.09
90.76,10.14
91.66,10.20
92.58,10.25
93.51,10.31
94.44,10.36
95.39,10.41
96.34,10.45
97.30,10.50
98.28,10.54
99.26,10.57
100.25,10.60
101.25,10.62
102.27,10.63
103.29,10.64
104.32,10.64
105.37,10.64
106.42,10.64
107.48,10.63
108.56,10.63
109.64,10.64
110.74,10.65
111.85,10.67
112.97,10.69
114.10,10.72
115.24,10.75
116.39,10.78
117.55,10.81
118.73,10.85
119.92,10.89
121.12,10.92
122.33,10.94
123.55,10.97
124.79,10.99
126.03,11.01
127.29,11.03
128.57,11.04
129.85,11.04
131.15,11.05
132.46,11.05
133.79,11.04
135.12,11.04
136.48,11.04
137.84,11.03
139.22,11.03
140.61,11.03
142.02,11.03
143.44,11.02
144.87,11.01
146.32,11.00
147.78,10.99
149.26,10.97
150.75,10.95
152.26,10.93
153.78,10.90
155.32,10.87
156.88,10.83
158.44,10.79
160.03,10.75
161.63,10.69
163.24,10.64
164.88,10.58
166.53,10.50
168.19,10.42
169.87,10.33
171.57,10.23
173.29,10.12
175.02,10.00
176.77,9.87
178.54,9.72
