frequency,raw
20.00,2.91
20.20,2.96
20.40,3.00
20.61,3.04
20.81,3.08
21.02,3.11
21.23,3.15
21.44,3.19
21.66,3.22
21.87,3.26
22.09,3.31
22.31,3.35
22.54,3.39
22.76,3.44
22.99,3.48
23.22,3.51
23.45,3.54
23.69,3.57
23.92,3.60
24.16,3.63
24.40,3.66
24.65,3.69
24.89,3.72
25.14,3.75
25.39,3.78
25.65,3.81
25.91,3.83
26.16,3.86
26.43,3.88
26.69,3.91
26.96,3.93
27.23,3.96
27.50,3.99
27.77,4.01
28.05,4.03
28.33,4.05
28.62,4.07
28.90,4.09
29.19,4.10
29.48,4.12
29.78,4.14
30.08,4.15
30.38,4.17
30.68,4.18
30.99,4.19
31.30,4.20
31.61,4.21
31.93,4.22
32.24,4.23
32.57,4.23
32.89,4.24
33.22,4.24
33.55,4.24
33.89,4.24
34.23,4.24
34.57,4.25
34.92,4.26
35.27,4.27
35.62,4.27
35.97,4.27
36.33,4.26
36.70,4.25
37.06,4.23
37.43,4.21
37.81,4.20
38.19,4.18
38.57,4.17
38.95,4.16
39.34,4.15
39.74,4.13
40.14,4.12
40.54,4.10
40.94,4.08
41.35,4.06
41.76,4.03
42.18,4.01
42.60,3.98
43.03,3.96
43.46,3.93
43.90,3.91
44.33,3.88
44.78,3.85
45.23,3.82
45.68,3.80
46.13,3.77
46.60,3.76
47.06,3.75
47.53,3.74
48.01,3.74
48.49,3.74
48.97,3.75
49.46,3.77
49.96,3.80
50.46,3.81
50.96,3.83
51.47,3.85
51.99,3.86
52.51,3.86
53.03,3.85
53.56,3.83
54.10,3.80
54.64,3.76
55.18,3.71
55.74,3.65
56.29,3.59
56.86,3.52
57.42,3.44
58.00,3.36
58.58,3.26
59.16,3.17
59.76,3.08
60.35,3.00
60.96,2.93
61.57,2.87
62.18,2.80
62.80,2.72
63.43,2.64
64.07,2.57
64.71,2.53
65.35,2.50
66.01,2.47
66.67,2.46
67.33,2.45
68.01,2.46
68.69,2.49
69.37,2.53
70.07,2.58
70.77,2.65
71.48,2.73
72.19,2.81
72.91,2.90
73.64,3.00
74.38,3.11
75.12,3.22
75.87,3.34
76.63,3.47
77.40,3.59
78.17,3.71
78.95,3.84
79.74,3.97
80.54,4.09
81.35,4.22
82.16,4.33
82.98,4.45
83.81,4.56
84.65,4.68
85.50,4.79
86.35,4.89
87.22,4.99
88.09,5.10
88.97,5.19
89.86,5.29
90.76,5.38
91.66,5.47
92.58,5.55
93.51,5.64
94.44,5.71
95.39,5.79
96.34,5.86
97.30,5.92
98.28,5.99
99.26,6.06
100.25,6.12
101.25,6.18
102.27,6.23
103.29,6.28
104.32,6.33
105.37,6.37
106.42,6.42
107.48,6.45
108.56,6.49
109.64,6.52
110.74,6.56
111.85,6.59
112.97,6.62
114.10,6.64
115.24,6.67
116.39,6.70
117.55,6.72
118.73,6.75
119.92,6.77
121.12,6.79
122.33,6.82
123.55,6.84
124.79,6.86
126.03,6.88
127.29,6.90
128.57,6.92
129.85,6.93
131.15,6.95
132.46,6.96
133.79,6.97
135.12,6.98
136.48,6.99
137.84,7.00
139.22,7.00
140.61,7.01
142.02,7.01
143.44,7.01
144.87,7.02
146.32,7.02
147.78,7.02
149.26,7.01
150.75,7.01
152.26,7.01
153.78,7.00
155.32,7.00
156.88,6.99
158.44,6.98
160.03,6.98
161.63,6.97
163.24,6.96
164.88,6.96
166.53,6.96
168.19,6.96
169.87,6.96
171.57,6.96
173.29,6.96
175.02,6.96
176.77,6.95
178.54,6.94
180.32,6.92
182.13,6.89
183.95,6.85
185.79,6.81
187.65,6.76
189.52,6.70
191.42,6.64
193.33,6.56
195.27,6.47
197.22,6.36
199.19,6.24
201.18,6.14
203.19,6.06
205.23,6.04
207.28,6.05
209.35,6.09
211.44,6.15
213.56,6.23
215.69,6.32
217.85,6.41
220.03,6.51
222.23,6.58
224.45,6.65
226.70,6.69
228.96,6.72
231.25,6.74
233.57,6.74
235.90,6.74
238.26,6.72
240.64,6.71
243.05,6.68
245.48,6.65
247.93,6.62
250.41,6.58
252.92,6.54
255.45,6.50
258.00,6.45
260.58,6.40
263.19,6.35
265.82,6.29
268.48,6.23
271.16,6.17
273.87,6.10
276.61,6.03
279.38,5.95
282.17,5.89
284.99,5.83
287.84,5.76
290.72,5.70
293.63,5.64
296.57,5.57
299.53,5.50
302.53,5.42
305.55,5.35
308.61,5.27
311.69,5.19
314.81,5.12
317.96,5.04
321.14,4.96
324.35,4.88
327.59,4.80
330.87,4.71
334.18,4.64
337.52,4.57
340.90,4.51
344.30,4.46
347.75,4.40
351.23,4.34
354.74,4.28
358.28,4.23
361.87,4.21
365.49,4.19
369.14,4.17
372.83,4.14
376.56,4.08
380.33,4.03
384.13,3.96
387.97,3.89
391.85,3.82
395.77,3.75
399.73,3.69
403.72,3.63
407.76,3.57
411.84,3.51
415.96,3.44
420.12,3.38
424.32,3.32
428.56,3.26
432.85,3.20
437.18,3.16
441.55,3.10
445.96,3.04
450.42,2.99
454.93,2.92
459.48,2.86
464.07,2.81
468.71,2.76
473.40,2.71
478.13,2.65
482.91,2.60
487.74,2.55
492.62,2.49
497.55,2.44
502.52,2.40
507.55,2.36
512.62,2.33
517.75,2.30
522.93,2.27
528.16,2.23
533.44,2.21
538.77,2.18
544.16,2.16
549.60,2.14
555.10,2.12
560.65,2.10
566.25,2.07
571.92,2.04
577.64,2.01
583.41,1.99
589.25,1.97
595.14,1.94
601.09,1.92
607.10,1.88
613.17,1.86
619.30,1.84
625.50,1.82
631.75,1.80
638.07,1.79
644.45,1.77
650.89,1.74
657.40,1.72
663.98,1.71
670.62,1.70
677.32,1.68
684.10,1.65
690.94,1.63
697.85,1.60
704.83,1.57
711.87,1.55
718.99,1.54
726.18,1.52
733.44,1.50
740.78,1.48
748.19,1.46
755.67,1.44
763.23,1.42
770.86,1.40
778.57,1.37
786.35,1.32
794.22,1.32
802.16,1.31
810.18,1.29
818.28,1.26
826.46,1.23
834.73,1.17
843.08,1.11
851.51,1.05
860.02,1.01
868.62,0.92
877.31,0.84
886.08,0.77
894.94,0.76
903.89,0.68
912.93,0.55
922.06,0.53
931.28,0.48
940.59,0.39
950.00,0.24
959.50,0.12
969.09,0.06
978.78,0.05
988.57,0.09
998.46,0.03
1008.44,-0.17
1018.53,-0.41
1028.71,-0.67
1039.00,-0.73
1049.39,-0.75
1059.88,-0.75
1070.48,-0.67
1081.19,-0.65
1092.00,-0.67
1102.92,-0.78
1113.95,-0.98
1125.09,-1.20
1136.34,-1.39
1147.70,-1.35
1159.18,-1.31
1170.77,-1.28
1182.48,-1.28
1194.30,-1.27
1206.25,-1.25
1218.31,-1.19
1230.49,-1.20
1242.80,-1.19
1255.22,-1.03
1267.78,-0.93
1280.45,-0.82
1293.26,-0.66
1306.19,-0.50
1319.25,-0.32
1332.45,-0.27
1345.77,-0.16
1359.23,0.05
1372.82,0.28
1386.55,0.49
1400.41,0.67
1414.42,0.71
1428.56,0.75
1442.85,0.93
1457.28,1.13
1471.85,1.34
1486.57,1.48
1501.43,1.60
1516.45,1.71
1531.61,1.81
1546.93,1.92
1562.40,1.97
1578.02,2.04
1593.80,2.20
1609.74,2.34
1625.84,2.47
1642.10,2.47
1658.52,2.47
1675.10,2.49
1691.85,2.55
1708.77,2.55
1725.86,2.49
1743.12,2.47
1760.55,2.46
1778.15,2.45
1795.94,2.39
1813.90,2.37
1832.03,2.35
1850.36,2.29
1868.86,2.19
1887.55,2.13
1906.42,2.07
1925.49,1.96
1944.74,1.86
1964.19,1.77
1983.83,1.73
2003.67,1.73
2023.71,1.58
2043.94,1.49
2064.38,1.42
2085.03,1.34
2105.88,1.35
2126.94,1.35
2148.20,1.30
2169.69,1.37
2191.38,1.46
2213.30,1.62
2235.43,1.80
2257.78,1.95
2280.36,2.12
2303.17,2.34
2326.20,2.62
2349.46,2.68
2372.95,2.74
2396.68,2.84
2420.65,2.96
2444.86,3.10
2469.31,3.24
2494.00,3.15
2518.94,3.20
2544.13,3.27
2569.57,3.24
2595.27,3.25
2621.22,3.30
2647.43,3.37
2673.90,3.33
2700.64,3.26
2727.65,3.15
2754.93,3.03
2782.48,2.89
2810.30,2.74
2838.40,2.58
2866.79,2.39
2895.46,2.19
2924.41,1.98
2953.65,1.76
2983.19,1.56
3013.02,1.35
3043.15,1.13
3073.58,0.94
3104.32,0.85
3135.36,0.84
3166.72,0.87
3198.38,0.93
3230.37,0.90
3262.67,0.80
3295.30,0.62
3328.25,0.45
3361.53,0.35
3395.15,0.34
3429.10,0.40
