frequency,raw
20.00,-2.78
20.20,-2.78
20.40,-2.78
20.61,-2.78
20.81,-2.79
21.02,-2.80
21.23,-2.82
21.44,-2.83
21.66,-2.83
21.87,-2.84
22.09,-2.84
22.31,-2.84
22.54,-2.84
22.76,-2.84
22.99,-2.84
23.22,-2.84
23.45,-2.83
23.69,-2.83
23.92,-2.82
24.16,-2.82
24.40,-2.82
24.65,-2.82
24.89,-2.82
25.14,-2.82
25.39,-2.83
25.65,-2.84
25.91,-2.84
26.16,-2.85
26.43,-2.86
26.69,-2.86
26.96,-2.86
27.23,-2.86
27.50,-2.86
27.77,-2.86
28.05,-2.85
28.33,-2.84
28.62,-2.83
28.90,-2.83
29.19,-2.83
29.48,-2.83
29.78,-2.84
30.08,-2.85
30.38,-2.86
30.68,-2.86
30.99,-2.85
31.30,-2.84
31.61,-2.83
31.93,-2.82
32.24,-2.81
32.57,-2.81
32.89,-2.80
33.22,-2.79
33.55,-2.79
33.89,-2.78
34.23,-2.77
34.57,-2.76
34.92,-2.75
35.27,-2.74
35.62,-2.73
35.97,-2.71
36.33,-2.70
36.70,-2.70
37.06,-2.69
37.43,-2.68
37.81,-2.68
38.19,-2.67
38.57,-2.66
38.95,-2.65
39.34,-2.64
39.74,-2.63
40.14,-2.62
40.54,-2.62
40.94,-2.61
41.35,-2.61
41.76,-2.60
42.18,-2.59
42.60,-2.58
43.03,-2.57
43.46,-2.56
43.90,-2.55
44.33,-2.54
44.78,-2.53
45.23,-2.52
45.68,-2.51
46.13,-2.50
46.60,-2.49
47.06,-2.48
47.53,-2.47
48.01,-2.47
48.49,-2.47
48.97,-2.46
49.46,-2.44
49.96,-2.42
50.46,-2.41
50.96,-2.41
51.47,-2.40
51.99,-2.38
52.51,-2.36
53.03,-2.34
53.56,-2.32
54.10,-2.30
54.64,-2.29
55.18,-2.28
55.74,-2.26
56.29,-2.24
56.86,-2.23
57.42,-2.20
58.00,-2.18
58.58,-2.16
59.16,-2.15
59.76,-2.14
60.35,-2.12
60.96,-2.10
61.57,-2.08
62.18,-2.05
62.80,-2.02
63.43,-1.99
64.07,-1.97
64.71,-1.96
65.35,-1.94
66.01,-1.93
66.67,-1.90
67.33,-1.88
68.01,-1.86
68.69,-1.85
69.37,-1.83
70.07,-1.82
70.77,-1.81
71.48,-1.79
72.19,-1.77
72.91,-1.76
73.64,-1.75
74.38,-1.74
75.12,-1.73
75.87,-1.72
76.63,-1.71
77.40,-1.70
78.17,-1.70
78.95,-1.69
79.74,-1.69
80.54,-1.68
81.35,-1.67
82.16,-1.66
82.98,-1.66
83.81,-1.67
84.65,-1.66
85.50,-1.66
86.35,-1.65
87.22,-1.65
88.09,-1.65
88.97,-1.66
89.86,-1.66
90.76,-1.66
91.66,-1.66
92.58,-1.66
93.51,-1.67
94.44,-1.67
95.39,-1.68
96.34,-1.69
97.30,-1.69
98.28,-1.70
99.26,-1.71
100.25,-1.72
101.25,-1.72
102.27,-1.71
103.29,-1.70
104.32,-1.69
105.37,-1.69
106.42,-1.68
107.48,-1.67
108.56,-1.67
109.64,-1.67
110.74,-1.67
111.85,-1.66
112.97,-1.66
114.10,-1.66
115.24,-1.66
116.39,-1.66
117.55,-1.66
118.73,-1.66
119.92,-1.67
121.12,-1.67
122.33,-1.67
123.55,-1.67
124.79,-1.67
126.03,-1.67
127.29,-1.67
128.57,-1.68
129.85,-1.67
131.15,-1.67
132.46,-1.67
133.79,-1.68
135.12,-1.68
136.48,-1.68
137.84,-1.68
139.22,-1.68
140.61,-1.68
142.02,-1.68
143.44,-1.68
144.87,-1.68
146.32,-1.68
147.78,-1.68
149.26,-1.68
150.75,-1.68
152.26,-1.68
153.78,-1.68
155.32,-1.68
156.88,-1.67
158.44,-1.67
160.03,-1.67
161.63,-1.66
163.24,-1.66
164.88,-1.66
166.53,-1.65
168.19,-1.65
169.87,-1.65
171.57,-1.65
173.29,-1.65
175.02,-1.64
176.77,-1.63
178.54,-1.62
180.32,-1.61
182.13,-1.62
183.95,-1.62
185.79,-1.61
187.65,-1.60
189.52,-1.60
191.42,-1.59
193.33,-1.59
195.27,-1.58
197.22,-1.57
199.19,-1.57
201.18,-1.56
203.19,-1.56
205.23,-1.55
207.28,-1.54
209.35,-1.53
211.44,-1.53
213.56,-1.52
215.69,-1.52
217.85,-1.51
220.03,-1.51
222.23,-1.50
224.45,-1.50
226.70,-1.50
228.96,-1.50
231.25,-1.50
233.57,-1.51
235.90,-1.51
238.26,-1.53
240.64,-1.54
243.05,-1.54
245.48,-1.54
247.93,-1.55
250.41,-1.56
252.92,-1.57
255.45,-1.58
258.00,-1.60
260.58,-1.61
263.19,-1.63
265.82,-1.66
268.48,-1.68
271.16,-1.71
273.87,-1.74
276.61,-1.77
279.38,-1.81
282.17,-1.84
284.99,-1.88
287.84,-1.91
290.72,-1.93
293.63,-1.96
296.57,-1.99
299.53,-2.02
302.53,-2.05
305.55,-2.09
308.61,-2.13
311.69,-2.16
314.81,-2.20
317.96,-2.24
321.14,-2.28
324.35,-2.32
327.59,-2.35
330.87,-2.39
334.18,-2.41
337.52,-2.42
340.90,-2.43
344.30,-2.44
347.75,-2.44
351.23,-2.44
354.74,-2.44
358.28,-2.44
361.87,-2.43
365.49,-2.42
369.14,-2.41
372.83,-2.40
376.56,-2.38
380.33,-2.36
384.13,-2.35
387.97,-2.34
391.85,-2.33
395.77,-2.32
399.73,-2.31
403.72,-2.29
407.76,-2.28
411.84,-2.25
415.96,-2.22
420.12,-2.20
424.32,-2.18
428.56,-2.16
432.85,-2.14
437.18,-2.12
441.55,-2.10
445.96,-2.07
450.42,-2.06
454.93,-2.04
459.48,-2.03
464.07,-2.02
468.71,-2.01
473.40,-2.00
478.13,-1.98
482.91,-1.96
487.74,-1.94
492.62,-1.94
497.55,-1.94
502.52,-1.94
507.55,-1.93
512.62,-1.92
517.75,-1.91
522.93,-1.88
528.16,-1.87
533.44,-1.86
538.77,-1.85
544.16,-1.84
549.60,-1.82
555.10,-1.79
560.65,-1.78
566.25,-1.77
571.92,-1.77
577.64,-1.75
583.41,-1.74
589.25,-1.72
595.14,-1.70
601.09,-1.67
607.10,-1.65
613.17,-1.62
619.30,-1.59
625.50,-1.55
631.75,-1.52
638.07,-1.47
644.45,-1.44
650.89,-1.41
657.40,-1.37
663.98,-1.33
670.62,-1.30
677.32,-1.30
684.10,-1.31
690.94,-1.33
697.85,-1.34
