frequency,raw
20.00,5.64
20.20,5.69
20.40,5.73
20.61,5.78
20.81,5.83
21.02,5.88
21.23,5.93
21.44,5.98
21.66,6.02
21.87,6.07
22.09,6.11
22.31,6.15
22.54,6.19
22.76,6.22
22.99,6.26
23.22,6.29
23.45,6.33
23.69,6.37
23.92,6.41
24.16,6.45
24.40,6.48
24.65,6.51
24.89,6.53
25.14,6.55
25.39,6.56
25.65,6.58
25.91,6.59
26.16,6.61
26.43,6.62
26.69,6.63
26.96,6.64
27.23,6.66
27.50,6.67
27.77,6.68
28.05,6.70
28.33,6.72
28.62,6.74
28.90,6.75
29.19,6.76
29.48,6.76
29.78,6.75
30.08,6.74
30.38,6.73
30.68,6.71
30.99,6.70
31.30,6.69
31.61,6.67
31.93,6.64
32.24,6.61
32.57,6.57
32.89,6.52
33.22,6.48
33.55,6.44
33.89,6.40
34.23,6.36
34.57,6.32
34.92,6.28
35.27,6.25
35.62,6.22
35.97,6.20
36.33,6.19
36.70,6.19
37.06,6.19
37.43,6.18
37.81,6.16
38.19,6.14
38.57,6.12
38.95,6.11
39.34,6.10
39.74,6.08
40.14,6.04
40.54,6.00
40.94,5.93
41.35,5.86
41.76,5.78
42.18,5.71
42.60,5.63
43.03,5.56
43.46,5.51
43.90,5.47
44.33,5.44
44.78,5.40
45.23,5.37
45.68,5.33
46.13,5.29
46.60,5.25
47.06,5.23
47.53,5.20
48.01,5.18
48.49,5.17
48.97,5.17
49.46,5.17
49.96,5.16
50.46,5.15
50.96,5.13
51.47,5.11
51.99,5.05
52.51,4.97
53.03,4.87
53.56,4.75
54.10,4.64
54.64,4.52
55.18,4.39
55.74,4.27
56.29,4.14
56.86,4.02
57.42,3.92
58.00,3.82
58.58,3.73
59.16,3.66
59.76,3.63
60.35,3.62
60.96,3.62
61.57,3.63
62.18,3.67
62.80,3.77
63.43,3.87
64.07,3.97
64.71,4.08
65.35,4.20
66.01,4.33
66.67,4.47
67.33,4.62
68.01,4.77
68.69,4.92
69.37,5.07
70.07,5.22
70.77,5.37
71.48,5.52
72.19,5.66
72.91,5.81
73.64,5.94
74.38,6.07
75.12,6.20
75.87,6.32
76.63,6.42
77.40,6.51
78.17,6.59
78.95,6.67
79.74,6.72
80.54,6.76
81.35,6.79
82.16,6.81
82.98,6.80
83.81,6.79
84.65,6.72
85.50,6.65
86.35,6.57
87.22,6.52
88.09,6.51
88.97,6.54
89.86,6.58
90.76,6.58
91.66,6.59
92.58,6.60
93.51,6.63
94.44,6.64
95.39,6.66
96.34,6.69
97.30,6.73
98.28,6.76
99.26,6.78
100.25,6.82
101.25,6.85
102.27,6.86
103.29,6.85
104.32,6.83
105.37,6.82
106.42,6.81
107.48,6.78
108.56,6.75
109.64,6.71
110.74,6.67
111.85,6.62
112.97,6.56
114.10,6.50
115.24,6.44
116.39,6.39
117.55,6.33
118.73,6.30
119.92,6.27
121.12,6.23
122.33,6.19
123.55,6.15
124.79,6.08
126.03,5.96
127.29,5.83
128.57,5.68
129.85,5.51
131.15,5.34
132.46,5.16
133.79,4.98
135.12,4.78
136.48,4.57
137.84,4.36
139.22,4.14
140.61,3.91
142.02,3.68
143.44,3.46
144.87,3.24
146.32,3.01
147.78,2.78
149.26,2.56
150.75,2.33
152.26,2.06
153.78,1.84
155.32,1.62
156.88,1.39
158.44,1.19
160.03,0.99
161.63,0.79
163.24,0.61
164.88,0.44
166.53,0.24
168.19,0.04
169.87,-0.16
171.57,-0.24
173.29,-0.33
175.02,-0.47
176.77,-0.67
178.54,-0.87
180.32,-1.05
182.13,-1.24
183.95,-1.42
185.79,-1.59
187.65,-1.74
189.52,-1.88
191.42,-2.01
193.33,-2.14
195.27,-2.28
197.22,-2.39
199.19,-2.48
201.18,-2.54
203.19,-2.58
205.23,-2.63
207.28,-2.67
209.35,-2.71
211.44,-2.73
213.56,-2.74
215.69,-2.74
217.85,-2.74
220.03,-2.73
222.23,-2.70
224.45,-2.67
226.70,-2.64
228.96,-2.60
231.25,-2.56
233.57,-2.52
235.90,-2.47
238.26,-2.40
240.64,-2.34
243.05,-2.29
245.48,-2.24
247.93,-2.20
250.41,-2.16
252.92,-2.09
255.45,-2.03
258.00,-1.98
260.58,-1.92
263.19,-1.85
265.82,-1.79
268.48,-1.72
271.16,-1.67
273.87,-1.61
276.61,-1.56
279.38,-1.49
282.17,-1.43
284.99,-1.37
287.84,-1.32
290.72,-1.27
293.63,-1.23
296.57,-1.18
299.53,-1.12
302.53,-1.04
305.55,-0.96
308.61,-0.88
311.69,-0.79
314.81,-0.71
317.96,-0.62
321.14,-0.54
324.35,-0.48
327.59,-0.41
330.87,-0.33
334.18,-0.26
337.52,-0.18
340.90,-0.11
344.30,-0.03
347.75,0.04
351.23,0.12
354.74,0.20
358.28,0.28
361.87,0.38
365.49,0.48
369.14,0.57
372.83,0.65
376.56,0.72
380.33,0.79
384.13,0.85
387.97,0.91
391.85,0.97
395.77,1.03
399.73,1.10
403.72,1.16
407.76,1.22
411.84,1.27
415.96,1.32
420.12,1.37
424.32,1.42
428.56,1.46
432.85,1.50
437.18,1.54
441.55,1.58
445.96,1.61
450.42,1.65
454.93,1.68
459.48,1.71
464.07,1.74
468.71,1.78
473.40,1.81
478.13,1.84
482.91,1.87
487.74,1.91
492.62,1.94
497.55,1.97
502.52,2.00
507.55,2.03
512.62,2.06
517.75,2.09
522.93,2.11
528.16,2.14
533.44,2.18
538.77,2.22
544.16,2.28
549.60,2.33
555.10,2.38
560.65,2.43
566.25,2.48
571.92,2.53
577.64,2.56
583.41,2.60
