frequency,raw
20.00,-2.10
20.20,-2.00
20.40,-1.91
20.61,-1.82
20.81,-1.73
21.02,-1.64
21.23,-1.54
21.44,-1.45
21.66,-1.35
21.87,-1.25
22.09,-1.15
22.31,-1.06
22.54,-0.97
22.76,-0.89
22.99,-0.81
23.22,-0.75
23.45,-0.68
23.69,-0.61
23.92,-0.54
24.16,-0.46
24.40,-0.38
24.65,-0.29
24.89,-0.20
25.14,-0.11
25.39,-0.02
25.65,0.07
25.91,0.16
26.16,0.24
26.43,0.33
26.69,0.41
26.96,0.49
27.23,0.56
27.50,0.62
27.77,0.68
28.05,0.74
28.33,0.79
28.62,0.85
28.90,0.91
29.19,0.97
29.48,1.04
29.78,1.11
30.08,1.18
30.38,1.24
30.68,1.29
30.99,1.34
31.30,1.40
31.61,1.45
31.93,1.51
32.24,1.58
32.57,1.64
32.89,1.70
33.22,1.76
33.55,1.82
33.89,1.87
34.23,1.93
34.57,1.98
34.92,2.03
35.27,2.07
35.62,2.12
35.97,2.16
36.33,2.21
36.70,2.25
37.06,2.30
37.43,2.35
37.81,2.39
38.19,2.44
38.57,2.48
38.95,2.52
39.34,2.56
39.74,2.60
40.14,2.65
40.54,2.69
40.94,2.72
41.35,2.76
41.76,2.79
42.18,2.83
42.60,2.86
43.03,2.89
43.46,2.92
43.90,2.95
44.33,2.99
44.78,3.02
45.23,3.05
45.68,3.07
46.13,3.09
46.60,3.10
47.06,3.13
47.53,3.15
48.01,3.18
48.49,3.22
48.97,3.25
49.46,3.28
49.96,3.29
50.46,3.29
50.96,3.29
51.47,3.30
51.99,3.33
52.51,3.36
53.03,3.37
53.56,3.36
54.10,3.36
54.64,3.36
55.18,3.37
55.74,3.36
56.29,3.36
56.86,3.36
57.42,3.36
58.00,3.36
58.58,3.35
59.16,3.34
59.76,3.34
60.35,3.33
60.96,3.32
61.57,3.30
62.18,3.29
62.80,3.27
63.43,3.25
64.07,3.22
64.71,3.20
65.35,3.18
66.01,3.15
66.67,3.12
67.33,3.09
68.01,3.05
68.69,3.02
69.37,2.98
70.07,2.94
70.77,2.90
71.48,2.86
72.19,2.82
72.91,2.77
73.64,2.72
74.38,2.67
75.12,2.62
75.87,2.56
76.63,2.50
77.40,2.45
78.17,2.39
78.95,2.33
79.74,2.28
80.54,2.21
81.35,2.15
82.16,2.09
82.98,2.03
83.81,1.96
84.65,1.90
85.50,1.84
86.35,1.78
87.22,1.72
88.09,1.66
88.97,1.59
89.86,1.54
90.76,1.48
91.66,1.42
92.58,1.37
93.51,1.32
94.44,1.27
95.39,1.23
96.34,1.18
97.30,1.14
98.28,1.11
99.26,1.08
100.25,1.06
101.25,1.04
102.27,1.02
103.29,1.01
104.32,1.01
105.37,1.01
106.42,1.01
107.48,1.02
108.56,1.03
109.64,1.05
110.74,1.08
111.85,1.11
112.97,1.14
114.10,1.17
115.24,1.21
116.39,1.26
117.55,1.31
118.73,1.35
119.92,1.40
121.12,1.46
122.33,1.52
123.55,1.58
124.79,1.64
126.03,1.70
127.29,1.77
128.57,1.83
129.85,1.89
131.15,1.96
132.46,2.02
133.79,2.08
135.12,2.14
136.48,2.19
137.84,2.25
139.22,2.30
140.61,2.35
142.02,2.39
143.44,2.43
144.87,2.47
146.32,2.50
147.78,2.52
149.26,2.54
150.75,2.56
152.26,2.57
153.78,2.57
155.32,2.57
156.88,2.56
158.44,2.54
160.03,2.52
161.63,2.48
163.24,2.44
164.88,2.40
166.53,2.34
168.19,2.28
169.87,2.21
171.57,2.14
173.29,2.06
175.02,1.98
176.77,1.90
178.54,1.80
180.32,1.70
182.13,1.60
183.95,1.50
185.79,1.39
187.65,1.27
189.52,1.16
191.42,1.04
193.33,0.92
195.27,0.81
197.22,0.70
199.19,0.64
201.18,0.63
203.19,0.65
205.23,0.65
207.28,0.64
209.35,0.61
211.44,0.56
213.56,0.50
215.69,0.43
217.85,0.36
220.03,0.29
222.23,0.22
224.45,0.15
226.70,0.08
228.96,0.01
231.25,-0.05
233.57,-0.11
235.90,-0.17
238.26,-0.24
240.64,-0.30
243.05,-0.36
245.48,-0.42
247.93,-0.48
250.41,-0.54
252.92,-0.60
255.45,-0.66
258.00,-0.72
260.58,-0.78
263.19,-0.84
265.82,-0.90
268.48,-0.97
271.16,-1.03
273.87,-1.10
276.61,-1.17
279.38,-1.24
282.17,-1.32
284.99,-1.39
287.84,-1.47
290.72,-1.56
293.63,-1.64
296.57,-1.73
299.53,-1.82
302.53,-1.92
305.55,-2.01
308.61,-2.11
311.69,-2.22
314.81,-2.32
317.96,-2.43
321.14,-2.54
324.35,-2.66
327.59,-2.79
330.87,-2.91
334.18,-3.04
337.52,-3.15
340.90,-3.24
344.30,-3.27
347.75,-3.31
351.23,-3.37
354.74,-3.45
358.28,-3.50
361.87,-3.50
365.49,-3.47
369.14,-3.50
372.83,-3.57
376.56,-3.66
380.33,-3.76
384.13,-3.85
387.97,-3.95
391.85,-4.04
395.77,-4.12
399.73,-4.20
403.72,-4.27
407.76,-4.34
411.84,-4.40
415.96,-4.44
420.12,-4.49
424.32,-4.54
428.56,-4.59
432.85,-4.63
437.18,-4.66
441.55,-4.70
445.96,-4.72
450.42,-4.75
454.93,-4.76
459.48,-4.76
464.07,-4.76
468.71,-4.75
473.40,-4.75
478.13,-4.74
482.91,-4.73
487.74,-4.71
492.62,-4.69
497.55,-4.68
502.52,-4.65
507.55,-4.62
512.62,-4.59
517.75,-4.56
522.93,-4.53
528.16,-4.50
533.44,-4.47
538.77,-4.44
544.16,-4.41
549.60,-4.39
555.10,-4.36
560.65,-4.33
566.25,-4.29
571.92,-4.25
577.64,-4.21
583.41,-4.16
589.25,-4.10
595.14,-4.04
601.09,-3.98
607.10,-3.91
613.17,-3.83
619.30,-3.76
625.50,-3.69
631.75,-3.61
638.07,-3.54
644.45,-3.46
650.89,-3.39
657.40,-3.31
663.98,-3.22
670.62,-3.14
677.32,-3.05
684.10,-2.95
690.94,-2.85
697.85,-2.75
704.83,-2.65
711.87,-2.55
718.99,-2.45
726.18,-2.34
733.44,-2.23
740.78,-2.12
748.19,-2.00
755.67,-1.89
763.23,-1.78
770.86,-1.68
778.57,-1.58
