frequency,raw
20.00,14.68
20.20,14.68
20.40,14.69
20.61,14.70
20.81,14.70
21.02,14.71
21.23,14.71
21.44,14.72
21.66,14.73
21.87,14.74
22.09,14.75
22.31,14.76
22.54,14.77
22.76,14.78
22.99,14.79
23.22,14.79
23.45,14.79
23.69,14.80
23.92,14.80
24.16,14.81
24.40,14.82
24.65,14.83
24.89,14.84
25.14,14.85
25.39,14.86
25.65,14.88
25.91,14.89
26.16,14.89
26.43,14.90
26.69,14.90
26.96,14.90
27.23,14.90
27.50,14.90
27.77,14.90
28.05,14.90
28.33,14.90
28.62,14.90
28.90,14.90
29.19,14.90
29.48,14.90
29.78,14.90
30.08,14.90
30.38,14.90
30.68,14.90
30.99,14.89
31.30,14.89
31.61,14.89
31.93,14.88
32.24,14.88
32.57,14.88
32.89,14.87
33.22,14.87
33.55,14.87
33.89,14.86
34.23,14.86
34.57,14.85
34.92,14.85
35.27,14.84
35.62,14.84
35.97,14.84
36.33,14.83
36.70,14.83
37.06,14.82
37.43,14.82
37.81,14.81
38.19,14.81
38.57,14.80
38.95,14.79
39.34,14.79
39.74,14.78
40.14,14.77
40.54,14.76
40.94,14.75
41.35,14.75
41.76,14.74
42.18,14.73
42.60,14.72
43.03,14.71
43.46,14.70
43.90,14.69
44.33,14.68
44.78,14.66
45.23,14.65
45.68,14.63
46.13,14.62
46.60,14.61
47.06,14.60
47.53,14.58
48.01,14.57
48.49,14.55
48.97,14.53
49.46,14.51
49.96,14.49
50.46,14.47
50.96,14.45
51.47,14.43
51.99,14.41
52.51,14.39
53.03,14.36
53.56,14.33
54.10,14.30
54.64,14.28
55.18,14.25
55.74,14.21
56.29,14.18
56.86,14.14
57.42,14.10
58.00,14.06
58.58,14.01
59.16,13.97
59.76,13.92
60.35,13.87
60.96,13.82
61.57,13.77
62.18,13.71
62.80,13.65
63.43,13.60
64.07,13.54
64.71,13.47
65.35,13.41
66.01,13.35
66.67,13.28
67.33,13.21
68.01,13.14
68.69,13.07
69.37,12.99
70.07,12.91
70.77,12.83
71.48,12.75
72.19,12.67
72.91,12.58
73.64,12.50
74.38,12.41
75.12,12.32
75.87,12.23
76.63,12.13
77.40,12.04
78.17,11.94
78.95,11.84
79.74,11.74
80.54,11.64
81.35,11.53
82.16,11.43
82.98,11.32
83.81,11.21
84.65,11.11
85.50,11.00
86.35,10.89
87.22,10.78
88.09,10.68
88.97,10.57
89.86,10.47
90.76,10.37
91.66,10.27
92.58,10.17
93.51,10.07
94.44,9.98
95.39,9.89
96.34,9.80
97.30,9.72
98.28,9.64
99.26,9.57
100.25,9.49
101.25,9.42
102.27,9.36
103.29,9.30
104.32,9.25
105.37,9.20
106.42,9.15
107.48,9.10
108.56,9.06
109.64,9.02
110.74,8.99
111.85,8.96
112.97,8.93
114.10,8.91
115.24,8.88
116.39,8.86
117.55,8.84
118.73,8.83
119.92,8.81
121.12,8.80
122.33,8.80
123.55,8.79
124.79,8.78
126.03,8.77
127.29,8.76
128.57,8.74
129.85,8.73
131.15,8.72
132.46,8.71
133.79,8.69
135.12,8.67
136.48,8.64
137.84,8.61
139.22,8.58
140.61,8.54
142.02,8.50
143.44,8.46
144.87,8.41
146.32,8.35
147.78,8.29
149.26,8.23
150.75,8.16
152.26,8.08
153.78,8.00
155.32,7.91
156.88,7.81
158.44,7.71
160.03,7.61
161.63,7.49
163.24,7.37
164.88,7.24
166.53,7.11
168.19,6.98
169.87,6.85
171.57,6.71
173.29,6.57
175.02,6.42
176.77,6.27
178.54,6.13
180.32,5.98
182.13,5.82
183.95,5.67
185.79,5.52
187.65,5.36
189.52,5.21
191.42,5.05
193.33,4.90
195.27,4.74
197.22,4.59
199.19,4.48
201.18,4.45
203.19,4.47
205.23,4.49
207.28,4.48
209.35,4.44
211.44,4.39
213.56,4.31
215.69,4.23
217.85,4.14
220.03,4.06
222.23,3.99
224.45,3.91
226.70,3.85
228.96,3.78
231.25,3.72
233.57,3.66
235.90,3.60
238.26,3.54
240.64,3.49
243.05,3.44
245.48,3.40
247.93,3.35
250.41,3.31
252.92,3.27
255.45,3.23
258.00,3.19
260.58,3.15
263.19,3.10
265.82,3.06
268.48,3.01
271.16,2.96
273.87,2.92
276.61,2.87
279.38,2.82
282.17,2.77
284.99,2.72
287.84,2.67
290.72,2.61
293.63,2.54
296.57,2.48
299.53,2.41
302.53,2.34
305.55,2.26
308.61,2.19
311.69,2.11
314.81,2.03
317.96,1.94
321.14,1.84
324.35,1.74
327.59,1.63
330.87,1.52
334.18,1.40
337.52,1.30
340.90,1.22
344.30,1.23
347.75,1.24
351.23,1.22
354.74,1.15
358.28,1.12
361.87,1.12
365.49,1.15
369.14,1.12
372.83,1.04
376.56,0.96
380.33,0.87
384.13,0.78
387.97,0.69
391.85,0.60
395.77,0.52
399.73,0.44
403.72,0.37
407.76,0.31
411.84,0.25
415.96,0.20
420.12,0.15
424.32,0.10
428.56,0.05
432.85,0.01
437.18,-0.04
441.55,-0.07
445.96,-0.09
450.42,-0.12
454.93,-0.14
459.48,-0.14
464.07,-0.15
468.71,-0.16
473.40,-0.17
478.13,-0.18
482.91,-0.18
487.74,-0.18
492.62,-0.18
497.55,-0.17
502.52,-0.17
507.55,-0.17
512.62,-0.16
517.75,-0.15
522.93,-0.13
528.16,-0.10
533.44,-0.09
538.77,-0.08
544.16,-0.08
549.60,-0.08
555.10,-0.08
560.65,-0.08
566.25,-0.06
571.92,-0.05
577.64,-0.03
583.41,-0.01
589.25,0.00
595.14,0.02
601.09,0.05
607.10,0.08
613.17,0.11
619.30,0.15
625.50,0.18
631.75,0.21
638.07,0.23
644.45,0.25
650.89,0.27
657.40,0.29
663.98,0.31
670.62,0.34
677.32,0.37
684.10,0.40
690.94,0.44
697.85,0.46
704.83,0.48
711.87,0.50
718.99,0.53
726.18,0.55
733.44,0.57
740.78,0.58
748.19,0.60
755.67,0.63
763.23,0.65
770.86,0.64
778.57,0.63
786.35,0.62
794.22,0.60
802.16,0.59
810.18,0.57
818.28,0.55
826.46,0.53
834.73,0.51
843.08,0.49
851.51,0.47
860.02,0.44
868.62,0.42
877.31,0.39
886.08,0.35
894.94,0.32
903.89,0.29
912.93,0.26
922.06,0.25
931.28,0.23
940.59,0.20
950.00,0.17
959.50,0.13
969.09,0.09
978.78,0.07
988.57,0.04
998.46,0.01
1008.44,-0.03
1018.53,-0.08
1028.71,-0.11
1039.00,-0.13
1049.39,-0.13
1059.88,-0.13
1070.48,-0.11
1081.19,-0.09
1092.00,-0.06
1102.92,-0.03
1113.95,-0.00
1125.09,0.03
1136.34,0.08
1147.70,0.14
1159.18,0.23
1170.77,0.32
1182.48,0.45
1194.30,0.61
1206.25,0.77
1218.31,0.95
1230.49,1.13
1242.80,1.32
1255.22,1.54
1267.78,1.77
1280.45,2.01
1293.26,2.25
1306.19,2.50
1319.25,2.74
1332.45,2.96
1345.77,3.15
1359.23,3.31
1372.82,3.60
1386.55,3.83
1400.41,3.98
1414.42,4.10
1428.56,4.21
1442.85,4.52
1457.28,4.74
1471.85,4.86
1486.57,4.97
1501.43,5.07
1516.45,5.17
1531.61,5.26
1546.93,5.35
1562.40,5.44
1578.02,5.52
1593.80,5.58
1609.74,5.69
1625.84,5.84
1642.10,5.95
1658.52,6.05
1675.10,6.16
1691.85,6.28
1708.77,6.40
1725.86,6.53
1743.12,6.68
1760.55,6.84
1778.15,7.00
1795.94,7.16
1813.90,7.34
1832.03,7.52
1850.36,7.71
1868.86,7.90
1887.55,8.09
1906.42,8.28
1925.49,8.46
1944.74,8.62
1964.19,8.76
1983.83,8.90
2003.67,9.05
2023.71,9.19
2043.94,9.33
2064.38,9.46
2085.03,9.57
2105.88,9.67
2126.94,9.75
2148.20,9.83
2169.69,9.90
2191.38,9.97
2213.30,10.03
2235.43,10.10
2257.78,10.17
2280.36,10.25
2303.17,10.34
2326.20,10.44
2349.46,10.56
2372.95,10.71
2396.68,10.88
2420.65,11.07
2444.86,11.28
2469.31,11.50
2494.00,11.73
2518.94,11.97
2544.13,12.21
2569.57,12.44
2595.27,12.64
2621.22,12.83
2647.43,12.96
2673.90,13.01
2700.64,13.01
2727.65,12.94
2754.93,12.83
2782.48,12.70
2810.30,12.60
2838.40,12.56
2866.79,12.61
2895.46,12.74
2924.41,12.96
2953.65,13.18
2983.19,13.33
3013.02,13.43
3043.15,13.43
3073.58,13.31
3104.32,13.09
3135.36,12.79
3166.72,12.42
3198.38,12.02
3230.37,11.56
3262.67,11.12
3295.30,10.68
3328.25,10.27
3361.53,9.88
3395.15,9.50
3429.10,9.16
3463.39,8.86
3498.03,8.58
3533.01,8.38
3568.34,8.22
3604.02,8.10
3640.06,8.03
3676.46,7.97
3713.22,7.92
3750.36,7.86
3787.86,7.78
3825.74,7.70
3864.00,7.60
3902.64,7.47
3941.66,7.33
3981.08,7.18
4020.89,7.02
4061.10,6.85
4101.71,6.70
4142.73,6.55
4184.15,6.41
4226.00,6.26
4268.26,6.13
4310.94,6.01
4354.05,5.89
4397.59,5.79
4441.56,5.69
4485.98,5.59
4530.84,5.56
4576.15,5.54
4621.91,5.50
4668.13,5.46
4714.81,5.44
