frequency,raw
20.00,-0.10
20.20,-0.11
20.40,-0.12
20.61,-0.13
20.81,-0.13
21.02,-0.12
21.23,-0.12
21.44,-0.10
21.66,-0.09
21.87,-0.08
22.09,-0.09
22.31,-0.10
22.54,-0.12
22.76,-0.14
22.99,-0.18
23.22,-0.21
23.45,-0.24
23.69,-0.26
23.92,-0.27
24.16,-0.27
24.40,-0.27
24.65,-0.26
24.89,-0.26
25.14,-0.26
25.39,-0.27
25.65,-0.28
25.91,-0.30
26.16,-0.32
26.43,-0.33
26.69,-0.35
26.96,-0.37
27.23,-0.39
27.50,-0.40
27.77,-0.42
28.05,-0.44
28.33,-0.46
28.62,-0.47
28.90,-0.49
29.19,-0.51
29.48,-0.53
29.78,-0.56
30.08,-0.58
30.38,-0.60
30.68,-0.63
30.99,-0.64
31.30,-0.66
31.61,-0.68
31.93,-0.70
32.24,-0.72
32.57,-0.75
32.89,-0.79
33.22,-0.82
33.55,-0.86
33.89,-0.89
34.23,-0.92
34.57,-0.95
34.92,-0.98
35.27,-1.00
35.62,-1.02
35.97,-1.04
36.33,-1.05
36.70,-1.06
37.06,-1.08
37.43,-1.09
37.81,-1.10
38.19,-1.12
38.57,-1.11
38.95,-1.11
39.34,-1.10
39.74,-1.09
40.14,-1.10
40.54,-1.10
40.94,-1.10
41.35,-1.10
41.76,-1.11
42.18,-1.15
42.60,-1.20
43.03,-1.23
43.46,-1.23
43.90,-1.21
44.33,-1.20
44.78,-1.24
45.23,-1.30
45.68,-1.35
46.13,-1.37
46.60,-1.36
47.06,-1.37
47.53,-1.40
48.01,-1.44
48.49,-1.45
48.97,-1.42
49.46,-1.37
49.96,-1.33
50.46,-1.30
50.96,-1.27
51.47,-1.22
51.99,-1.17
52.51,-1.12
53.03,-1.07
53.56,-1.04
54.10,-1.02
54.64,-1.02
55.18,-1.04
55.74,-1.07
56.29,-1.09
56.86,-1.11
57.42,-1.14
58.00,-1.17
58.58,-1.21
59.16,-1.25
59.76,-1.29
60.35,-1.30
60.96,-1.30
61.57,-1.27
62.18,-1.25
62.80,-1.24
63.43,-1.24
64.07,-1.23
64.71,-1.22
65.35,-1.19
66.01,-1.15
66.67,-1.13
67.33,-1.10
68.01,-1.09
68.69,-1.06
69.37,-1.03
70.07,-1.00
70.77,-0.95
71.48,-0.92
72.19,-0.89
72.91,-0.86
73.64,-0.82
74.38,-0.79
75.12,-0.75
75.87,-0.71
76.63,-0.67
77.40,-0.63
78.17,-0.58
78.95,-0.54
79.74,-0.51
80.54,-0.46
81.35,-0.40
82.16,-0.39
82.98,-0.36
83.81,-0.32
84.65,-0.30
85.50,-0.28
86.35,-0.25
87.22,-0.22
88.09,-0.22
88.97,-0.20
89.86,-0.17
90.76,-0.16
91.66,-0.17
92.58,-0.17
93.51,-0.14
94.44,-0.13
95.39,-0.14
96.34,-0.15
97.30,-0.13
98.28,-0.13
99.26,-0.13
100.25,-0.14
101.25,-0.15
102.27,-0.15
103.29,-0.15
104.32,-0.16
105.37,-0.17
106.42,-0.18
107.48,-0.20
108.56,-0.20
109.64,-0.22
110.74,-0.23
111.85,-0.25
112.97,-0.26
114.10,-0.28
115.24,-0.31
116.39,-0.33
117.55,-0.34
118.73,-0.38
119.92,-0.43
121.12,-0.45
122.33,-0.43
123.55,-0.47
124.79,-0.52
126.03,-0.54
127.29,-0.56
128.57,-0.59
129.85,-0.61
131.15,-0.63
132.46,-0.66
133.79,-0.67
135.12,-0.71
136.48,-0.75
137.84,-0.80
139.22,-0.83
140.61,-0.86
142.02,-0.89
143.44,-0.92
144.87,-0.94
146.32,-0.97
147.78,-1.01
149.26,-1.05
150.75,-1.09
152.26,-1.13
153.78,-1.15
155.32,-1.17
156.88,-1.19
158.44,-1.21
160.03,-1.23
161.63,-1.27
163.24,-1.30
164.88,-1.34
166.53,-1.37
168.19,-1.42
169.87,-1.48
171.57,-1.52
173.29,-1.57
175.02,-1.63
176.77,-1.69
178.54,-1.69
180.32,-1.68
182.13,-1.80
183.95,-1.87
185.79,-1.91
187.65,-1.95
189.52,-2.02
191.42,-2.08
193.33,-2.14
195.27,-2.21
197.22,-2.28
199.19,-2.34
201.18,-2.41
203.19,-2.48
205.23,-2.55
207.28,-2.61
209.35,-2.67
211.44,-2.75
213.56,-2.79
215.69,-2.84
217.85,-2.89
220.03,-2.96
222.23,-3.02
224.45,-3.08
226.70,-3.13
228.96,-3.21
231.25,-3.29
233.57,-3.37
235.90,-3.45
238.26,-3.53
240.64,-3.60
243.05,-3.68
245.48,-3.77
247.93,-3.85
250.41,-3.94
252.92,-4.02
255.45,-4.10
258.00,-4.19
260.58,-4.28
263.19,-4.36
265.82,-4.45
268.48,-4.54
271.16,-4.64
273.87,-4.73
276.61,-4.81
279.38,-4.88
282.17,-4.96
284.99,-5.04
287.84,-5.10
290.72,-5.17
293.63,-5.24
296.57,-5.31
299.53,-5.37
302.53,-5.42
305.55,-5.47
308.61,-5.53
311.69,-5.58
314.81,-5.66
317.96,-5.71
321.14,-5.77
324.35,-5.82
327.59,-5.87
330.87,-5.92
334.18,-5.99
337.52,-6.05
340.90,-6.12
344.30,-6.20
347.75,-6.27
351.23,-6.33
354.74,-6.39
358.28,-6.36
361.87,-6.30
365.49,-6.22
369.14,-6.16
372.83,-6.13
376.56,-6.12
380.33,-6.12
384.13,-6.12
387.97,-6.11
391.85,-6.09
395.77,-6.06
399.73,-6.03
403.72,-6.00
407.76,-5.97
411.84,-5.94
415.96,-5.89
420.12,-5.85
424.32,-5.81
428.56,-5.78
432.85,-5.75
437.18,-5.71
441.55,-5.67
445.96,-5.63
450.42,-5.59
454.93,-5.55
459.48,-5.49
464.07,-5.44
468.71,-5.38
473.40,-5.32
478.13,-5.26
482.91,-5.20
487.74,-5.12
492.62,-5.03
497.55,-4.94
502.52,-4.85
507.55,-4.74
512.62,-4.64
517.75,-4.53
522.93,-4.43
528.16,-4.32
533.44,-4.21
538.77,-4.10
544.16,-3.98
549.60,-3.88
555.10,-3.77
560.65,-3.65
566.25,-3.53
571.92,-3.42
577.64,-3.30
583.41,-3.18
589.25,-3.07
595.14,-2.94
601.09,-2.83
607.10,-2.73
613.17,-2.62
619.30,-2.51
625.50,-2.41
631.75,-2.30
638.07,-2.20
644.45,-2.09
650.89,-1.98
657.40,-1.87
663.98,-1.75
670.62,-1.63
677.32,-1.50
684.10,-1.37
690.94,-1.23
697.85,-1.09
704.83,-0.95
711.87,-0.81
718.99,-0.67
726.18,-0.58
733.44,-0.48
740.78,-0.38
748.19,-0.25
755.67,-0.13
763.23,-0.01
770.86,0.07
778.57,0.14
786.35,0.20
794.22,0.23
802.16,0.25
810.18,0.24
818.28,0.23
826.46,0.21
834.73,0.15
843.08,0.04
851.51,-0.11
860.02,-0.30
868.62,-0.46
877.31,-0.60
886.08,-0.65
894.94,-0.65
903.89,-0.63
912.93,-0.60
922.06,-0.56
931.28,-0.51
940.59,-0.46
950.00,-0.41
959.50,-0.34
969.09,-0.27
978.78,-0.19
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.24
1039.00,0.32
1049.39,0.39
1059.88,0.46
1070.48,0.53
1081.19,0.61
1092.00,0.69
1102.92,0.77
1113.95,0.85
1125.09,0.93
1136.34,1.00
1147.70,1.07
1159.18,1.14
1170.77,1.20
1182.48,1.24
1194.30,1.28
1206.25,1.32
1218.31,1.36
1230.49,1.41
1242.80,1.46
1255.22,1.51
1267.78,1.55
1280.45,1.59
1293.26,1.62
1306.19,1.65
1319.25,1.69
1332.45,1.74
1345.77,1.78
1359.23,1.81
1372.82,1.79
1386.55,1.77
1400.41,1.77
1414.42,1.90
1428.56,2.04
1442.85,2.18
1457.28,2.30
1471.85,2.40
1486.57,2.44
1501.43,2.46
1516.45,2.42
1531.61,2.37
1546.93,2.29
1562.40,2.21
1578.02,2.15
1593.80,2.13
1609.74,2.15
1625.84,2.20
1642.10,2.29
1658.52,2.40
1675.10,2.52
1691.85,2.63
1708.77,2.74
1725.86,2.84
1743.12,2.95
1760.55,3.06
1778.15,3.18
1795.94,3.29
1813.90,3.39
1832.03,3.46
1850.36,3.52
1868.86,3.58
1887.55,3.73
1906.42,3.94
1925.49,4.19
1944.74,4.39
1964.19,4.59
1983.83,4.78
2003.67,4.98
2023.71,5.21
2043.94,5.48
2064.38,5.73
2085.03,5.88
2105.88,6.00
2126.94,6.09
2148.20,6.13
2169.69,6.15
2191.38,6.16
2213.30,6.11
2235.43,6.03
2257.78,5.94
2280.36,5.88
2303.17,5.87
2326.20,6.00
2349.46,6.17
2372.95,6.35
2396.68,6.53
2420.65,6.69
2444.86,6.77
2469.31,6.80
2494.00,6.85
2518.94,6.93
2544.13,7.01
2569.57,7.02
2595.27,7.08
2621.22,7.18
2647.43,7.28
2673.90,7.30
2700.64,7.27
2727.65,7.17
2754.93,7.06
2782.48,6.96
2810.30,6.84
2838.40,6.69
2866.79,6.56
2895.46,6.44
2924.41,6.24
2953.65,6.01
2983.19,5.69
3013.02,5.23
3043.15,4.61
3073.58,4.09
3104.32,3.80
3135.36,3.62
3166.72,3.42
3198.38,3.17
3230.37,2.84
3262.67,2.54
3295.30,2.29
3328.25,2.26
3361.53,2.11
3395.15,1.68
3429.10,1.28
3463.39,0.93
3498.03,0.67
3533.01,0.62
3568.34,0.63
3604.02,0.67
3640.06,0.67
3676.46,0.61
3713.22,0.26
3750.36,-0.59
3787.86,-0.28
3825.74,0.04
3864.00,0.43
3902.64,0.61
3941.66,0.76
3981.08,0.75
4020.89,0.76
4061.10,0.83
4101.71,0.89
4142.73,0.78
4184.15,0.55
4226.00,0.53
4268.26,0.40
4310.94,0.14
4354.05,-0.05
4397.59,-0.48
4441.56,-1.04
4485.98,-1.59
4530.84,-1.62
4576.15,-1.66
4621.91,-1.86
4668.13,-1.98
4714.81,-2.12
4761.96,-2.33
4809.58,-2.74
4857.67,-2.58
4906.25,-2.41
4955.31,-2.30
5004.87,-2.18
5054.91,-2.21
5105.46,-2.33
5156.52,-2.47
5208.08,-2.18
5260.16,-1.73
5312.77,-1.30
5365.89,-1.03
5419.55,-0.81
5473.75,-0.58
5528.49,-0.32
5583.77,0.08
5639.61,0.24
5696.00,0.30
5752.96,0.17
5810.49,0.09
5868.60,0.33
5927.28,0.47
5986.56,0.51
6046.42,0.62
6106.89,0.60
6167.96,0.36
6229.64,0.17
6291.93,0.70
6354.85,1.71
6418.40,2.39
6482.58,2.06
6547.41,1.72
6612.88,1.37
6679.01,1.03
6745.80,0.95
6813.26,1.08
6881.39,1.57
6950.21,1.78
7019.71,2.01
7089.91,2.55
7160.81,3.30
7232.41,3.87
7304.74,4.17
7377.79,4.19
7451.56,4.25
7526.08,4.18
7601.34,3.89
7677.35,3.67
7754.13,3.48
7831.67,3.15
7909.98,2.76
7989.08,2.29
8068.98,1.83
8149.67,1.45
8231.16,1.21
8313.47,1.29
8396.61,1.44
8480.57,1.49
8565.38,1.46
8651.03,1.36
8737.54,1.18
8824.92,0.67
8913.17,-0.12
9002.30,-1.00
9092.32,-1.80
9183.25,-2.75
9275.08,-3.75
9367.83,-4.64
9461.51,-5.25
9556.12,-5.51
9651.68,-5.47
9748.20,-5.21
9845.68,-3.99
9944.14,-2.91
10043.58,-2.26
10144.02,-2.04
10245.46,-4.25
10347.91,-5.65
10451.39,-5.79
10555.91,-4.69
10661.46,-4.75
10768.08,-5.55
10875.76,-5.89
10984.52,-6.47
11094.36,-6.77
11205.31,-6.23
11317.36,-5.06
11430.53,-4.75
11544.84,-6.10
11660.29,-8.32
11776.89,-13.38
11894.66,-11.30
12013.60,-6.72
12133.74,-3.58
12255.08,-3.19
12377.63,-5.05
12501.41,-4.92
12626.42,-5.66
12752.68,-3.99
12880.21,-3.42
13009.01,-3.82
13139.10,-4.23
13270.49,-3.86
13403.20,-2.91
13537.23,-3.45
13672.60,-3.05
13809.33,-2.26
13947.42,-7.29
14086.90,-7.92
14227.77,-5.86
14370.04,-4.60
14513.74,-4.41
14658.88,-6.69
14805.47,-8.57
14953.52,-9.80
15103.06,-9.69
15254.09,-8.95
15406.63,-6.81
15560.70,-4.92
15716.30,-3.41
15873.47,-2.25
16032.20,-1.04
16192.52,0.79
16354.45,2.48
16517.99,3.98
16683.17,4.61
16850.01,4.72
17018.51,4.37
17188.69,3.26
17360.58,3.19
17534.18,3.44
17709.53,2.61
17886.62,2.91
18065.49,2.05
18246.14,-1.39
18428.60,0.17
18612.89,-0.47
18799.02,-2.51
18987.01,-4.40
19176.88,-8.43
19368.65,-12.79
19562.33,-15.43
19757.96,-14.23
19955.54,-13.03
