frequency,raw
20.00,6.52
20.20,6.54
20.40,6.56
20.61,6.57
20.81,6.58
21.02,6.60
21.23,6.61
21.44,6.62
21.66,6.63
21.87,6.63
22.09,6.64
22.31,6.65
22.54,6.65
22.76,6.66
22.99,6.67
23.22,6.67
23.45,6.67
23.69,6.68
23.92,6.67
24.16,6.67
24.40,6.66
24.65,6.65
24.89,6.64
25.14,6.64
25.39,6.63
25.65,6.63
25.91,6.63
26.16,6.62
26.43,6.62
26.69,6.62
26.96,6.61
27.23,6.60
27.50,6.59
27.77,6.58
28.05,6.57
28.33,6.55
28.62,6.53
28.90,6.50
29.19,6.48
29.48,6.46
29.78,6.44
30.08,6.42
30.38,6.40
30.68,6.38
30.99,6.36
31.30,6.34
31.61,6.32
31.93,6.31
32.24,6.30
32.57,6.29
32.89,6.27
33.22,6.26
33.55,6.24
33.89,6.21
34.23,6.19
34.57,6.16
34.92,6.14
35.27,6.11
35.62,6.08
35.97,6.06
36.33,6.04
36.70,6.02
37.06,6.01
37.43,5.99
37.81,5.96
38.19,5.94
38.57,5.91
38.95,5.88
39.34,5.85
39.74,5.82
40.14,5.80
40.54,5.77
40.94,5.73
41.35,5.70
41.76,5.66
42.18,5.62
42.60,5.59
43.03,5.55
43.46,5.51
43.90,5.47
44.33,5.44
44.78,5.40
45.23,5.36
45.68,5.31
46.13,5.27
46.60,5.23
47.06,5.19
47.53,5.15
48.01,5.10
48.49,5.06
48.97,5.02
49.46,4.99
49.96,4.96
50.46,4.92
50.96,4.88
51.47,4.85
51.99,4.83
52.51,4.82
53.03,4.82
53.56,4.81
54.10,4.80
54.64,4.79
55.18,4.79
55.74,4.80
56.29,4.80
56.86,4.80
57.42,4.80
58.00,4.79
58.58,4.79
59.16,4.79
59.76,4.78
60.35,4.76
60.96,4.74
61.57,4.71
62.18,4.68
62.80,4.66
63.43,4.65
64.07,4.63
64.71,4.61
65.35,4.60
66.01,4.59
66.67,4.57
67.33,4.56
68.01,4.54
68.69,4.54
69.37,4.54
70.07,4.53
70.77,4.54
71.48,4.55
72.19,4.56
72.91,4.57
73.64,4.59
74.38,4.61
75.12,4.63
75.87,4.66
76.63,4.68
77.40,4.71
78.17,4.74
78.95,4.76
79.74,4.79
80.54,4.81
81.35,4.82
82.16,4.84
82.98,4.85
83.81,4.86
84.65,4.86
85.50,4.86
86.35,4.85
87.22,4.84
88.09,4.83
88.97,4.82
89.86,4.80
90.76,4.78
91.66,4.76
92.58,4.74
93.51,4.72
94.44,4.68
95.39,4.64
96.34,4.60
97.30,4.55
98.28,4.50
99.26,4.44
100.25,4.39
101.25,4.33
102.27,4.27
103.29,4.22
104.32,4.19
105.37,4.13
106.42,4.08
107.48,4.01
108.56,3.94
109.64,3.86
110.74,3.78
111.85,3.69
112.97,3.60
114.10,3.51
115.24,3.42
116.39,3.32
117.55,3.22
118.73,3.11
119.92,3.00
121.12,2.89
122.33,2.78
123.55,2.66
124.79,2.54
126.03,2.42
127.29,2.29
128.57,2.16
129.85,2.04
131.15,1.92
132.46,1.80
133.79,1.67
135.12,1.54
136.48,1.40
137.84,1.27
139.22,1.15
140.61,1.03
142.02,0.91
143.44,0.79
144.87,0.68
146.32,0.58
147.78,0.48
149.26,0.39
150.75,0.31
152.26,0.23
153.78,0.16
155.32,0.11
156.88,0.08
158.44,0.06
160.03,0.04
161.63,0.06
163.24,0.08
