frequency,raw
20.00,-1.26
20.20,-1.27
20.40,-1.28
20.61,-1.29
20.81,-1.32
21.02,-1.34
21.23,-1.37
21.44,-1.40
21.66,-1.43
21.87,-1.46
22.09,-1.49
22.31,-1.51
22.54,-1.53
22.76,-1.55
22.99,-1.56
23.22,-1.58
23.45,-1.60
23.69,-1.62
23.92,-1.64
24.16,-1.66
24.40,-1.68
24.65,-1.69
24.89,-1.70
25.14,-1.71
25.39,-1.71
25.65,-1.70
25.91,-1.70
26.16,-1.70
26.43,-1.71
26.69,-1.72
26.96,-1.74
27.23,-1.76
27.50,-1.78
27.77,-1.80
28.05,-1.83
28.33,-1.85
28.62,-1.88
28.90,-1.91
29.19,-1.94
29.48,-1.96
29.78,-1.97
30.08,-1.98
30.38,-1.99
30.68,-2.00
30.99,-2.01
31.30,-2.02
31.61,-2.03
31.93,-2.04
32.24,-2.05
32.57,-2.06
32.89,-2.08
33.22,-2.11
33.55,-2.16
33.89,-2.23
34.23,-2.29
34.57,-2.35
34.92,-2.38
35.27,-2.38
35.62,-2.38
35.97,-2.38
36.33,-2.38
36.70,-2.39
37.06,-2.39
37.43,-2.37
37.81,-2.36
38.19,-2.34
38.57,-2.33
38.95,-2.32
39.34,-2.31
39.74,-2.27
40.14,-2.23
40.54,-2.20
40.94,-2.19
41.35,-2.19
41.76,-2.19
42.18,-2.18
42.60,-2.16
43.03,-2.14
43.46,-2.12
43.90,-2.09
44.33,-2.05
44.78,-2.02
45.23,-2.01
45.68,-2.06
46.13,-2.14
46.60,-2.21
47.06,-2.25
47.53,-2.28
48.01,-2.32
48.49,-2.38
48.97,-2.46
49.46,-2.54
49.96,-2.61
50.46,-2.63
50.96,-2.64
51.47,-2.61
51.99,-2.58
52.51,-2.53
53.03,-2.46
53.56,-2.36
54.10,-2.28
54.64,-2.22
55.18,-2.17
55.74,-2.07
56.29,-1.98
56.86,-1.90
57.42,-1.84
58.00,-1.79
58.58,-1.74
59.16,-1.69
59.76,-1.67
60.35,-1.63
60.96,-1.58
61.57,-1.53
62.18,-1.51
62.80,-1.50
63.43,-1.46
64.07,-1.42
64.71,-1.37
65.35,-1.33
66.01,-1.28
66.67,-1.24
67.33,-1.19
68.01,-1.15
68.69,-1.11
69.37,-1.07
70.07,-1.02
70.77,-0.98
71.48,-0.94
72.19,-0.90
72.91,-0.87
73.64,-0.86
74.38,-0.84
75.12,-0.82
75.87,-0.80
76.63,-0.78
77.40,-0.76
78.17,-0.73
78.95,-0.70
79.74,-0.67
80.54,-0.63
81.35,-0.59
82.16,-0.56
82.98,-0.53
83.81,-0.49
84.65,-0.46
85.50,-0.43
86.35,-0.40
87.22,-0.37
88.09,-0.34
88.97,-0.31
89.86,-0.29
90.76,-0.28
91.66,-0.26
92.58,-0.24
93.51,-0.23
94.44,-0.22
95.39,-0.21
96.34,-0.20
97.30,-0.20
98.28,-0.19
99.26,-0.19
100.25,-0.19
101.25,-0.19
102.27,-0.19
103.29,-0.19
104.32,-0.19
105.37,-0.20
106.42,-0.20
107.48,-0.20
108.56,-0.22
109.64,-0.22
110.74,-0.23
111.85,-0.24
112.97,-0.25
114.10,-0.26
115.24,-0.28
116.39,-0.30
117.55,-0.30
118.73,-0.33
119.92,-0.40
121.12,-0.42
122.33,-0.39
123.55,-0.42
124.79,-0.46
126.03,-0.48
127.29,-0.51
128.57,-0.54
129.85,-0.56
131.15,-0.58
132.46,-0.59
133.79,-0.59
135.12,-0.62
136.48,-0.65
137.84,-0.69
139.22,-0.72
140.61,-0.75
142.02,-0.77
143.44,-0.79
144.87,-0.82
146.32,-0.84
147.78,-0.86
149.26,-0.89
150.75,-0.93
152.26,-0.97
153.78,-1.01
155.32,-1.05
156.88,-1.09
158.44,-1.14
160.03,-1.19
161.63,-1.23
163.24,-1.29
164.88,-1.36
166.53,-1.41
168.19,-1.46
169.87,-1.52
171.57,-1.59
173.29,-1.64
175.02,-1.69
176.77,-1.77
178.54,-1.81
180.32,-1.84
182.13,-1.95
183.95,-2.00
