frequency,raw
20.00,5.71
20.20,5.73
20.40,5.76
20.61,5.78
20.81,5.81
21.02,5.84
21.23,5.87
21.44,5.90
21.66,5.93
21.87,5.95
22.09,5.96
22.31,5.97
22.54,5.97
22.76,5.97
22.99,5.96
23.22,5.96
23.45,5.95
23.69,5.95
23.92,5.95
24.16,5.96
24.40,5.96
24.65,5.96
24.89,5.97
25.14,5.97
25.39,5.97
25.65,5.97
25.91,5.97
26.16,5.96
26.43,5.96
26.69,5.96
26.96,5.96
27.23,5.96
27.50,5.96
27.77,5.96
28.05,5.95
28.33,5.94
28.62,5.92
28.90,5.90
29.19,5.87
29.48,5.85
29.78,5.83
30.08,5.80
30.38,5.78
30.68,5.77
30.99,5.75
31.30,5.73
31.61,5.72
31.93,5.71
32.24,5.71
32.57,5.71
32.89,5.70
33.22,5.69
33.55,5.67
33.89,5.63
34.23,5.58
34.57,5.52
34.92,5.46
35.27,5.42
35.62,5.39
35.97,5.36
36.33,5.34
36.70,5.33
37.06,5.32
37.43,5.31
37.81,5.31
38.19,5.31
38.57,5.30
38.95,5.27
39.34,5.24
39.74,5.21
40.14,5.18
40.54,5.16
40.94,5.15
41.35,5.13
41.76,5.12
42.18,5.08
42.60,5.04
43.03,4.98
43.46,4.91
43.90,4.83
44.33,4.75
44.78,4.69
45.23,4.65
45.68,4.62
46.13,4.60
46.60,4.56
47.06,4.52
47.53,4.49
48.01,4.45
48.49,4.43
48.97,4.41
49.46,4.40
49.96,4.41
50.46,4.42
50.96,4.43
51.47,4.46
51.99,4.49
52.51,4.52
53.03,4.55
53.56,4.58
54.10,4.61
54.64,4.64
55.18,4.66
55.74,4.68
56.29,4.68
56.86,4.68
57.42,4.67
58.00,4.65
58.58,4.62
59.16,4.59
59.76,4.55
60.35,4.51
60.96,4.47
61.57,4.43
62.18,4.40
62.80,4.37
63.43,4.35
64.07,4.34
64.71,4.33
65.35,4.32
66.01,4.32
66.67,4.33
67.33,4.33
68.01,4.34
68.69,4.34
69.37,4.35
70.07,4.36
70.77,4.38
71.48,4.40
72.19,4.42
72.91,4.46
73.64,4.49
74.38,4.51
75.12,4.53
75.87,4.54
76.63,4.54
77.40,4.54
78.17,4.53
78.95,4.52
79.74,4.50
80.54,4.49
81.35,4.48
82.16,4.46
82.98,4.40
83.81,4.32
84.65,4.26
85.50,4.22
86.35,4.18
87.22,4.17
88.09,4.18
88.97,4.19
89.86,4.18
90.76,4.17
91.66,4.16
92.58,4.14
93.51,4.12
94.44,4.09
95.39,4.06
96.34,4.03
97.30,4.00
98.28,3.95
99.26,3.91
100.25,3.87
101.25,3.82
102.27,3.77
103.29,3.71
104.32,3.65
105.37,3.60
106.42,3.53
107.48,3.46
108.56,3.39
109.64,3.33
110.74,3.26
