frequency,raw
20.00,-0.54
20.20,-0.54
20.40,-0.54
20.61,-0.54
20.81,-0.54
21.02,-0.55
21.23,-0.56
21.44,-0.58
21.66,-0.59
21.87,-0.61
22.09,-0.62
22.31,-0.63
22.54,-0.64
22.76,-0.64
22.99,-0.64
23.22,-0.63
23.45,-0.63
23.69,-0.64
23.92,-0.65
24.16,-0.66
24.40,-0.67
24.65,-0.68
24.89,-0.69
25.14,-0.69
25.39,-0.70
25.65,-0.70
25.91,-0.71
26.16,-0.73
26.43,-0.75
26.69,-0.77
26.96,-0.79
27.23,-0.81
27.50,-0.83
27.77,-0.84
28.05,-0.85
28.33,-0.86
28.62,-0.87
28.90,-0.89
29.19,-0.90
29.48,-0.92
29.78,-0.94
30.08,-0.96
30.38,-0.97
30.68,-0.99
30.99,-1.00
31.30,-1.01
31.61,-1.02
31.93,-1.03
32.24,-1.05
32.57,-1.06
32.89,-1.07
33.22,-1.09
33.55,-1.11
33.89,-1.13
34.23,-1.15
34.57,-1.17
34.92,-1.18
35.27,-1.19
35.62,-1.21
35.97,-1.22
36.33,-1.23
36.70,-1.24
37.06,-1.25
37.43,-1.26
37.81,-1.25
38.19,-1.25
38.57,-1.24
38.95,-1.24
39.34,-1.23
39.74,-1.22
40.14,-1.21
40.54,-1.20
40.94,-1.20
41.35,-1.20
41.76,-1.19
42.18,-1.18
42.60,-1.17
43.03,-1.16
43.46,-1.20
43.90,-1.23
44.33,-1.27
44.78,-1.27
45.23,-1.27
45.68,-1.27
46.13,-1.29
46.60,-1.33
47.06,-1.36
47.53,-1.37
48.01,-1.37
48.49,-1.38
48.97,-1.38
49.46,-1.37
49.96,-1.34
50.46,-1.32
50.96,-1.30
51.47,-1.29
51.99,-1.28
52.51,-1.26
53.03,-1.24
53.56,-1.23
54.10,-1.21
54.64,-1.19
55.18,-1.17
55.74,-1.17
56.29,-1.17
56.86,-1.17
57.42,-1.17
58.00,-1.17
58.58,-1.16
59.16,-1.15
59.76,-1.14
60.35,-1.13
60.96,-1.12
61.57,-1.09
62.18,-1.06
62.80,-1.05
63.43,-1.02
64.07,-1.00
64.71,-0.95
65.35,-0.92
66.01,-0.88
66.67,-0.87
67.33,-0.84
68.01,-0.81
68.69,-0.77
69.37,-0.73
70.07,-0.70
70.77,-0.67
71.48,-0.64
72.19,-0.61
72.91,-0.58
73.64,-0.55
74.38,-0.52
75.12,-0.50
75.87,-0.46
76.63,-0.43
77.40,-0.40
78.17,-0.36
78.95,-0.32
79.74,-0.29
80.54,-0.26
81.35,-0.23
82.16,-0.21
82.98,-0.18
83.81,-0.15
84.65,-0.12
85.50,-0.10
86.35,-0.07
87.22,-0.05
88.09,-0.03
88.97,-0.02
89.86,-0.01
90.76,0.01
91.66,0.03
92.58,0.05
93.51,0.06
94.44,0.07
95.39,0.08
96.34,0.09
97.30,0.09
98.28,0.10
99.26,0.10
100.25,0.10
101.25,0.11
102.27,0.11
103.29,0.10
104.32,0.10
105.37,0.09
106.42,0.08
107.48,0.07
108.56,0.07
109.64,0.07
110.74,0.07
111.85,0.07
112.97,0.06
114.10,0.05
115.24,0.04
116.39,0.03
117.55,0.02
118.73,0.01
119.92,-0.01
121.12,-0.03
122.33,-0.06
123.55,-0.07
124.79,-0.09
126.03,-0.11
127.29,-0.14
128.57,-0.16
129.85,-0.18
131.15,-0.21
132.46,-0.24
133.79,-0.27
135.12,-0.30
136.48,-0.32
137.84,-0.32
139.22,-0.35
140.61,-0.38
142.02,-0.42
143.44,-0.45
144.87,-0.49
146.32,-0.52
147.78,-0.55
149.26,-0.59
150.75,-0.62
152.26,-0.64
153.78,-0.67
155.32,-0.69
156.88,-0.72
