frequency,raw
20.00,6.54
20.20,6.55
20.40,6.55
20.61,6.56
20.81,6.56
21.02,6.58
21.23,6.60
21.44,6.63
21.66,6.66
21.87,6.70
22.09,6.73
22.31,6.75
22.54,6.76
22.76,6.76
22.99,6.74
23.22,6.72
23.45,6.70
23.69,6.69
23.92,6.69
24.16,6.71
24.40,6.73
24.65,6.76
24.89,6.78
25.14,6.80
25.39,6.81
25.65,6.80
25.91,6.80
26.16,6.79
26.43,6.79
26.69,6.79
26.96,6.79
27.23,6.79
27.50,6.78
27.77,6.76
28.05,6.74
28.33,6.72
28.62,6.69
28.90,6.67
29.19,6.66
29.48,6.64
29.78,6.62
30.08,6.60
30.38,6.57
30.68,6.54
30.99,6.52
31.30,6.51
31.61,6.50
31.93,6.49
32.24,6.48
32.57,6.47
32.89,6.45
33.22,6.43
33.55,6.40
33.89,6.36
34.23,6.32
34.57,6.28
34.92,6.24
35.27,6.19
35.62,6.15
35.97,6.12
36.33,6.09
36.70,6.07
37.06,6.05
37.43,6.06
37.81,6.06
38.19,6.07
38.57,6.05
38.95,6.01
39.34,5.95
39.74,5.89
40.14,5.85
40.54,5.83
40.94,5.83
41.35,5.83
41.76,5.81
42.18,5.79
42.60,5.75
43.03,5.71
43.46,5.63
43.90,5.53
44.33,5.41
44.78,5.33
45.23,5.30
45.68,5.30
46.13,5.29
46.60,5.24
47.06,5.18
47.53,5.12
48.01,5.09
48.49,5.06
48.97,5.02
49.46,4.98
49.96,4.96
50.46,4.96
50.96,4.97
51.47,4.98
51.99,5.00
52.51,5.03
53.03,5.05
53.56,5.06
54.10,5.08
54.64,5.10
55.18,5.13
55.74,5.14
56.29,5.13
56.86,5.13
57.42,5.10
58.00,5.07
58.58,5.03
59.16,5.01
59.76,4.98
60.35,4.94
60.96,4.88
61.57,4.82
62.18,4.76
62.80,4.72
63.43,4.70
64.07,4.69
64.71,4.69
65.35,4.68
66.01,4.66
66.67,4.66
67.33,4.67
68.01,4.69
68.69,4.70
69.37,4.72
70.07,4.73
70.77,4.75
71.48,4.77
72.19,4.79
72.91,4.81
73.64,4.84
74.38,4.87
75.12,4.90
75.87,4.93
76.63,4.96
77.40,4.99
78.17,5.01
78.95,5.03
79.74,5.04
80.54,5.06
81.35,5.07
82.16,5.07
82.98,5.07
83.81,5.07
84.65,5.05
85.50,5.04
86.35,5.02
87.22,4.99
88.09,4.97
88.97,4.94
89.86,4.90
90.76,4.86
91.66,4.83
92.58,4.80
93.51,4.78
94.44,4.74
95.39,4.68
96.34,4.62
97.30,4.56
98.28,4.54
99.26,4.52
100.25,4.50
101.25,4.48
102.27,4.43
103.29,4.38
104.32,4.32
105.37,4.26
106.42,4.20
107.48,4.12
108.56,4.05
109.64,3.97
110.74,3.89
111.85,3.80
112.97,3.71
114.10,3.62
115.24,3.53
116.39,3.44
117.55,3.33
118.73,3.23
119.92,3.14
121.12,3.03
122.33,2.88
123.55,2.75
124.79,2.62
126.03,2.48
127.29,2.35
128.57,2.24
129.85,2.13
131.15,2.01
132.46,1.89
133.79,1.76
135.12,1.63
136.48,1.50
137.84,1.37
139.22,1.25
140.61,1.13
142.02,1.01
143.44,0.88
144.87,0.76
146.32,0.65
147.78,0.54
149.26,0.44
150.75,0.33
152.26,0.24
153.78,0.16
155.32,0.10
156.88,0.07
158.44,0.07
160.03,0.10
161.63,0.16
163.24,0.24
164.88,0.34
166.53,0.44
168.19,0.54
169.87,0.66
171.57,0.77
173.29,0.88
175.02,1.00
176.77,1.11
178.54,1.22
180.32,1.33
182.13,1.46
183.95,1.59
185.79,1.72
187.65,1.84
189.52,1.97
191.42,2.11
193.33,2.24
195.27,2.37
197.22,2.51
199.19,2.64
201.18,2.77
203.19,2.90
205.23,3.01
207.28,3.11
209.35,3.21
211.44,3.31
213.56,3.40
215.69,3.48
217.85,3.57
220.03,3.66
222.23,3.74
224.45,3.82
226.70,3.90
228.96,3.97
231.25,4.04
233.57,4.11
235.90,4.17
238.26,4.24
240.64,4.30
243.05,4.33
245.48,4.39
247.93,4.44
250.41,4.48
252.92,4.52
255.45,4.56
258.00,4.59
260.58,4.61
263.19,4.63
265.82,4.64
268.48,4.64
271.16,4.65
273.87,4.64
276.61,4.63
279.38,4.62
282.17,4.59
284.99,4.57
287.84,4.56
290.72,4.54
293.63,4.53
296.57,4.52
299.53,4.52
302.53,4.50
305.55,4.49
308.61,4.47
311.69,4.45
314.81,4.42
317.96,4.38
321.14,4.33
324.35,4.28
327.59,4.23
330.87,4.18
334.18,4.12
337.52,4.04
340.90,3.96
344.30,3.87
347.75,3.79
351.23,3.73
354.74,3.71
358.28,3.75
361.87,3.79
365.49,3.82
369.14,3.81
372.83,3.78
376.56,3.73
380.33,3.68
384.13,3.62
387.97,3.56
391.85,3.49
395.77,3.42
399.73,3.35
403.72,3.27
407.76,3.19
411.84,3.11
415.96,3.03
420.12,2.95
424.32,2.87
428.56,2.79
432.85,2.71
437.18,2.64
441.55,2.58
445.96,2.52
450.42,2.47
454.93,2.42
459.48,2.37
464.07,2.30
468.71,2.23
473.40,2.17
478.13,2.11
482.91,2.06
487.74,2.00
492.62,1.95
497.55,1.91
502.52,1.88
507.55,1.87
512.62,1.86
517.75,1.85
522.93,1.83
528.16,1.81
533.44,1.77
538.77,1.74
544.16,1.68
549.60,1.64
555.10,1.59
560.65,1.55
566.25,1.51
571.92,1.47
577.64,1.45
583.41,1.42
589.25,1.40
595.14,1.38
601.09,1.37
607.10,1.36
613.17,1.35
619.30,1.35
625.50,1.36
631.75,1.36
638.07,1.36
644.45,1.36
650.89,1.35
657.40,1.34
663.98,1.32
670.62,1.30
677.32,1.29
684.10,1.29
690.94,1.29
697.85,1.29
704.83,1.28
711.87,1.27
718.99,1.26
726.18,1.25
733.44,1.23
740.78,1.21
748.19,1.23
755.67,1.24
763.23,1.25
