frequency,raw
20.00,-0.57
20.20,-0.59
20.40,-0.60
20.61,-0.61
20.81,-0.65
21.02,-0.68
21.23,-0.72
21.44,-0.75
21.66,-0.77
21.87,-0.78
22.09,-0.78
22.31,-0.76
22.54,-0.75
22.76,-0.74
22.99,-0.73
23.22,-0.75
23.45,-0.78
23.69,-0.82
23.92,-0.87
24.16,-0.91
24.40,-0.94
24.65,-0.96
24.89,-0.97
25.14,-0.96
25.39,-0.95
25.65,-0.94
25.91,-0.94
26.16,-0.94
26.43,-0.95
26.69,-0.97
26.96,-1.00
27.23,-1.03
27.50,-1.06
27.77,-1.10
28.05,-1.15
28.33,-1.21
28.62,-1.26
28.90,-1.31
29.19,-1.34
29.48,-1.37
29.78,-1.40
30.08,-1.42
30.38,-1.45
30.68,-1.49
30.99,-1.52
31.30,-1.54
31.61,-1.55
31.93,-1.55
32.24,-1.56
32.57,-1.57
32.89,-1.61
33.22,-1.65
33.55,-1.71
33.89,-1.78
34.23,-1.84
34.57,-1.88
34.92,-1.91
35.27,-1.92
35.62,-1.93
35.97,-1.93
36.33,-1.92
36.70,-1.91
37.06,-1.88
37.43,-1.82
37.81,-1.76
38.19,-1.69
38.57,-1.65
38.95,-1.62
39.34,-1.60
39.74,-1.56
40.14,-1.50
40.54,-1.43
40.94,-1.40
41.35,-1.37
41.76,-1.37
42.18,-1.38
42.60,-1.38
43.03,-1.39
43.46,-1.39
43.90,-1.36
44.33,-1.31
44.78,-1.23
45.23,-1.20
45.68,-1.26
46.13,-1.39
46.60,-1.53
47.06,-1.62
47.53,-1.67
48.01,-1.67
48.49,-1.70
48.97,-1.75
49.46,-1.81
49.96,-1.86
50.46,-1.89
50.96,-1.92
51.47,-1.95
51.99,-1.95
52.51,-1.94
53.03,-1.93
53.56,-1.90
54.10,-1.86
54.64,-1.80
55.18,-1.75
55.74,-1.72
56.29,-1.67
56.86,-1.61
57.42,-1.53
58.00,-1.45
58.58,-1.34
59.16,-1.26
59.76,-1.21
60.35,-1.23
60.96,-1.26
61.57,-1.24
62.18,-1.14
62.80,-1.05
63.43,-1.00
64.07,-0.96
64.71,-0.90
65.35,-0.84
66.01,-0.78
66.67,-0.72
67.33,-0.67
68.01,-0.62
68.69,-0.57
69.37,-0.52
70.07,-0.48
70.77,-0.43
71.48,-0.40
72.19,-0.38
72.91,-0.35
73.64,-0.32
74.38,-0.30
75.12,-0.28
75.87,-0.27
76.63,-0.25
77.40,-0.23
78.17,-0.21
78.95,-0.19
79.74,-0.16
80.54,-0.15
81.35,-0.14
82.16,-0.11
82.98,-0.08
83.81,-0.05
84.65,-0.02
85.50,-0.00
86.35,0.02
87.22,0.03
88.09,0.04
88.97,0.05
89.86,0.07
90.76,0.08
91.66,0.10
92.58,0.11
93.51,0.10
94.44,0.11
95.39,0.11
96.34,0.11
97.30,0.13
98.28,0.14
99.26,0.16
100.25,0.17
101.25,0.14
102.27,0.12
103.29,0.12
104.32,0.11
105.37,0.11
106.42,0.11
107.48,0.10
108.56,0.10
109.64,0.09
110.74,0.08
111.85,0.07
112.97,0.06
114.10,0.04
115.24,0.03
116.39,0.02
117.55,0.00
118.73,-0.02
119.92,-0.03
121.12,-0.06
122.33,-0.08
123.55,-0.11
124.79,-0.14
126.03,-0.18
127.29,-0.21
128.57,-0.24
129.85,-0.28
131.15,-0.31
132.46,-0.34
133.79,-0.36
135.12,-0.39
136.48,-0.42
137.84,-0.48
139.22,-0.50
140.61,-0.52
142.02,-0.55
143.44,-0.59
144.87,-0.66
146.32,-0.72
