frequency,raw
20.00,7.53
20.20,7.52
20.40,7.51
20.61,7.49
20.81,7.47
21.02,7.45
21.23,7.43
21.44,7.41
21.66,7.40
21.87,7.39
22.09,7.39
22.31,7.39
22.54,7.40
22.76,7.42
22.99,7.43
23.22,7.44
23.45,7.45
23.69,7.45
23.92,7.43
24.16,7.41
24.40,7.39
24.65,7.36
24.89,7.33
25.14,7.31
25.39,7.29
25.65,7.27
25.91,7.26
26.16,7.26
26.43,7.24
26.69,7.23
26.96,7.21
27.23,7.19
27.50,7.18
27.77,7.17
28.05,7.15
28.33,7.13
28.62,7.11
28.90,7.07
29.19,7.02
29.48,6.97
29.78,6.92
30.08,6.87
30.38,6.85
30.68,6.85
30.99,6.87
31.30,6.90
31.61,6.93
31.93,6.96
32.24,6.97
32.57,6.96
32.89,6.94
33.22,6.89
33.55,6.83
33.89,6.75
34.23,6.68
34.57,6.61
34.92,6.55
35.27,6.52
35.62,6.52
35.97,6.54
36.33,6.60
36.70,6.67
37.06,6.74
37.43,6.80
37.81,6.84
38.19,6.87
38.57,6.90
38.95,6.92
39.34,6.94
39.74,6.94
40.14,6.90
40.54,6.83
40.94,6.73
41.35,6.64
41.76,6.56
42.18,6.51
42.60,6.46
43.03,6.41
43.46,6.37
43.90,6.34
44.33,6.34
44.78,6.34
45.23,6.33
45.68,6.29
46.13,6.23
46.60,6.20
47.06,6.18
47.53,6.18
48.01,6.17
48.49,6.16
48.97,6.15
49.46,6.14
49.96,6.13
50.46,6.12
50.96,6.11
51.47,6.11
51.99,6.11
52.51,6.11
53.03,6.11
53.56,6.12
54.10,6.12
54.64,6.12
55.18,6.12
55.74,6.13
56.29,6.15
56.86,6.16
57.42,6.17
58.00,6.18
58.58,6.17
59.16,6.16
59.76,6.13
60.35,6.14
60.96,6.17
61.57,6.20
62.18,6.22
62.80,6.26
63.43,6.30
64.07,6.34
64.71,6.37
65.35,6.41
66.01,6.46
66.67,6.50
67.33,6.55
68.01,6.59
68.69,6.63
69.37,6.68
70.07,6.73
70.77,6.79
71.48,6.84
72.19,6.88
72.91,6.91
73.64,6.95
74.38,6.99
75.12,7.03
75.87,7.05
76.63,7.07
77.40,7.09
78.17,7.11
78.95,7.12
79.74,7.13
80.54,7.14
81.35,7.14
82.16,7.14
82.98,7.14
83.81,7.14
84.65,7.13
85.50,7.12
86.35,7.10
87.22,7.09
88.09,7.07
88.97,7.05
