frequency,raw
20.00,-0.47
20.20,-0.48
20.40,-0.49
20.61,-0.49
20.81,-0.50
21.02,-0.52
21.23,-0.53
21.44,-0.54
21.66,-0.55
21.87,-0.56
22.09,-0.57
22.31,-0.58
22.54,-0.58
22.76,-0.58
22.99,-0.58
23.22,-0.58
23.45,-0.58
23.69,-0.59
23.92,-0.59
24.16,-0.60
24.40,-0.60
24.65,-0.61
24.89,-0.62
25.14,-0.62
25.39,-0.63
25.65,-0.63
25.91,-0.64
26.16,-0.65
26.43,-0.67
26.69,-0.68
26.96,-0.70
27.23,-0.72
27.50,-0.72
27.77,-0.73
28.05,-0.73
28.33,-0.74
28.62,-0.76
28.90,-0.78
29.19,-0.81
29.48,-0.84
29.78,-0.86
30.08,-0.87
30.38,-0.87
30.68,-0.87
30.99,-0.87
31.30,-0.88
31.61,-0.89
31.93,-0.89
32.24,-0.88
32.57,-0.87
32.89,-0.86
33.22,-0.87
33.55,-0.89
33.89,-0.93
34.23,-0.97
34.57,-1.00
34.92,-1.00
35.27,-0.99
35.62,-0.98
35.97,-0.98
36.33,-0.97
36.70,-0.96
37.06,-0.94
37.43,-0.88
37.81,-0.83
38.19,-0.77
38.57,-0.75
38.95,-0.75
39.34,-0.76
39.74,-0.78
40.14,-0.80
40.54,-0.82
40.94,-0.83
41.35,-0.85
41.76,-0.88
42.18,-0.91
42.60,-0.94
43.03,-0.96
43.46,-0.96
43.90,-0.95
44.33,-0.93
44.78,-0.96
45.23,-1.01
45.68,-1.07
46.13,-1.12
46.60,-1.13
47.06,-1.13
47.53,-1.14
48.01,-1.17
48.49,-1.19
48.97,-1.19
49.46,-1.18
49.96,-1.17
50.46,-1.18
50.96,-1.18
51.47,-1.16
51.99,-1.15
52.51,-1.13
53.03,-1.11
53.56,-1.06
54.10,-1.02
54.64,-1.00
55.18,-0.99
55.74,-0.96
56.29,-0.93
56.86,-0.88
57.42,-0.84
58.00,-0.80
58.58,-0.77
59.16,-0.73
59.76,-0.71
60.35,-0.69
60.96,-0.67
61.57,-0.67
62.18,-0.67
62.80,-0.64
63.43,-0.61
64.07,-0.57
64.71,-0.55
65.35,-0.53
66.01,-0.50
66.67,-0.46
67.33,-0.43
68.01,-0.41
68.69,-0.38
69.37,-0.36
70.07,-0.34
70.77,-0.33
71.48,-0.29
72.19,-0.26
72.91,-0.25
73.64,-0.22
74.38,-0.19
75.12,-0.17
75.87,-0.15
76.63,-0.13
77.40,-0.10
78.17,-0.08
78.95,-0.06
79.74,-0.04
80.54,-0.03
81.35,-0.01
82.16,0.01
82.98,0.03
83.81,0.05
84.65,0.07
85.50,0.07
86.35,0.08
87.22,0.10
88.09,0.14
88.97,0.16
89.86,0.16
90.76,0.19
91.66,0.20
92.58,0.19
93.51,0.21
94.44,0.21
95.39,0.22
96.34,0.22
97.30,0.24
98.28,0.25
99.26,0.25
100.25,0.25
101.25,0.26
102.27,0.26
103.29,0.25
104.32,0.25
105.37,0.25
106.42,0.25
107.48,0.26
108.56,0.23
109.64,0.23
110.74,0.23
111.85,0.23
112.97,0.21
114.10,0.20
115.24,0.19
116.39,0.18
117.55,0.16
118.73,0.14
119.92,0.12
121.12,0.12
122.33,0.13
123.55,0.12
124.79,0.12
126.03,0.12
127.29,0.12
128.57,0.12
129.85,0.11
131.15,0.10
132.46,0.08
133.79,0.06
135.12,0.04
136.48,0.03
137.84,0.02
139.22,0.00
140.61,-0.02
142.02,-0.05
143.44,-0.08
144.87,-0.13
146.32,-0.16
147.78,-0.19
149.26,-0.24
150.75,-0.27
152.26,-0.29
153.78,-0.29
155.32,-0.28
156.88,-0.29
158.44,-0.30
160.03,-0.30
161.63,-0.32
163.24,-0.35
164.88,-0.37
166.53,-0.40
168.19,-0.42
169.87,-0.45
171.57,-0.48
173.29,-0.51
175.02,-0.53
176.77,-0.57
178.54,-0.61
180.32,-0.65
182.13,-0.68
183.95,-0.72
185.79,-0.76
187.65,-0.79
189.52,-0.83
191.42,-0.87
193.33,-0.92
195.27,-0.98
197.22,-1.02
199.19,-1.09
201.18,-1.15
203.19,-1.22
205.23,-1.29
207.28,-1.36
209.35,-1.43
211.44,-1.50
213.56,-1.58
215.69,-1.65
217.85,-1.71
220.03,-1.75
222.23,-1.80
224.45,-1.85
226.70,-1.91
228.96,-1.95
231.25,-2.01
233.57,-2.08
235.90,-2.15
238.26,-2.20
240.64,-2.26
243.05,-2.37
245.48,-2.45
247.93,-2.54
250.41,-2.64
252.92,-2.71
255.45,-2.78
258.00,-2.86
260.58,-2.93
263.19,-2.99
265.82,-3.06
268.48,-3.14
271.16,-3.21
273.87,-3.27
276.61,-3.34
279.38,-3.40
282.17,-3.46
284.99,-3.52
287.84,-3.58
290.72,-3.64
293.63,-3.72
296.57,-3.79
299.53,-3.85
302.53,-3.92
305.55,-3.99
308.61,-4.05
311.69,-4.12
314.81,-4.21
317.96,-4.28
321.14,-4.34
