frequency,raw
20.00,4.77
20.20,4.78
20.40,4.79
20.61,4.80
20.81,4.81
21.02,4.81
21.23,4.82
21.44,4.82
21.66,4.82
21.87,4.82
22.09,4.83
22.31,4.84
22.54,4.85
22.76,4.87
22.99,4.89
23.22,4.91
23.45,4.93
23.69,4.94
23.92,4.94
24.16,4.93
24.40,4.92
24.65,4.89
24.89,4.86
25.14,4.83
25.39,4.80
25.65,4.79
25.91,4.78
26.16,4.78
26.43,4.79
26.69,4.80
26.96,4.81
27.23,4.81
27.50,4.80
27.77,4.79
28.05,4.77
28.33,4.74
28.62,4.72
28.90,4.69
29.19,4.66
29.48,4.62
29.78,4.57
30.08,4.52
30.38,4.48
30.68,4.44
30.99,4.42
31.30,4.43
31.61,4.45
31.93,4.48
32.24,4.51
32.57,4.52
32.89,4.52
33.22,4.49
33.55,4.45
33.89,4.38
34.23,4.31
34.57,4.22
34.92,4.14
35.27,4.06
35.62,4.01
35.97,3.98
36.33,3.98
36.70,4.00
37.06,4.03
37.43,4.07
37.81,4.11
38.19,4.16
38.57,4.19
38.95,4.20
39.34,4.21
39.74,4.21
40.14,4.20
40.54,4.18
40.94,4.14
41.35,4.10
41.76,4.03
42.18,3.98
42.60,3.92
43.03,3.88
43.46,3.82
43.90,3.75
44.33,3.67
44.78,3.63
45.23,3.60
45.68,3.57
46.13,3.52
46.60,3.47
47.06,3.43
47.53,3.42
48.01,3.43
48.49,3.42
48.97,3.40
49.46,3.39
49.96,3.41
50.46,3.42
50.96,3.43
51.47,3.43
51.99,3.42
52.51,3.40
53.03,3.38
53.56,3.33
54.10,3.28
54.64,3.23
55.18,3.17
55.74,3.13
56.29,3.09
56.86,3.04
57.42,2.98
58.00,2.91
58.58,2.87
59.16,2.82
59.76,2.75
60.35,2.71
60.96,2.71
61.57,2.73
62.18,2.74
62.80,2.71
63.43,2.71
64.07,2.72
64.71,2.74
65.35,2.77
66.01,2.81
66.67,2.83
67.33,2.85
68.01,2.88
68.69,2.92
69.37,2.95
70.07,2.98
70.77,3.02
71.48,3.06
72.19,3.10
72.91,3.14
73.64,3.18
74.38,3.21
75.12,3.25
75.87,3.27
76.63,3.28
77.40,3.29
78.17,3.31
78.95,3.32
79.74,3.32
80.54,3.31
81.35,3.29
82.16,3.28
82.98,3.26
83.81,3.24
84.65,3.21
85.50,3.17
86.35,3.14
87.22,3.10
88.09,3.06
88.97,3.04
89.86,3.01
90.76,2.97
91.66,2.93
92.58,2.89
93.51,2.85
94.44,2.81
95.39,2.76
96.34,2.71
97.30,2.66
98.28,2.60
99.26,2.54
100.25,2.48
101.25,2.42
102.27,2.36
103.29,2.29
104.32,2.21
105.37,2.12
106.42,2.03
107.48,1.94
108.56,1.86
109.64,1.78
110.74,1.71
111.85,1.64
112.97,1.57
114.10,1.49
115.24,1.41
116.39,1.33
117.55,1.25
118.73,1.17
119.92,1.09
121.12,0.98
122.33,0.86
123.55,0.77
124.79,0.66
126.03,0.56
127.29,0.45
128.57,0.34
129.85,0.22
131.15,0.11
132.46,-0.01
133.79,-0.13
135.12,-0.24
136.48,-0.35
137.84,-0.48
139.22,-0.60
140.61,-0.72
142.02,-0.84
143.44,-0.97
144.87,-1.08
146.32,-1.21
147.78,-1.34
149.26,-1.46
150.75,-1.58
152.26,-1.70
153.78,-1.79
155.32,-1.87
156.88,-1.92
158.44,-1.94
160.03,-1.94
161.63,-1.89
163.24,-1.83
164.88,-1.74
166.53,-1.66
168.19,-1.57
169.87,-1.47
171.57,-1.38
173.29,-1.29
175.02,-1.19
176.77,-1.10
178.54,-0.98
180.32,-0.86
182.13,-0.80
183.95,-0.72
185.79,-0.63
187.65,-0.53
189.52,-0.44
191.42,-0.34
193.33,-0.24
195.27,-0.14
197.22,-0.04
199.19,0.07
201.18,0.17
203.19,0.28
205.23,0.38
207.28,0.47
209.35,0.56
211.44,0.65
213.56,0.73
215.69,0.82
217.85,0.90
220.03,0.98
222.23,1.07
224.45,1.15
226.70,1.22
228.96,1.29
231.25,1.36
233.57,1.42
