frequency,raw
20.00,-0.18
20.20,-0.19
20.40,-0.19
20.61,-0.19
20.81,-0.19
21.02,-0.20
21.23,-0.20
21.44,-0.21
21.66,-0.22
21.87,-0.22
22.09,-0.23
22.31,-0.24
22.54,-0.25
22.76,-0.25
22.99,-0.26
23.22,-0.27
23.45,-0.27
23.69,-0.27
23.92,-0.28
24.16,-0.28
24.40,-0.29
24.65,-0.30
24.89,-0.32
25.14,-0.33
25.39,-0.34
25.65,-0.35
25.91,-0.36
26.16,-0.36
26.43,-0.36
26.69,-0.36
26.96,-0.37
27.23,-0.38
27.50,-0.39
27.77,-0.41
28.05,-0.43
28.33,-0.44
28.62,-0.45
28.90,-0.46
29.19,-0.48
29.48,-0.50
29.78,-0.53
30.08,-0.56
30.38,-0.59
30.68,-0.61
30.99,-0.61
31.30,-0.61
31.61,-0.61
31.93,-0.60
32.24,-0.62
32.57,-0.64
32.89,-0.68
33.22,-0.73
33.55,-0.78
33.89,-0.83
34.23,-0.86
34.57,-0.89
34.92,-0.91
35.27,-0.91
35.62,-0.91
35.97,-0.90
36.33,-0.90
36.70,-0.90
37.06,-0.89
37.43,-0.88
37.81,-0.87
38.19,-0.85
38.57,-0.83
38.95,-0.82
39.34,-0.80
39.74,-0.78
40.14,-0.75
40.54,-0.71
40.94,-0.67
41.35,-0.65
41.76,-0.64
42.18,-0.64
42.60,-0.65
43.03,-0.63
43.46,-0.58
43.90,-0.54
44.33,-0.51
44.78,-0.53
45.23,-0.57
45.68,-0.60
46.13,-0.62
46.60,-0.61
47.06,-0.61
47.53,-0.63
48.01,-0.65
48.49,-0.67
48.97,-0.70
49.46,-0.72
49.96,-0.77
50.46,-0.82
50.96,-0.87
51.47,-0.90
51.99,-0.94
52.51,-0.97
53.03,-1.01
53.56,-1.04
54.10,-1.07
54.64,-1.09
55.18,-1.09
55.74,-1.08
56.29,-1.07
56.86,-1.06
57.42,-1.06
58.00,-1.06
58.58,-1.05
59.16,-1.03
59.76,-1.00
60.35,-0.96
60.96,-0.91
61.57,-0.89
62.18,-0.89
62.80,-0.89
63.43,-0.87
64.07,-0.83
64.71,-0.79
65.35,-0.75
66.01,-0.73
66.67,-0.71
67.33,-0.68
68.01,-0.64
68.69,-0.60
69.37,-0.56
70.07,-0.52
70.77,-0.49
71.48,-0.47
72.19,-0.44
72.91,-0.42
73.64,-0.41
