frequency,raw
20.00,-13.98
20.20,-13.94
20.40,-13.89
20.61,-13.84
20.81,-13.65
21.02,-13.44
21.23,-13.20
21.44,-12.93
21.66,-12.64
21.87,-12.34
22.09,-12.10
22.31,-11.90
22.54,-11.80
22.76,-11.79
22.99,-11.86
23.22,-11.96
23.45,-12.07
23.69,-12.16
23.92,-12.23
24.16,-12.20
24.40,-12.03
24.65,-11.72
24.89,-11.34
25.14,-10.98
25.39,-10.64
25.65,-10.42
25.91,-10.25
26.16,-10.16
26.43,-10.15
26.69,-10.18
26.96,-10.21
27.23,-10.19
27.50,-9.99
27.77,-9.68
28.05,-9.34
28.33,-9.18
28.62,-9.10
28.90,-9.15
29.19,-9.09
29.48,-8.98
29.78,-8.82
30.08,-8.62
30.38,-8.36
30.68,-8.02
30.99,-7.70
31.30,-7.47
31.61,-7.32
31.93,-7.21
32.24,-7.12
32.57,-7.02
32.89,-6.92
33.22,-6.83
33.55,-6.72
33.89,-6.58
34.23,-6.39
34.57,-6.19
34.92,-6.01
35.27,-5.89
35.62,-5.80
35.97,-5.76
36.33,-5.66
36.70,-5.51
37.06,-5.31
37.43,-5.07
37.81,-4.90
38.19,-4.74
38.57,-4.65
38.95,-4.53
39.34,-4.40
39.74,-4.24
40.14,-4.06
40.54,-3.89
40.94,-3.72
41.35,-3.55
41.76,-3.38
42.18,-3.22
42.60,-3.07
43.03,-2.93
43.46,-2.78
43.90,-2.60
44.33,-2.39
44.78,-2.20
45.23,-2.05
45.68,-1.93
46.13,-1.81
46.60,-1.64
47.06,-1.47
47.53,-1.30
48.01,-1.17
48.49,-1.04
48.97,-0.89
49.46,-0.72
49.96,-0.54
50.46,-0.38
50.96,-0.22
51.47,-0.07
51.99,0.07
52.51,0.20
53.03,0.34
53.56,0.52
54.10,0.72
54.64,0.94
55.18,1.14
55.74,1.28
56.29,1.42
56.86,1.58
57.42,1.74
58.00,1.91
58.58,2.07
59.16,2.25
59.76,2.47
60.35,2.61
60.96,2.70
61.57,2.78
62.18,2.98
62.80,3.18
63.43,3.32
64.07,3.43
64.71,3.59
65.35,3.75
66.01,3.89
66.67,4.04
67.33,4.19
68.01,4.34
68.69,4.48
69.37,4.61
70.07,4.75
70.77,4.90
71.48,5.03
72.19,5.15
72.91,5.27
73.64,5.41
74.38,5.55
75.12,5.67
75.87,5.80
76.63,5.92
77.40,6.04
78.17,6.16
78.95,6.27
79.74,6.38
80.54,6.49
81.35,6.61
82.16,6.71
82.98,6.83
83.81,6.98
84.65,7.08
85.50,7.16
86.35,7.24
87.22,7.38
88.09,7.48
88.97,7.59
89.86,7.71
90.76,7.81
91.66,7.90
92.58,7.97
93.51,8.07
94.44,8.16
95.39,8.24
96.34,8.31
97.30,8.34
98.28,8.42
99.26,8.48
100.25,8.52
101.25,8.55
102.27,8.59
103.29,8.63
104.32,8.66
105.37,8.70
106.42,8.74
107.48,8.76
108.56,8.78
109.64,8.80
110.74,8.82
111.85,8.83
112.97,8.84
114.10,8.85
115.24,8.86
116.39,8.86
117.55,8.87
118.73,8.88
119.92,8.90
121.12,8.90
122.33,8.87
123.55,8.87
124.79,8.87
126.03,8.86
127.29,8.83
128.57,8.81
129.85,8.77
131.15,8.74
132.46,8.70
133.79,8.65
135.12,8.60
136.48,8.54
137.84,8.47
139.22,8.41
140.61,8.33
142.02,8.24
143.44,8.15
144.87,8.06
146.32,7.97
147.78,7.88
149.26,7.79
150.75,7.71
152.26,7.62
153.78,7.54
155.32,7.46
156.88,7.37
158.44,7.29
160.03,7.21
161.63,7.13
163.24,7.04
164.88,6.92
166.53,6.85
168.19,6.76
169.87,6.65
171.57,6.57
173.29,6.48
175.02,6.39
176.77,6.30
178.54,6.21
180.32,6.12
182.13,6.06
183.95,5.97
185.79,5.88
187.65,5.79
189.52,5.71
191.42,5.63
193.33,5.54
195.27,5.45
197.22,5.37
199.19,5.31
201.18,5.22
203.19,5.12
205.23,5.05
207.28,4.99
209.35,4.92
211.44,4.85
213.56,4.78
215.69,4.72
217.85,4.65
220.03,4.59
222.23,4.52
224.45,4.44
226.70,4.36
228.96,4.29
231.25,4.23
233.57,4.18
235.90,4.13
238.26,4.12
240.64,4.09
243.05,3.96
245.48,3.89
247.93,3.82
250.41,3.77
252.92,3.72
255.45,3.67
258.00,3.62
260.58,3.59
263.19,3.55
265.82,3.50
268.48,3.46
271.16,3.42
273.87,3.38
276.61,3.33
279.38,3.29
282.17,3.26
284.99,3.24
287.84,3.20
290.72,3.17
293.63,3.14
296.57,3.11
299.53,3.09
302.53,3.08
305.55,3.06
308.61,3.07
311.69,3.09
314.81,3.11
317.96,3.18
321.14,3.24
324.35,3.32
327.59,3.43
330.87,3.53
334.18,3.60
337.52,3.58
340.90,3.48
344.30,3.28
347.75,2.99
351.23,2.70
354.74,2.44
358.28,2.24
361.87,2.09
365.49,1.99
369.14,1.88
372.83,1.79
376.56,1.73
380.33,1.69
384.13,1.64
387.97,1.59
391.85,1.57
395.77,1.54
399.73,1.52
403.72,1.49
407.76,1.47
411.84,1.44
415.96,1.43
420.12,1.38
424.32,1.29
428.56,1.26
432.85,1.27
437.18,1.30
441.55,1.28
445.96,1.27
450.42,1.27
454.93,1.26
459.48,1.25
464.07,1.25
468.71,1.27
473.40,1.29
478.13,1.31
482.91,1.32
487.74,1.36
492.62,1.42
497.55,1.50
502.52,1.56
507.55,1.61
512.62,1.66
517.75,1.72
522.93,1.80
528.16,1.86
533.44,1.89
538.77,1.91
544.16,1.93
549.60,1.95
555.10,1.94
560.65,1.91
566.25,1.92
571.92,1.91
577.64,1.90
583.41,1.88
589.25,1.84
595.14,1.83
601.09,1.81
607.10,1.78
613.17,1.75
619.30,1.73
625.50,1.70
631.75,1.66
638.07,1.62
644.45,1.58
650.89,1.54
657.40,1.55
663.98,1.53
670.62,1.51
677.32,1.47
684.10,1.44
690.94,1.42
697.85,1.41
704.83,1.39
711.87,1.37
718.99,1.34
726.18,1.34
733.44,1.33
740.78,1.30
748.19,1.28
755.67,1.26
763.23,1.22
770.86,1.18
778.57,1.14
786.35,1.11
794.22,1.10
802.16,1.08
810.18,1.02
818.28,0.99
826.46,0.97
834.73,0.96
843.08,0.94
851.51,0.90
860.02,0.85
868.62,0.79
877.31,0.73
886.08,0.67
894.94,0.62
903.89,0.57
912.93,0.55
922.06,0.49
931.28,0.44
940.59,0.38
950.00,0.27
959.50,0.25
969.09,0.21
978.78,0.12
988.57,0.00
998.46,0.01
1008.44,-0.07
1018.53,-0.16
1028.71,-0.24
1039.00,-0.26
1049.39,-0.34
1059.88,-0.46
1070.48,-0.37
1081.19,-0.10
1092.00,0.25
1102.92,0.49
1113.95,0.65
1125.09,0.89
1136.34,1.25
1147.70,1.64
1159.18,2.17
1170.77,2.74
1182.48,3.44
1194.30,4.02
1206.25,4.60
1218.31,5.22
1230.49,5.69
1242.80,6.22
1255.22,6.91
1267.78,7.25
1280.45,7.50
1293.26,8.26
1306.19,9.03
1319.25,9.87
1332.45,10.77
1345.77,11.62
1359.23,12.43
1372.82,13.09
1386.55,13.75
1400.41,14.42
1414.42,14.98
1428.56,15.55
1442.85,16.07
1457.28,16.51
1471.85,16.86
1486.57,17.20
1501.43,17.53
1516.45,17.76
1531.61,18.06
1546.93,18.44
1562.40,18.67
1578.02,18.86
1593.80,19.00
1609.74,19.21
1625.84,19.45
1642.10,19.67
1658.52,19.86
1675.10,20.03
1691.85,20.24
1708.77,20.41
1725.86,20.53
1743.12,20.68
1760.55,20.82
1778.15,20.95
1795.94,21.13
1813.90,21.35
1832.03,21.58
1850.36,21.79
1868.86,21.89
1887.55,22.02
1906.42,22.18
1925.49,22.37
1944.74,22.57
1964.19,22.69
1983.83,22.87
2003.67,23.11
2023.71,23.21
2043.94,23.33
2064.38,23.44
2085.03,23.47
2105.88,23.64
2126.94,23.84
2148.20,23.98
2169.69,24.06
2191.38,24.24
2213.30,24.44
2235.43,24.61
2257.78,24.76
2280.36,24.89
2303.17,24.99
2326.20,25.18
2349.46,25.30
2372.95,25.34
2396.68,25.35
2420.65,25.50
2444.86,25.55
2469.31,25.52
2494.00,25.56
2518.94,25.58
2544.13,25.57
2569.57,25.50
2595.27,25.46
2621.22,25.44
2647.43,25.40
2673.90,25.42
2700.64,25.47
2727.65,25.54
2754.93,25.59
2782.48,25.50
2810.30,25.42
2838.40,25.39
2866.79,25.35
2895.46,25.31
2924.41,25.29
2953.65,25.28
2983.19,25.31
3013.02,25.28
3043.15,25.19
3073.58,25.30
3104.32,25.16
3135.36,25.12
3166.72,25.13
3198.38,25.18
3230.37,25.25
3262.67,25.33
3295.30,25.41
3328.25,25.49
3361.53,25.54
3395.15,25.53
3429.10,25.48
3463.39,25.47
3498.03,25.52
3533.01,25.45
3568.34,25.38
3604.02,25.30
3640.06,25.11
3676.46,24.92
3713.22,24.71
3750.36,24.50
3787.86,24.12
3825.74,23.74
3864.00,23.35
3902.64,22.99
3941.66,22.63
3981.08,22.33
4020.89,22.04
4061.10,21.74
4101.71,21.30
4142.73,20.81
4184.15,20.27
4226.00,19.78
4268.26,19.32
4310.94,18.92
4354.05,18.46
4397.59,18.03
4441.56,17.62
4485.98,17.27
4530.84,17.00
4576.15,16.76
4621.91,16.52
4668.13,16.36
4714.81,16.33
4761.96,16.33
4809.58,16.35
4857.67,16.31
4906.25,16.05
4955.31,15.70
5004.87,15.30
5054.91,14.80
5105.46,14.40
5156.52,14.13
5208.08,14.01
5260.16,14.17
5312.77,14.33
5365.89,14.23
5419.55,14.13
5473.75,13.99
5528.49,13.81
5583.77,13.75
5639.61,13.65
5696.00,13.51
5752.96,13.46
5810.49,13.42
5868.60,13.44
5927.28,13.42
5986.56,13.37
6046.42,13.40
6106.89,13.39
6167.96,13.30
6229.64,13.19
6291.93,13.07
6354.85,13.01
6418.40,12.93
6482.58,12.76
6547.41,12.50
6612.88,12.16
6679.01,11.67
6745.80,11.37
6813.26,11.20
6881.39,11.17
6950.21,11.36
7019.71,11.77
7089.91,12.52
7160.81,13.55
7232.41,14.63
7304.74,15.70
7377.79,16.64
7451.56,17.44
7526.08,18.22
7601.34,19.07
7677.35,19.93
7754.13,20.78
7831.67,21.58
7909.98,22.25
7989.08,22.70
8068.98,22.98
8149.67,23.07
8231.16,22.89
8313.47,22.44
8396.61,21.86
8480.57,21.09
8565.38,20.24
8651.03,19.36
8737.54,18.47
8824.92,17.81
8913.17,17.16
9002.30,16.50
9092.32,15.90
9183.25,15.35
9275.08,14.82
9367.83,14.29
9461.51,13.89
9556.12,13.52
9651.68,13.21
9748.20,13.00
9845.68,12.45
9944.14,11.70
10043.58,10.84
10144.02,9.98
10245.46,8.75
10347.91,7.55
10451.39,6.37
10555.91,4.88
10661.46,3.50
10768.08,2.14
10875.76,0.50
10984.52,-0.78
11094.36,-1.86
11205.31,-2.73
11317.36,-2.52
11430.53,-1.93
11544.84,-0.98
11660.29,-0.17
11776.89,0.74
11894.66,0.98
12013.60,1.01
12133.74,0.71
12255.08,0.34
12377.63,0.18
12501.41,-0.20
12626.42,-0.40
12752.68,-0.64
12880.21,-0.83
13009.01,-0.98
13139.10,-1.14
13270.49,-1.43
13403.20,-1.71
13537.23,-1.97
13672.60,-2.42
13809.33,-3.08
13947.42,-4.15
14086.90,-5.80
14227.77,-7.81
14370.04,-8.09
14513.74,-6.54
14658.88,-4.44
14805.47,-2.92
14953.52,-2.39
15103.06,-2.19
15254.09,-2.11
15406.63,-0.95
15560.70,0.55
15716.30,2.57
15873.47,4.18
16032.20,5.49
16192.52,6.12
16354.45,6.71
16517.99,7.31
16683.17,8.19
16850.01,8.70
17018.51,8.91
17188.69,8.69
17360.58,8.17
17534.18,7.44
17709.53,6.46
17886.62,5.14
18065.49,3.50
18246.14,1.49
18428.60,-0.70
18612.89,-2.61
18799.02,-4.32
18987.01,-5.95
19176.88,-7.18
19368.65,-8.54
19562.33,-10.19
19757.96,-12.23
19955.54,-14.26
