frequency,raw
20.000,0.641
20.200,0.641
20.400,0.641
20.610,0.641
20.810,0.641
21.020,0.702
21.230,0.791
21.440,0.808
21.660,0.819
21.870,0.821
22.090,0.823
22.310,0.825
22.540,0.827
22.760,0.829
22.990,0.831
23.220,0.832
23.450,0.834
23.690,0.835
23.920,0.835
24.160,0.835
24.400,0.834
24.650,0.833
24.890,0.832
25.140,0.829
25.390,0.826
25.650,0.823
25.910,0.820
26.160,0.817
26.430,0.814
26.690,0.812
26.960,0.811
27.230,0.809
27.500,0.808
27.770,0.808
28.050,0.809
28.330,0.809
28.620,0.810
28.900,0.812
29.190,0.814
29.480,0.817
29.780,0.819
30.080,0.823
30.380,0.826
30.680,0.829
30.990,0.833
31.300,0.837
31.610,0.840
31.930,0.844
32.240,0.846
32.570,0.849
32.890,0.851
33.220,0.853
33.550,0.856
33.890,0.858
34.230,0.859
34.570,0.860
34.920,0.859
35.270,0.857
35.620,0.854
35.970,0.850
36.330,0.846
36.700,0.842
37.060,0.838
37.430,0.834
37.810,0.832
38.190,0.829
38.570,0.827
38.950,0.824
39.340,0.822
39.740,0.819
40.140,0.816
40.540,0.812
40.940,0.809
41.350,0.805
41.760,0.802
42.180,0.799
42.600,0.798
43.030,0.799
43.460,0.801
43.900,0.806
44.330,0.810
44.780,0.818
45.230,0.826
45.680,0.836
46.130,0.847
46.600,0.858
47.060,0.870
47.530,0.882
48.010,0.894
48.490,0.905
48.970,0.915
49.460,0.923
49.960,0.932
50.460,0.938
50.960,0.942
51.470,0.943
51.990,0.939
52.510,0.930
53.030,0.918
53.560,0.902
54.100,0.884
54.640,0.867
55.180,0.850
55.740,0.832
56.290,0.816
56.860,0.800
57.420,0.786
58.000,0.771
58.580,0.756
59.160,0.740
59.760,0.722
60.350,0.702
60.960,0.681
61.570,0.660
62.180,0.641
62.800,0.624
63.430,0.611
64.070,0.600
64.710,0.593
65.350,0.590
66.010,0.588
66.670,0.587
67.330,0.585
68.010,0.583
68.690,0.578
69.370,0.572
70.070,0.563
70.770,0.553
71.480,0.542
72.190,0.530
72.910,0.521
73.640,0.514
74.380,0.512
75.120,0.514
75.870,0.521
76.630,0.528
77.400,0.532
78.170,0.530
78.950,0.518
79.740,0.497
80.540,0.466
81.350,0.427
82.160,0.386
82.980,0.344
83.810,0.306
84.650,0.273
85.500,0.249
86.350,0.231
87.220,0.220
88.090,0.215
88.970,0.216
89.860,0.220
90.760,0.228
91.660,0.239
92.580,0.254
93.510,0.271
94.440,0.291
95.390,0.313
96.340,0.336
97.300,0.359
98.280,0.380
99.260,0.397
100.250,0.411
101.250,0.420
102.270,0.425
103.290,0.427
104.320,0.424
105.370,0.420
106.420,0.413
107.480,0.406
108.560,0.399
109.640,0.393
110.740,0.390
111.850,0.388
112.970,0.389
114.100,0.394
115.240,0.400
116.390,0.409
117.550,0.420
118.730,0.432
119.920,0.445
121.120,0.457
122.330,0.469
123.550,0.481
124.790,0.491
126.030,0.501
127.290,0.509
128.570,0.515
129.850,0.521
131.150,0.525
132.460,0.530
133.790,0.535
135.120,0.540
136.480,0.547
137.840,0.554
139.220,0.562
140.610,0.570
142.020,0.578
143.440,0.585
144.870,0.593
146.320,0.600
147.780,0.607
149.260,0.612
150.750,0.616
152.260,0.618
153.780,0.618
155.320,0.616
156.880,0.613
158.440,0.607
160.030,0.601
161.630,0.594
163.240,0.587
164.880,0.581
166.530,0.574
168.190,0.570
169.870,0.567
171.570,0.566
173.290,0.567
175.020,0.568
176.770,0.569
178.540,0.569
180.320,0.568
182.130,0.565
183.950,0.561
185.790,0.556
187.650,0.549
189.520,0.541
191.420,0.532
193.330,0.520
195.270,0.509
197.220,0.497
199.190,0.485
201.180,0.473
203.190,0.462
205.230,0.452
207.280,0.441
209.350,0.430
211.440,0.418
213.560,0.405
215.690,0.390
217.850,0.375
220.030,0.361
222.230,0.346
224.450,0.331
226.700,0.317
228.960,0.302
231.250,0.287
233.570,0.271
235.900,0.257
238.260,0.243
240.640,0.233
243.050,0.225
245.480,0.220
247.930,0.217
250.410,0.216
252.920,0.217
255.450,0.218
258.000,0.220
260.580,0.222
263.190,0.225
265.820,0.229
268.480,0.234
271.160,0.240
273.870,0.247
276.610,0.255
279.380,0.265
282.170,0.275
284.990,0.286
287.840,0.298
290.720,0.311
293.630,0.324
296.570,0.337
299.530,0.350
302.530,0.362
305.550,0.374
308.610,0.385
311.690,0.395
314.810,0.405
317.960,0.412
321.140,0.420
324.350,0.425
327.590,0.429
330.870,0.432
334.180,0.436
337.520,0.439
340.900,0.445
344.300,0.454
347.750,0.468
351.230,0.485
354.740,0.506
358.280,0.528
361.870,0.551
365.490,0.577
369.140,0.605
372.830,0.633
376.560,0.660
380.330,0.683
384.130,0.703
387.970,0.717
391.850,0.728
395.770,0.735
399.730,0.741
403.720,0.744
407.760,0.748
411.840,0.752
415.960,0.756
420.120,0.758
424.320,0.760
428.560,0.760
432.850,0.758
437.180,0.754
441.550,0.749
445.960,0.741
450.420,0.732
454.930,0.720
459.480,0.706
464.070,0.691
468.710,0.674
473.400,0.657
478.130,0.640
482.910,0.623
487.740,0.607
492.620,0.592
497.550,0.579
502.520,0.568
507.550,0.558
512.620,0.550
517.750,0.544
522.930,0.540
528.160,0.538
533.440,0.539
538.770,0.544
544.160,0.556
549.600,0.576
555.100,0.600
560.650,0.628
566.250,0.655
571.920,0.678
577.640,0.692
583.410,0.696
589.250,0.691
595.140,0.677
601.090,0.658
607.100,0.634
613.170,0.610
619.300,0.587
625.500,0.567
631.750,0.553
638.070,0.544
644.450,0.537
650.890,0.532
657.400,0.523
663.980,0.509
670.620,0.485
677.320,0.452
684.100,0.410
690.940,0.358
697.850,0.299
704.830,0.236
711.870,0.173
718.990,0.114
726.180,0.060
733.440,0.013
740.780,-0.026
748.190,-0.056
755.670,-0.077
763.230,-0.092
770.860,-0.102
778.570,-0.109
786.350,-0.113
794.220,-0.115
802.160,-0.113
810.180,-0.109
818.280,-0.104
826.460,-0.099
834.730,-0.093
843.080,-0.085
851.510,-0.076
860.020,-0.065
868.620,-0.051
877.310,-0.038
886.080,-0.025
894.940,-0.014
903.890,-0.006
912.930,-0.004
922.060,-0.011
931.280,-0.026
940.590,-0.049
950.000,-0.079
959.500,-0.114
969.090,-0.152
978.780,-0.187
988.570,-0.216
998.460,-0.235
1008.440,-0.243
1018.530,-0.241
1028.710,-0.234
1039.000,-0.224
1049.390,-0.211
1059.880,-0.195
1070.480,-0.175
1081.190,-0.151
1092.000,-0.118
1102.920,-0.076
1113.950,-0.024
1125.090,0.033
1136.340,0.093
1147.700,0.148
1159.180,0.194
1170.770,0.230
1182.480,0.257
1194.300,0.276
1206.250,0.291
1218.310,0.301
1230.490,0.306
1242.800,0.301
1255.220,0.285
1267.780,0.257
1280.450,0.220
1293.260,0.180
1306.190,0.141
1319.250,0.108
1332.450,0.081
1345.770,0.059
1359.230,0.039
1372.820,0.021
1386.550,0.003
1400.410,-0.016
1414.420,-0.035
1428.560,-0.053
1442.850,-0.069
1457.280,-0.085
